 gene    name , gene    ENS ,Adipose-Subcutaneous
 CHMP1B,ENSG00000255112,-0.206425736959255
 TCOF1,ENSG00000070814,-0.203146237256522
 NSRP1,ENSG00000126653,0.162923772377651
 OPA1,ENSG00000198836,-0.00906698404200628
 RP11-146D12.2,ENSG00000240240,0.410697938965677
 ITGA1,ENSG00000213949,1.2472740105712
 ITGA2,ENSG00000164171,-0.728358922036887
 ITGA3,ENSG00000005884,0.299803242492839
 ITGA4,ENSG00000115232,0.592523543017577
 ITGA5,ENSG00000161638,0.784005628971235
 ITGA6,ENSG00000091409,0.742751703952515
 TRHR,ENSG00000174417,0.740554593218065
 UFSP1,ENSG00000176125,0.317367765454498
 UFSP2,ENSG00000109775,-0.0269297095942748
 MT-CYB,ENSG00000198727,0.221172412717472
 FAM212B,ENSG00000197852,0.358084318474912
 FAM212A,ENSG00000185614,0.261107957877858
 CHST9,ENSG00000154080,-3.55693178654162
 CHST8,ENSG00000124302,-0.70422260286137
 CHST3,ENSG00000122863,0.302531196818204
 CHST2,ENSG00000175040,0.493265847188527
 CHST5,ENSG00000135702,-0.794642097279691
 CHST4,ENSG00000140835,1.31371458342522
 CHST7,ENSG00000147119,0.756995438902527
 CHST6,ENSG00000183196,-3.34014856084285
 ITGAX,ENSG00000140678,0.714597086572975
 ITGAV,ENSG00000138448,0.0529230794298297
 ITGAL,ENSG00000005844,0.470457048802641
 ITGAM,ENSG00000169896,1.04174737878171
 ITGAD,ENSG00000156886,0.979658595772559
 ITGAE,ENSG00000083457,0.166819145033882
 IGF2R,ENSG00000197081,0.469597564587963
 SLC36A4,ENSG00000180773,0.0529447165009765
 SLC36A3,ENSG00000186334,0.506681454598583
 CKS1B,ENSG00000173207,0.776289386188439
 SLC36A1,ENSG00000123643,-0.00863899166378913
 ARTN,ENSG00000117407,-0.642700071451213
 ART1,ENSG00000129744,-0.740642443748419
 ART3,ENSG00000156219,-1.6730903270235
 ART5,ENSG00000167311,-0.812510523447508
