 gene    name , gene    ENS ,Adipose-Visceral(Omentum)
 CHMP1B,ENSG00000255112,-0.140334243707677
 TCOF1,ENSG00000070814,-0.126500740901113
 NSRP1,ENSG00000126653,-0.0162060298850878
 OPA1,ENSG00000198836,-0.180595323652202
 RP11-146D12.2,ENSG00000240240,-0.98689039592965
 ITGA1,ENSG00000213949,0.596142764548302
 ITGA2,ENSG00000164171,-0.449845449651995
 ITGA3,ENSG00000005884,0.0741113129361746
 ITGA4,ENSG00000115232,0.293970854818088
 ITGA5,ENSG00000161638,0.456392916261827
 ITGA6,ENSG00000091409,0.542997510531474
 TRHR,ENSG00000174417,-0.0305487946007668
 UFSP1,ENSG00000176125,0.487646012074024
 UFSP2,ENSG00000109775,0.111606491165377
 MT-CYB,ENSG00000198727,0.108559308241756
 FAM212B,ENSG00000197852,0.0729751540240378
 FAM212A,ENSG00000185614,-0.00131196828882952
 CHST9,ENSG00000154080,-1.40778393146835
 CHST8,ENSG00000124302,0.0608375020119704
 CHST3,ENSG00000122863,0.324900762857872
 CHST2,ENSG00000175040,-0.244473004348699
 CHST5,ENSG00000135702,-0.673287541158565
 CHST4,ENSG00000140835,2.59664219701741
 CHST7,ENSG00000147119,0.224398829988172
 CHST6,ENSG00000183196,-1.45105795595559
 ITGAX,ENSG00000140678,-0.688102353588355
 ITGAV,ENSG00000138448,-0.0503173593396326
 ITGAL,ENSG00000005844,0.442615996341732
 ITGAM,ENSG00000169896,0.535409569693359
 ITGAD,ENSG00000156886,0.361209107145635
 ITGAE,ENSG00000083457,0.0405125449331079
 IGF2R,ENSG00000197081,0.180593604150601
 SLC36A4,ENSG00000180773,-0.331894242321137
 SLC36A3,ENSG00000186334,-0.281019410259411
 CKS1B,ENSG00000173207,0.213473923636377
 SLC36A1,ENSG00000123643,0.013804662798838
 ARTN,ENSG00000117407,0.576570692282658
 ART1,ENSG00000129744,-0.543101322547158
 ART3,ENSG00000156219,-0.871084569358952
 ART5,ENSG00000167311,-0.186111953415783
 AC129492.6,ENSG00000214999,-0.0596518864862986
 CRTAM,ENSG00000109943,0.503177802283813
 CADPS2,ENSG00000081803,0.223215918163812
 RLF,ENSG00000117000,0.0545793554168234
 CRTAP,ENSG00000170275,0.301672504871409
 ADPGK,ENSG00000159322,0.231518564144212
 CPEB4,ENSG00000113742,-0.33441884608277
 CPEB1,ENSG00000214575,-0.0932492547274786
 CPEB3,ENSG00000107864,-0.246470903401244
 CPEB2,ENSG00000137449,-0.194089536384523
 SRBD1,ENSG00000068784,0.161269229057493
 ABAT,ENSG00000183044,-0.855367955609314
 POU5F1B,ENSG00000212993,1.0730558268875
 CDH22,ENSG00000149654,0.2177437888649
 PHOX2A,ENSG00000165462,-0.627107601620051
 PHOX2B,ENSG00000109132,-0.75543675212603
 UPK2,ENSG00000110375,-0.440864561442933
 CFH,ENSG00000000971,0.414435009227648
 CFI,ENSG00000205403,2.10332165077753
 ANKFY1,ENSG00000185722,-0.0384491344260033
 CFB,ENSG00000243649,2.65856871984967
 OPA3,ENSG00000125741,-0.0441974565792638
 AAAS,ENSG00000094914,0.18713917553373
 SIDT1,ENSG00000072858,-0.0177524977226285
 SIDT2,ENSG00000149577,0.0702070010484419
 SAGE1,ENSG00000181433,-0.776989243578227
 RP11-89K11.1,ENSG00000259658,-0.216711865996325
 AC093802.1,ENSG00000220256,-0.0783417507034996
 C4orf19,ENSG00000154274,0.324196463932262
 SLC7A6OS,ENSG00000103061,0.0509501960763895
 C4orf17,ENSG00000138813,-0.196996239657033
 CDH26,ENSG00000124215,0.393022779145434
 ETV3L,ENSG00000253831,-1.03118907804295
 C15orf26,ENSG00000156206,0.421516381569085
 C15orf27,ENSG00000169758,-0.23875437697607
 ZNF117,ENSG00000152926,0.882811422125425
 ZNF114,ENSG00000178150,-0.165826268573313
 ZNF112,ENSG00000062370,0.275710541702693
 SEZ6L,ENSG00000100095,-0.851460112591863
 ITGA8,ENSG00000077943,0.0537798134890799
 ITGA9,ENSG00000144668,0.0324017596486067
 PRKAR2A,ENSG00000114302,0.063096970151028
 PRKAR2B,ENSG00000005249,1.90866422230798
 S1PR5,ENSG00000180739,-0.189359280118915
 S1PR4,ENSG00000125910,0.678319540170124
 ITGA2B,ENSG00000005961,0.448192967533135
 ATP2A3,ENSG00000074370,-0.0296873559132686
 PHACTR4,ENSG00000204138,-0.00982784367317235
 PHACTR1,ENSG00000112137,-0.327351469639873
 OR2K2,ENSG00000171133,-0.186891963766148
 PHACTR3,ENSG00000087495,-1.43060376979875
 KRTAP2-3,ENSG00000212724,-0.0978982453359083
 KRTAP2-2,ENSG00000214518,0.0309038757378113
 KRTAP2-1,ENSG00000212725,0.37655322854627
 KRTAP2-4,ENSG00000213417,0.119248659368935
 ITGA7,ENSG00000135424,1.02251955273481
 VMP1,ENSG00000062716,0.116450004070369
 NR1D1,ENSG00000126368,-0.244086486364105
 NR1D2,ENSG00000174738,-0.286227242650811
 OGFR,ENSG00000060491,-0.0860953407269219
 PTCH2,ENSG00000117425,-1.0155137615653
 PTCH1,ENSG00000185920,-0.345147887015761
 TIMM44,ENSG00000104980,-0.0623251644859502
 RAD9B,ENSG00000151164,-0.124967758396535
 RAD9A,ENSG00000172613,-0.127723254495646
