 gene    name , gene    ENS ,Artery-Aorta
 CHMP1B,ENSG00000255112,0.405237765872463
 TCOF1,ENSG00000070814,-0.131549514741623
 NSRP1,ENSG00000126653,0.524058691186053
 OPA1,ENSG00000198836,-0.308275506615908
 RP11-146D12.2,ENSG00000240240,-1.50318028266586
 ITGA1,ENSG00000213949,1.34842982099408
 ITGA2,ENSG00000164171,-0.500916468054844
 ITGA3,ENSG00000005884,1.50137129863842
 ITGA4,ENSG00000115232,-0.461957913442086
 ITGA5,ENSG00000161638,1.09058085376465
 ITGA6,ENSG00000091409,-0.931148107012362
 TRHR,ENSG00000174417,-0.682468487744257
 UFSP1,ENSG00000176125,-0.442118940279097
 UFSP2,ENSG00000109775,0.74483751190855
 MT-CYB,ENSG00000198727,-0.308968369121206
 FAM212B,ENSG00000197852,-0.648058802803972
 FAM212A,ENSG00000185614,0.830065271118492
 CHST9,ENSG00000154080,-2.14309578815342
 CHST8,ENSG00000124302,-2.20676463080225
 CHST3,ENSG00000122863,1.17492205258413
 CHST2,ENSG00000175040,-1.3894324437823
 CHST5,ENSG00000135702,-0.833587290292551
 CHST4,ENSG00000140835,-0.890655397998071
 CHST7,ENSG00000147119,0.198142681326854
 CHST6,ENSG00000183196,1.2008447824072
 ITGAX,ENSG00000140678,1.09670925710587
 ITGAV,ENSG00000138448,0.908086354598154
 ITGAL,ENSG00000005844,0.0452656970810091
 ITGAM,ENSG00000169896,0.13680597807483
 ITGAD,ENSG00000156886,1.38937264465506
 ITGAE,ENSG00000083457,-0.529770809434944
 IGF2R,ENSG00000197081,0.210764322045599
 SLC36A4,ENSG00000180773,-0.385911937163413
 SLC36A3,ENSG00000186334,-0.386277973263669
 CKS1B,ENSG00000173207,0.496214441380727
 SLC36A1,ENSG00000123643,-0.0534802888038064
 ARTN,ENSG00000117407,-1.73848550578967
 ART1,ENSG00000129744,-0.21906778808497
 ART3,ENSG00000156219,-3.52834861150426
 ART5,ENSG00000167311,-0.325919756277309
 AC129492.6,ENSG00000214999,-1.50024761013291
 CRTAM,ENSG00000109943,-0.136478947252201
 CADPS2,ENSG00000081803,-0.260415043019319
 RLF,ENSG00000117000,0.255090890651211
 CRTAP,ENSG00000170275,1.24769071942902
 ADPGK,ENSG00000159322,-0.207032635194835
 CPEB4,ENSG00000113742,-0.106901143803134
 CPEB1,ENSG00000214575,-0.251063187883469
 CPEB3,ENSG00000107864,-0.0828488360037368
 CPEB2,ENSG00000137449,0.0975660879237142
 SRBD1,ENSG00000068784,-0.183865356221484
 ABAT,ENSG00000183044,-0.300407243307692
 POU5F1B,ENSG00000212993,-1.60758409222951
 CDH22,ENSG00000149654,-2.36364044834872
 PHOX2A,ENSG00000165462,-0.897087609523197
 PHOX2B,ENSG00000109132,-0.382279317108789
 UPK2,ENSG00000110375,-0.997855319742678
 CFH,ENSG00000000971,0.194326467770942
 CFI,ENSG00000205403,-0.554302854388262
 ANKFY1,ENSG00000185722,0.108911748159948
 CFB,ENSG00000243649,0.931856426246851
 OPA3,ENSG00000125741,-0.563363026544285
 AAAS,ENSG00000094914,0.29740680377718
 SIDT1,ENSG00000072858,-0.827888236045352
 SIDT2,ENSG00000149577,-0.0795977087727223
 SAGE1,ENSG00000181433,-0.299068002792883
 RP11-89K11.1,ENSG00000259658,1.34287112353268
 AC093802.1,ENSG00000220256,1.80867232381646
 C4orf19,ENSG00000154274,-1.07889958601616
 SLC7A6OS,ENSG00000103061,-0.0426208688738376
 C4orf17,ENSG00000138813,0.821640672323611
 CDH26,ENSG00000124215,-0.439012872297012
 ETV3L,ENSG00000253831,-0.268845054657881
 C15orf26,ENSG00000156206,-1.91950170809348
 C15orf27,ENSG00000169758,-1.44463223230798
 ZNF117,ENSG00000152926,0.293325604083509
 ZNF114,ENSG00000178150,-1.14881520358326
 ZNF112,ENSG00000062370,0.331196151465974
 SEZ6L,ENSG00000100095,-1.61869319888508
 ITGA8,ENSG00000077943,4.96238696433591
 ITGA9,ENSG00000144668,2.05758461576658
 PRKAR2A,ENSG00000114302,0.139088881703913
 PRKAR2B,ENSG00000005249,-1.86868666899228
 S1PR5,ENSG00000180739,-0.891888281474617
 S1PR4,ENSG00000125910,-0.854183797660598
 ITGA2B,ENSG00000005961,-1.00805657513894
 ATP2A3,ENSG00000074370,0.902606529670396
 PHACTR4,ENSG00000204138,-0.00816768019447506
 PHACTR1,ENSG00000112137,1.35609126391835
 OR2K2,ENSG00000171133,-0.230015273623705
 PHACTR3,ENSG00000087495,-5.07685917299426
 KRTAP2-3,ENSG00000212724,0.0279265463911617
 KRTAP2-2,ENSG00000214518,0.06140997334429
 KRTAP2-1,ENSG00000212725,0.0979371410227916
 KRTAP2-4,ENSG00000213417,0.139752972792802
 ITGA7,ENSG00000135424,1.76708471484388
 VMP1,ENSG00000062716,0.243318344755529
 NR1D1,ENSG00000126368,0.761326473617577
 NR1D2,ENSG00000174738,-0.0045026871683308
 OGFR,ENSG00000060491,-0.0907441733443676
 PTCH2,ENSG00000117425,-0.475131655361471
 PTCH1,ENSG00000185920,-0.593397481714586
 TIMM44,ENSG00000104980,-0.311624355662486
 RAD9B,ENSG00000151164,-0.890140540897224
 RAD9A,ENSG00000172613,-0.264821834663398
 ERGIC2,ENSG00000087502,0.0408859339250159
 ERGIC3,ENSG00000125991,0.217861732454588
 ERGIC1,ENSG00000113719,0.65579214440702
 B3GAT3,ENSG00000149541,0.0891710125079975
 B3GAT2,ENSG00000112309,0.0594434695681861
 B3GAT1,ENSG00000109956,-2.80323414813872
 CALM2,ENSG00000143933,0.0211597252473033
 TTC30A,ENSG00000197557,-0.421496311748913
 TTC30B,ENSG00000196659,-1.141973368736
 SPG20,ENSG00000133104,-0.0243675045523612
 GSDMA,ENSG00000167914,0.108360728732469
 GSDMB,ENSG00000073605,0.0344800688988581
 GSDMC,ENSG00000147697,-1.72572732535659
 GSDMD,ENSG00000104518,0.293091158478627
 FBXL13,ENSG00000161040,0.23656190622606
 UPK1B,ENSG00000114638,-0.0660469458528828
 DLGAP2,ENSG00000198010,-2.79456633811499
 DLGAP3,ENSG00000116544,-1.34409238703994
 DLGAP1,ENSG00000170579,1.18218236216842
 DLGAP4,ENSG00000080845,0.736991160714901
 DLGAP5,ENSG00000126787,0.418886960705842
 KB-1507C5.2,ENSG00000253320,-0.102453621238239
 OIP5,ENSG00000104147,-0.392646361627353
 FBXL19,ENSG00000099364,-0.0938685945577808
 LRRFIP1,ENSG00000124831,0.779774756873116
 PTPN18,ENSG00000072135,0.0827100613203971
 PTPN13,ENSG00000163629,-0.476725029589547
 PTPN12,ENSG00000127947,0.0473622212984929
 PTPN11,ENSG00000179295,0.432172048743568
 PTPN14,ENSG00000152104,0.679083967646173
 LYAR,ENSG00000145220,-0.172579016501326
 SDK2,ENSG00000069188,1.35391879256928
 TFIP11,ENSG00000100109,-0.22225833631545
 C2orf81,ENSG00000159239,-0.206696352221113
 C2orf80,ENSG00000188674,-1.00656851265546
 DMRTB1,ENSG00000143006,-0.460920831357992
 C2orf82,ENSG00000182600,-1.22309428300138
 C2orf88,ENSG00000187699,0.889986805160578
 CDK1,ENSG00000170312,-0.840662014209458
 MZB1,ENSG00000170476,-0.207886258217406
 TRAPPC6B,ENSG00000182400,0.026573116944343
 HLA-DQB1,ENSG00000179344,0.528105633502947
 HLA-DQB2,ENSG00000232629,0.75816622828052
 CDK7,ENSG00000134058,-0.0455910102324459
 FOXS1,ENSG00000179772,3.01704121450732
 AC008060.7,ENSG00000218672,-0.796787591708108
 LPAR2,ENSG00000064547,0.00703414735805642
 HAPLN4,ENSG00000187664,-0.665173510715663
 THSD1,ENSG00000136114,-1.0412349044359
 CAMKK2,ENSG00000110931,-0.160864681919412
 CAMKK1,ENSG00000004660,-1.26569453702349
 CHST1,ENSG00000175264,1.79511077434376
 CHMP3,ENSG00000115561,0.325160025983188
 RPL36AL,ENSG00000165502,0.342186201037212
 CHMP7,ENSG00000147457,-0.00164947504101643
 CHMP6,ENSG00000176108,-0.183856757385101
 CHMP5,ENSG00000086065,0.223946022795116
 OR52N4,ENSG00000181074,0.680715521301735
 OR52N2,ENSG00000180988,0.73896256282179
 LY6G6C,ENSG00000204421,0.710321768716963
 LY6G6D,ENSG00000244355,-0.548666262980278
 LY6G6E,ENSG00000255552,-0.51383676452241
 LY6G6F,ENSG00000204424,-0.234464075156533
 HOXA10,ENSG00000253293,-1.2514643914386
 GALNTL5,ENSG00000106648,-0.557982176154294
 GALNTL6,ENSG00000174473,4.23208119907919
 SPECC1,ENSG00000128487,1.1217193083475
 BCL2A1,ENSG00000140379,1.10722950555515
 TDG,ENSG00000139372,-0.208367871627417
 HN1,ENSG00000189159,-1.07706901570895
 ENTPD5,ENSG00000187097,-0.367627448219052
 TBX2,ENSG00000121068,0.63210351660553
 LRRC27,ENSG00000148814,-0.752956378576633
 LRRC26,ENSG00000184709,-0.771900000054881
 KIAA1524,ENSG00000163507,-0.305028833834636
 KIAA1522,ENSG00000162522,-0.00405162279660502
 MPDU1,ENSG00000129255,-0.845112187678426
 LRRC28,ENSG00000168904,-0.0221095288140346
 GCNT4,ENSG00000176928,0.438573521561126
 GCNT6,ENSG00000205318,2.59285010765987
 GCNT3,ENSG00000140297,-0.863587812132694
 GCNT2,ENSG00000111846,2.52889503050992
 TBX3,ENSG00000135111,-1.60764508663345
 LPCAT2,ENSG00000087253,0.277117870913482
 LPCAT3,ENSG00000111684,-0.338270562555918
 LPCAT1,ENSG00000153395,0.12296905323761
 TAGLN,ENSG00000149591,2.20161935432473
 CCDC178,ENSG00000166960,-1.41451247821167
 CCDC179,ENSG00000255359,0.16403216734645
 CCDC170,ENSG00000120262,-1.08750043334436
 CCDC171,ENSG00000164989,0.399678508168025
 CCDC172,ENSG00000182645,-0.0728431045795948
 CCDC173,ENSG00000154479,-0.694678223542632
 CCDC174,ENSG00000154781,0.0460017443997376
 CCDC175,ENSG00000151838,0.0176322107955335
 CCDC176,ENSG00000119636,-0.567582702853737
 CCDC177,ENSG00000267909,-0.488924915142597
 PDK1,ENSG00000152256,0.0981061709420827
 PDK4,ENSG00000004799,0.308700433502964
 LNPEP,ENSG00000113441,0.445899046355335
 ALPI,ENSG00000163295,-0.231131146004177
 SEC61A1,ENSG00000058262,0.311266635662806
 SEC61A2,ENSG00000065665,-0.241233435449264
 ALPL,ENSG00000162551,-1.53806440257591
 PECR,ENSG00000115425,-0.258977891287295
 SNAPC5,ENSG00000174446,-0.123013215403139
 SNAPC4,ENSG00000165684,-0.255100847819331
 DDIT3,ENSG00000175197,0.471964964384515
 DDIT4,ENSG00000168209,0.561138974973105
 RIIAD1,ENSG00000178796,-0.709781355498588
 GOLGA8T,ENSG00000261247,0.321474891663126
 GOLGA8Q,ENSG00000178115,0.941964718342827
 GOLGA8S,ENSG00000261739,0.105577251803636
 GOLGA8R,ENSG00000186399,0.58032529033452
 GOLGA8M,ENSG00000188626,-0.220778417387103
