 gene    name , gene    ENS ,Artery-Coronary
 CHMP1B,ENSG00000255112,0.242928709866012
 TCOF1,ENSG00000070814,-0.240258379220209
 NSRP1,ENSG00000126653,0.068152807603539
 OPA1,ENSG00000198836,-0.0726926210575844
 RP11-146D12.2,ENSG00000240240,-0.692644605963974
 ITGA1,ENSG00000213949,1.28543201348768
 ITGA2,ENSG00000164171,0.0781884175794339
 ITGA3,ENSG00000005884,0.609081653735248
 ITGA4,ENSG00000115232,-0.428916866556602
 ITGA5,ENSG00000161638,-0.76152910762332
 ITGA6,ENSG00000091409,0.380933384031047
 TRHR,ENSG00000174417,0.500682368854641
 UFSP1,ENSG00000176125,0.21206488518537
 UFSP2,ENSG00000109775,0.0229412825252948
 MT-CYB,ENSG00000198727,-0.0763292560674923
 FAM212B,ENSG00000197852,-0.464345246097979
 FAM212A,ENSG00000185614,0.062836273058794
 CHST9,ENSG00000154080,0.765816592692008
 CHST8,ENSG00000124302,0.944387306759441
 CHST3,ENSG00000122863,0.416627967853173
 CHST2,ENSG00000175040,-1.51221348748981
 CHST5,ENSG00000135702,-0.227368908936018
 CHST4,ENSG00000140835,-1.03836887355913
 CHST7,ENSG00000147119,0.28221065350159
 CHST6,ENSG00000183196,0.759632670862047
 ITGAX,ENSG00000140678,-0.117759927588881
 ITGAV,ENSG00000138448,0.229219590193195
 ITGAL,ENSG00000005844,-0.0987401882061365
 ITGAM,ENSG00000169896,-0.193759349977877
 ITGAD,ENSG00000156886,-1.2218285437672
 ITGAE,ENSG00000083457,-0.125356290725352
 IGF2R,ENSG00000197081,-0.145685001681024
 SLC36A4,ENSG00000180773,-0.316139810898659
 SLC36A3,ENSG00000186334,-0.424709236757275
 CKS1B,ENSG00000173207,0.284273977605487
 SLC36A1,ENSG00000123643,0.0852735556601045
 ARTN,ENSG00000117407,-0.297811252960568
 ART1,ENSG00000129744,-0.260293663529791
 ART3,ENSG00000156219,0.199122729803794
 ART5,ENSG00000167311,-0.208047569818278
 AC129492.6,ENSG00000214999,0.0370447902762308
 CRTAM,ENSG00000109943,-0.422556506008285
 CADPS2,ENSG00000081803,0.0578074917209395
 RLF,ENSG00000117000,-0.126032342682165
 CRTAP,ENSG00000170275,0.494924614897678
 ADPGK,ENSG00000159322,0.158118233326658
 CPEB4,ENSG00000113742,0.0763964883474352
 CPEB1,ENSG00000214575,-0.106554961702511
 CPEB3,ENSG00000107864,-0.300844324360134
 CPEB2,ENSG00000137449,0.287920907637643
 SRBD1,ENSG00000068784,-0.0915789479450349
 ABAT,ENSG00000183044,-0.936765937103959
 POU5F1B,ENSG00000212993,0.285127766172394
 CDH22,ENSG00000149654,-0.363562760697491
 PHOX2A,ENSG00000165462,-0.573926267699953
 PHOX2B,ENSG00000109132,-0.460468917316257
 UPK2,ENSG00000110375,-0.106502575197773
 CFH,ENSG00000000971,1.0288266392032
 CFI,ENSG00000205403,0.739981247582557
 ANKFY1,ENSG00000185722,-0.128609099858321
 CFB,ENSG00000243649,0.370413428153457
 OPA3,ENSG00000125741,-0.305035154783835
 AAAS,ENSG00000094914,0.0451481628408548
 SIDT1,ENSG00000072858,-0.262266351306711
 SIDT2,ENSG00000149577,0.136083232453852
 SAGE1,ENSG00000181433,0.349021453194844
 RP11-89K11.1,ENSG00000259658,0.263371311001594
 AC093802.1,ENSG00000220256,0.262009956379523
 C4orf19,ENSG00000154274,-0.301541033446347
 SLC7A6OS,ENSG00000103061,0.0331642124153417
 C4orf17,ENSG00000138813,-0.61694762698048
 CDH26,ENSG00000124215,0.276228722241081
 ETV3L,ENSG00000253831,-0.614350093844778
 C15orf26,ENSG00000156206,-0.169009380215237
 C15orf27,ENSG00000169758,-0.622626648998085
 ZNF117,ENSG00000152926,0.598912295339061
 ZNF114,ENSG00000178150,0.148157851124008
 ZNF112,ENSG00000062370,-0.0636542180049763
 SEZ6L,ENSG00000100095,-1.06981866730721
 ITGA8,ENSG00000077943,1.59454411403028
 ITGA9,ENSG00000144668,0.31700102778178
 PRKAR2A,ENSG00000114302,0.17730502904326
 PRKAR2B,ENSG00000005249,0.0481802963890484
 S1PR5,ENSG00000180739,-1.14484275599177
 S1PR4,ENSG00000125910,-0.079299119606911
 ITGA2B,ENSG00000005961,-0.187050120403895
 ATP2A3,ENSG00000074370,0.525159791668615
 PHACTR4,ENSG00000204138,-0.0853671771270289
 PHACTR1,ENSG00000112137,-0.509360230644208
 OR2K2,ENSG00000171133,-0.939168986578715
 PHACTR3,ENSG00000087495,-2.07758775258943
 KRTAP2-3,ENSG00000212724,-0.325625255453272
 KRTAP2-2,ENSG00000214518,-0.207184809948678
 KRTAP2-1,ENSG00000212725,-0.233589434749401
 KRTAP2-4,ENSG00000213417,-0.416852037101195
 ITGA7,ENSG00000135424,0.336005751754703
 VMP1,ENSG00000062716,0.678557752350648
 NR1D1,ENSG00000126368,-0.337978235401857
 NR1D2,ENSG00000174738,0.0711432699189257
 OGFR,ENSG00000060491,0.0805135787569765
 PTCH2,ENSG00000117425,0.318157198863127
 PTCH1,ENSG00000185920,0.0685093057081657
 TIMM44,ENSG00000104980,-0.220009365826912
 RAD9B,ENSG00000151164,-0.0050301181222087
 RAD9A,ENSG00000172613,-0.100002561458105
 ERGIC2,ENSG00000087502,0.133784583594414
 ERGIC3,ENSG00000125991,0.0929067422493499
 ERGIC1,ENSG00000113719,-0.0351693924840282
 B3GAT3,ENSG00000149541,0.0228605016322896
 B3GAT2,ENSG00000112309,-0.268555178281605
