 gene    name , gene    ENS ,Artery-Tibial
 CHMP1B,ENSG00000255112,0.526514363081607
 TCOF1,ENSG00000070814,0.304685643143116
 NSRP1,ENSG00000126653,0.461974933361665
 OPA1,ENSG00000198836,0.193226453864871
 RP11-146D12.2,ENSG00000240240,-1.3079919615167
 ITGA1,ENSG00000213949,2.30778520374984
 ITGA2,ENSG00000164171,0.323547558595681
 ITGA3,ENSG00000005884,1.78535413131406
 ITGA4,ENSG00000115232,0.562985466769458
 ITGA5,ENSG00000161638,3.21480170809707
 ITGA6,ENSG00000091409,-0.284385622245169
 TRHR,ENSG00000174417,0.487507845661314
 UFSP1,ENSG00000176125,0.507555101668513
 UFSP2,ENSG00000109775,0.518579824808307
 MT-CYB,ENSG00000198727,-0.656775463871603
 FAM212B,ENSG00000197852,0.51380279128332
 FAM212A,ENSG00000185614,0.569993189452134
 CHST9,ENSG00000154080,-0.661344788509313
 CHST8,ENSG00000124302,-0.805047911851655
 CHST3,ENSG00000122863,1.16664068392516
 CHST2,ENSG00000175040,-1.57322489871047
 CHST5,ENSG00000135702,-0.601969219412316
 CHST4,ENSG00000140835,-0.436052461780126
 CHST7,ENSG00000147119,-0.131143452200478
 CHST6,ENSG00000183196,2.41453813418451
 ITGAX,ENSG00000140678,-1.66058792633295
 ITGAV,ENSG00000138448,0.758055945370197
 ITGAL,ENSG00000005844,-1.05460464222147
 ITGAM,ENSG00000169896,-0.210886387021669
 ITGAD,ENSG00000156886,-2.04592399152322
 ITGAE,ENSG00000083457,-0.236049311722377
 IGF2R,ENSG00000197081,0.530680239259164
 SLC36A4,ENSG00000180773,0.0871929100417055
 SLC36A3,ENSG00000186334,-0.0576687731236104
 CKS1B,ENSG00000173207,0.553613974026702
 SLC36A1,ENSG00000123643,-0.368336736528504
 ARTN,ENSG00000117407,1.17690571883698
 ART1,ENSG00000129744,-0.725949823380814
 ART3,ENSG00000156219,0.65130022881284
 ART5,ENSG00000167311,-2.03074060276558
 AC129492.6,ENSG00000214999,-1.70029909398845
 CRTAM,ENSG00000109943,-1.09451209831432
 CADPS2,ENSG00000081803,-0.0201511115923577
 RLF,ENSG00000117000,0.0708922955626228
 CRTAP,ENSG00000170275,1.01341015252679
 ADPGK,ENSG00000159322,-0.387564174112795
 CPEB4,ENSG00000113742,0.074618854332968
 CPEB1,ENSG00000214575,0.227123360703631
 CPEB3,ENSG00000107864,-0.897245662257744
 CPEB2,ENSG00000137449,0.643695926428348
 SRBD1,ENSG00000068784,0.667058771626517
 ABAT,ENSG00000183044,-1.33529680479321
 POU5F1B,ENSG00000212993,-1.35753779909416
 CDH22,ENSG00000149654,-3.57271910064458
 PHOX2A,ENSG00000165462,-0.282244250323698
 PHOX2B,ENSG00000109132,-0.866110192279778
 UPK2,ENSG00000110375,-1.30376972577793
 CFH,ENSG00000000971,2.73051433497402
 CFI,ENSG00000205403,0.121473266727108
 ANKFY1,ENSG00000185722,0.340366426616177
 CFB,ENSG00000243649,0.889498399309499
 OPA3,ENSG00000125741,-0.126135679462126
 AAAS,ENSG00000094914,0.261872668139537
 SIDT1,ENSG00000072858,-1.40665321413034
 SIDT2,ENSG00000149577,-0.122210274514991
 SAGE1,ENSG00000181433,-0.399956483401214
 RP11-89K11.1,ENSG00000259658,0.857119941929236
 AC093802.1,ENSG00000220256,0.190769310379434
 C4orf19,ENSG00000154274,-2.91437015899808
 SLC7A6OS,ENSG00000103061,0.214151566116048
 C4orf17,ENSG00000138813,-0.31336480276226
 CDH26,ENSG00000124215,-0.493700109891837
 ETV3L,ENSG00000253831,-0.539840845311732
 C15orf26,ENSG00000156206,0.0101670062447161
 C15orf27,ENSG00000169758,-1.85759980945617
 ZNF117,ENSG00000152926,-0.207308425130553
 ZNF114,ENSG00000178150,-1.15436045127036
 ZNF112,ENSG00000062370,-0.266151969675084
 SEZ6L,ENSG00000100095,-2.38183552631358
 ITGA8,ENSG00000077943,3.31976010561261
 ITGA9,ENSG00000144668,1.73500922921015
 PRKAR2A,ENSG00000114302,0.604997882420322
 PRKAR2B,ENSG00000005249,-0.97956447073999
 S1PR5,ENSG00000180739,-1.59367305095654
 S1PR4,ENSG00000125910,-0.268265085797489
 ITGA2B,ENSG00000005961,-2.19694024472361
 ATP2A3,ENSG00000074370,0.899063826294271
 PHACTR4,ENSG00000204138,0.290571127990147
 PHACTR1,ENSG00000112137,0.697191644807994
 OR2K2,ENSG00000171133,-0.604808979217385
 PHACTR3,ENSG00000087495,-3.61240532711953
 KRTAP2-3,ENSG00000212724,0.383370607441838
 KRTAP2-2,ENSG00000214518,0.0801625227965421
 KRTAP2-1,ENSG00000212725,0.294515515001513
 KRTAP2-4,ENSG00000213417,0.23863358829566
 ITGA7,ENSG00000135424,1.5944475632235
 VMP1,ENSG00000062716,-0.179476251949319
 NR1D1,ENSG00000126368,-0.400103148691041
 NR1D2,ENSG00000174738,0.0408322042440239
 OGFR,ENSG00000060491,-0.433828452596173
 PTCH2,ENSG00000117425,-0.358831002127122
 PTCH1,ENSG00000185920,0.022681524264599
 TIMM44,ENSG00000104980,0.220594050520218
 RAD9B,ENSG00000151164,0.120027185861044
 RAD9A,ENSG00000172613,-0.473486734476047
 ERGIC2,ENSG00000087502,0.378834152544196
 ERGIC3,ENSG00000125991,0.0738498357492079
 ERGIC1,ENSG00000113719,0.158374743815209
 B3GAT3,ENSG00000149541,-0.432872398424254
 B3GAT2,ENSG00000112309,-0.848314457487497
 B3GAT1,ENSG00000109956,-3.09723260089398
 CALM2,ENSG00000143933,0.476401674007322
 TTC30A,ENSG00000197557,0.234697159684056
 TTC30B,ENSG00000196659,-0.0136080633457051
 SPG20,ENSG00000133104,0.717460957611522
 GSDMA,ENSG00000167914,-1.32817150907886
 GSDMB,ENSG00000073605,-0.690161548192853
 GSDMC,ENSG00000147697,-2.71225632502974
 GSDMD,ENSG00000104518,0.460207041860217
