 gene    name , gene    ENS ,Breast-MammaryTissue
 CHMP1B,ENSG00000255112,-0.313008816010052
 TCOF1,ENSG00000070814,0.0683054743276159
 NSRP1,ENSG00000126653,0.105740243259089
 OPA1,ENSG00000198836,-0.140738858144614
 RP11-146D12.2,ENSG00000240240,0.689056561277702
 ITGA1,ENSG00000213949,0.433331029304051
 ITGA2,ENSG00000164171,0.616030850538452
 ITGA3,ENSG00000005884,0.0281010476049977
 ITGA4,ENSG00000115232,0.178350954372813
 ITGA5,ENSG00000161638,0.432091774036467
 ITGA6,ENSG00000091409,0.900770799595748
 TRHR,ENSG00000174417,-0.402022852613212
 UFSP1,ENSG00000176125,0.016743880754113
 UFSP2,ENSG00000109775,0.0241753284198117
 MT-CYB,ENSG00000198727,0.370926568704512
 FAM212B,ENSG00000197852,-0.0378142516040119
 FAM212A,ENSG00000185614,-0.0804196765130184
 CHST9,ENSG00000154080,2.21220221638526
 CHST8,ENSG00000124302,-0.0606389509803798
 CHST3,ENSG00000122863,0.295432717011158
 CHST2,ENSG00000175040,-0.490597063169865
 CHST5,ENSG00000135702,-0.58968178683782
 CHST4,ENSG00000140835,0.617269296998372
 CHST7,ENSG00000147119,0.252102668179329
 CHST6,ENSG00000183196,-1.27404636030649
 ITGAX,ENSG00000140678,-0.206621259956731
 ITGAV,ENSG00000138448,-0.257267896516524
 ITGAL,ENSG00000005844,0.323460954943125
 ITGAM,ENSG00000169896,-0.220103172992119
 ITGAD,ENSG00000156886,0.416100799682498
 ITGAE,ENSG00000083457,-0.0206247668977665
 IGF2R,ENSG00000197081,0.0565037171458636
 SLC36A4,ENSG00000180773,-0.374873617218133
 SLC36A3,ENSG00000186334,-0.28402796084187
 CKS1B,ENSG00000173207,0.738768401616436
 SLC36A1,ENSG00000123643,-0.311307318008073
 ARTN,ENSG00000117407,-0.307841358319685
 ART1,ENSG00000129744,-0.526325769000528
 ART3,ENSG00000156219,-0.795063429465589
 ART5,ENSG00000167311,0.563767046119931
 AC129492.6,ENSG00000214999,-1.43444941573227
 CRTAM,ENSG00000109943,-0.364103295457974
 CADPS2,ENSG00000081803,0.137680087330382
 RLF,ENSG00000117000,0.171493401925697
 CRTAP,ENSG00000170275,0.355669965123317
 ADPGK,ENSG00000159322,0.106307433699788
 CPEB4,ENSG00000113742,-0.186529054917759
 CPEB1,ENSG00000214575,-0.423984351015955
 CPEB3,ENSG00000107864,-0.489835967666653
 CPEB2,ENSG00000137449,-0.199833613024508
 SRBD1,ENSG00000068784,0.353334043782502
 ABAT,ENSG00000183044,-1.0214047267206
 POU5F1B,ENSG00000212993,1.20153699793221
 CDH22,ENSG00000149654,-2.23493378038886
 PHOX2A,ENSG00000165462,0.199030040418213
 PHOX2B,ENSG00000109132,-0.294307543298077
 UPK2,ENSG00000110375,0.116214178848327
