 gene    name , gene    ENS ,Colon-Sigmoid
 CHMP1B,ENSG00000255112,-0.478022405933487
 TCOF1,ENSG00000070814,0.448857336919065
 NSRP1,ENSG00000126653,0.332295631146362
 OPA1,ENSG00000198836,0.0156953048114408
 RP11-146D12.2,ENSG00000240240,-0.403776955534422
 ITGA1,ENSG00000213949,1.65813399024582
 ITGA2,ENSG00000164171,0.0981377895442782
 ITGA3,ENSG00000005884,0.0507795762591827
 ITGA4,ENSG00000115232,1.2891664368615
 ITGA5,ENSG00000161638,2.90052509625633
 ITGA6,ENSG00000091409,-0.306131812158724
 TRHR,ENSG00000174417,-0.470529626637146
 UFSP1,ENSG00000176125,0.21186908867944
 UFSP2,ENSG00000109775,-0.0370338052373364
 MT-CYB,ENSG00000198727,0.322550380212569
 FAM212B,ENSG00000197852,-0.438380128165088
 FAM212A,ENSG00000185614,0.141749188610893
 CHST9,ENSG00000154080,2.15048716681837
 CHST8,ENSG00000124302,-0.338151487190182
 CHST3,ENSG00000122863,0.525869797291662
 CHST2,ENSG00000175040,-0.802130860254538
 CHST5,ENSG00000135702,0.428071166624979
 CHST4,ENSG00000140835,-0.865566407629228
 CHST7,ENSG00000147119,-0.80921012867829
 CHST6,ENSG00000183196,1.15290593871687
 ITGAX,ENSG00000140678,0.268104109198478
 ITGAV,ENSG00000138448,0.0483045089671749
 ITGAL,ENSG00000005844,0.10314479274897
 ITGAM,ENSG00000169896,0.39947055376908
 ITGAD,ENSG00000156886,-0.409580582488305
 ITGAE,ENSG00000083457,0.13279894535553
 IGF2R,ENSG00000197081,-0.254943160795387
 SLC36A4,ENSG00000180773,0.115239159007323
 SLC36A3,ENSG00000186334,-0.100137409295367
 CKS1B,ENSG00000173207,0.14795892627993
 SLC36A1,ENSG00000123643,-0.022028920737857
 ARTN,ENSG00000117407,0.532543078465704
 ART1,ENSG00000129744,-0.860683582659836
 ART3,ENSG00000156219,0.368066517065052
 ART5,ENSG00000167311,-1.27564602808821
 AC129492.6,ENSG00000214999,-0.0129330281197791
 CRTAM,ENSG00000109943,-0.257775589795109
 CADPS2,ENSG00000081803,-1.46321732720577
 RLF,ENSG00000117000,0.0992194367502975
 CRTAP,ENSG00000170275,0.424592584878599
 ADPGK,ENSG00000159322,0.141549365961961
 CPEB4,ENSG00000113742,-0.343902690164037
 CPEB1,ENSG00000214575,-0.0263754736107069
 CPEB3,ENSG00000107864,-0.565209495160032
 CPEB2,ENSG00000137449,0.472593795072271
 SRBD1,ENSG00000068784,-0.0918579414279215
 ABAT,ENSG00000183044,-0.694741631871317
 POU5F1B,ENSG00000212993,-0.959051080242384
 CDH22,ENSG00000149654,-1.71714386818089
 PHOX2A,ENSG00000165462,4.4166092473535
 PHOX2B,ENSG00000109132,6.94307233364025
 UPK2,ENSG00000110375,-0.761062642600788
 CFH,ENSG00000000971,-0.338923981619834
 CFI,ENSG00000205403,0.197807711170247
 ANKFY1,ENSG00000185722,0.449611176210202
 CFB,ENSG00000243649,0.434983332570843
 OPA3,ENSG00000125741,0.0653715733113467
 AAAS,ENSG00000094914,0.195126809322085
 SIDT1,ENSG00000072858,-0.637567224304358
 SIDT2,ENSG00000149577,-0.314726878244786
 SAGE1,ENSG00000181433,-0.318381592494515
 RP11-89K11.1,ENSG00000259658,1.02916552260794
 AC093802.1,ENSG00000220256,0.344006217459735
 C4orf19,ENSG00000154274,-0.2599014114377
 SLC7A6OS,ENSG00000103061,-0.131975954704573
 C4orf17,ENSG00000138813,-0.364183064093512
 CDH26,ENSG00000124215,-0.126299854050933
 ETV3L,ENSG00000253831,-0.131301117110312
 C15orf26,ENSG00000156206,-1.77139796932176
 C15orf27,ENSG00000169758,-1.10083342588548
 ZNF117,ENSG00000152926,0.244624842242953
 ZNF114,ENSG00000178150,-1.08534080956528
 ZNF112,ENSG00000062370,0.394375821150448
 SEZ6L,ENSG00000100095,1.1338705450971
 ITGA8,ENSG00000077943,-3.17907236665422
 ITGA9,ENSG00000144668,0.459531246639232
 PRKAR2A,ENSG00000114302,0.103320403416784
 PRKAR2B,ENSG00000005249,-0.165188012226138
 S1PR5,ENSG00000180739,-1.90622937858601
 S1PR4,ENSG00000125910,-0.735282740618647
 ITGA2B,ENSG00000005961,-0.780419997802297
 ATP2A3,ENSG00000074370,-0.241913505847421
 PHACTR4,ENSG00000204138,0.0350046852185824
 PHACTR1,ENSG00000112137,-0.596561601099526
 OR2K2,ENSG00000171133,0.188793806813996
 PHACTR3,ENSG00000087495,-0.529715765365145
 KRTAP2-3,ENSG00000212724,0.379207475686918
 KRTAP2-2,ENSG00000214518,0.64080312890961
 KRTAP2-1,ENSG00000212725,0.195302300341138
 KRTAP2-4,ENSG00000213417,0.206848488314034
 ITGA7,ENSG00000135424,1.2140903620413
 VMP1,ENSG00000062716,0.535196738146292
 NR1D1,ENSG00000126368,-0.856075811359155
 NR1D2,ENSG00000174738,-0.449480113663558
 OGFR,ENSG00000060491,0.228816749301289
 PTCH2,ENSG00000117425,-0.0803282126234304
 PTCH1,ENSG00000185920,-0.923595521294403
 TIMM44,ENSG00000104980,0.318053609494966
 RAD9B,ENSG00000151164,0.399815253304028
 RAD9A,ENSG00000172613,-0.233498672855637
