 gene    name , gene    ENS ,Esophagus-GastroesophagealJunction
 CHMP1B,ENSG00000255112,0.17488903141478
 TCOF1,ENSG00000070814,-0.0878418984341806
 NSRP1,ENSG00000126653,-0.108775624279144
 OPA1,ENSG00000198836,-0.110773351165064
 RP11-146D12.2,ENSG00000240240,-0.184004016405813
 ITGA1,ENSG00000213949,-0.0734043566468241
 ITGA2,ENSG00000164171,0.359310604093277
 ITGA3,ENSG00000005884,0.44168454959701
 ITGA4,ENSG00000115232,-0.390382434224524
 ITGA5,ENSG00000161638,-0.653981887844716
 ITGA6,ENSG00000091409,-0.0871719631591238
 TRHR,ENSG00000174417,0.855300430003904
 UFSP1,ENSG00000176125,-0.0965736690996185
 UFSP2,ENSG00000109775,0.0650968221356445
 MT-CYB,ENSG00000198727,0.0324991451545597
 FAM212B,ENSG00000197852,0.215743153591788
 FAM212A,ENSG00000185614,-0.348850111711864
 CHST9,ENSG00000154080,-0.116581533307685
 CHST8,ENSG00000124302,0.29873657860607
 CHST3,ENSG00000122863,-0.30868698617939
 CHST2,ENSG00000175040,-0.412915940457045
 CHST5,ENSG00000135702,-0.185540381741324
 CHST4,ENSG00000140835,0.316236628292491
 CHST7,ENSG00000147119,0.554405622371213
 CHST6,ENSG00000183196,-0.157297423331057
 ITGAX,ENSG00000140678,-0.362442046915512
 ITGAV,ENSG00000138448,-0.152571776039054
 ITGAL,ENSG00000005844,-0.530962892380703
 ITGAM,ENSG00000169896,-0.19367743209678
 ITGAD,ENSG00000156886,-0.709480746123076
 ITGAE,ENSG00000083457,0.144752737583095
 IGF2R,ENSG00000197081,0.00687213775513612
 SLC36A4,ENSG00000180773,-0.117975966748806
 SLC36A3,ENSG00000186334,-0.190940840310584
 CKS1B,ENSG00000173207,-0.00684451442171283
 SLC36A1,ENSG00000123643,0.0223599321857033
 ARTN,ENSG00000117407,0.80174910142681
 ART1,ENSG00000129744,0.282040364278837
 ART3,ENSG00000156219,-0.430127147565488
 ART5,ENSG00000167311,-0.0434728042906678
 AC129492.6,ENSG00000214999,0.291807088657323
 CRTAM,ENSG00000109943,-1.66047495864298
 CADPS2,ENSG00000081803,0.841073950215268
 RLF,ENSG00000117000,0.0383496030167502
 CRTAP,ENSG00000170275,0.11657641864128
 ADPGK,ENSG00000159322,0.0716154551425887
 CPEB4,ENSG00000113742,-0.393289733127279
 CPEB1,ENSG00000214575,0.420255450462996
 CPEB3,ENSG00000107864,0.0593253772039746
 CPEB2,ENSG00000137449,-0.110909668066504
 SRBD1,ENSG00000068784,0.0635843918691237
 ABAT,ENSG00000183044,0.0869016149274379
 POU5F1B,ENSG00000212993,0.489789518742393
 CDH22,ENSG00000149654,-0.17809251264776
 PHOX2A,ENSG00000165462,-1.16623505760358
 PHOX2B,ENSG00000109132,-1.48810289084096
 UPK2,ENSG00000110375,-0.397198524321544
 CFH,ENSG00000000971,1.31286950437758
 CFI,ENSG00000205403,0.264445574874007
 ANKFY1,ENSG00000185722,-0.0265132256064141
 CFB,ENSG00000243649,0.659678426004282
 OPA3,ENSG00000125741,-0.196691692619497
 AAAS,ENSG00000094914,0.153066274123518
 SIDT1,ENSG00000072858,0.252014218467506
 SIDT2,ENSG00000149577,0.100756401908221
 SAGE1,ENSG00000181433,0.0882599307760513
 RP11-89K11.1,ENSG00000259658,-0.0656866767979895
 AC093802.1,ENSG00000220256,-0.584627289012053
 C4orf19,ENSG00000154274,-0.606581772116182
 SLC7A6OS,ENSG00000103061,0.0629089696213617
 C4orf17,ENSG00000138813,0.66229824867655
 CDH26,ENSG00000124215,0.085757881901779
 ETV3L,ENSG00000253831,-0.0982336185243263
 C15orf26,ENSG00000156206,0.356780225154296
 C15orf27,ENSG00000169758,-0.107176903017462
 ZNF117,ENSG00000152926,-0.0689417442185243
 ZNF114,ENSG00000178150,0.302531628980091
 ZNF112,ENSG00000062370,-0.0686252822444141
 SEZ6L,ENSG00000100095,-1.61019387247968
 ITGA8,ENSG00000077943,1.88189031120748
 ITGA9,ENSG00000144668,0.621094822502774
 PRKAR2A,ENSG00000114302,-0.143224244733638
 PRKAR2B,ENSG00000005249,0.368502502985643
 S1PR5,ENSG00000180739,-1.05258556093995
 S1PR4,ENSG00000125910,0.343676674539004
 ITGA2B,ENSG00000005961,-0.0914519462318645
 ATP2A3,ENSG00000074370,0.295390263657548
 PHACTR4,ENSG00000204138,-0.100235851082656
 PHACTR1,ENSG00000112137,-0.114966863826266
 OR2K2,ENSG00000171133,0.119643434651876
 PHACTR3,ENSG00000087495,-0.520891225490465
 KRTAP2-3,ENSG00000212724,-0.239786183141361
 KRTAP2-2,ENSG00000214518,-0.31238635873503
 KRTAP2-1,ENSG00000212725,0.0395858860963732
 KRTAP2-4,ENSG00000213417,-0.39703548409812
 ITGA7,ENSG00000135424,-0.0587454934093297
 VMP1,ENSG00000062716,-0.12574308303648
 NR1D1,ENSG00000126368,0.557211564709938
 NR1D2,ENSG00000174738,-0.0519379681244927
 OGFR,ENSG00000060491,0.0392645045498561
 PTCH2,ENSG00000117425,0.275031246517797
 PTCH1,ENSG00000185920,0.571671669182786
 TIMM44,ENSG00000104980,-0.0664952242887144
 RAD9B,ENSG00000151164,-0.0101946816793312
 RAD9A,ENSG00000172613,0.0736119028611497
 ERGIC2,ENSG00000087502,-0.00469755054668574
 ERGIC3,ENSG00000125991,0.0787220935875316
 ERGIC1,ENSG00000113719,0.233974965964311
 B3GAT3,ENSG00000149541,0.0553723538502958
 B3GAT2,ENSG00000112309,0.0852804287924325
 B3GAT1,ENSG00000109956,-0.289534997567334
 CALM2,ENSG00000143933,0.156603451337807
 TTC30A,ENSG00000197557,-0.153213913542811
 TTC30B,ENSG00000196659,0.0374601163453658
 SPG20,ENSG00000133104,-0.0350591165188015
 GSDMA,ENSG00000167914,-0.0210297373241374
 GSDMB,ENSG00000073605,-0.0884521605393161
 GSDMC,ENSG00000147697,-1.1886306666852
 GSDMD,ENSG00000104518,0.163760682864074
 FBXL13,ENSG00000161040,0.00183295328618938
 UPK1B,ENSG00000114638,-0.742662417612024
 DLGAP2,ENSG00000198010,0.0516898940697466
 DLGAP3,ENSG00000116544,-0.146539160009939
 DLGAP1,ENSG00000170579,0.172536602292312
 DLGAP4,ENSG00000080845,-0.0159631876089872
 DLGAP5,ENSG00000126787,-0.0949152365134114
 KB-1507C5.2,ENSG00000253320,-0.0647722054981047
 OIP5,ENSG00000104147,-0.459097806294845
 FBXL19,ENSG00000099364,-0.0382994946413464
 LRRFIP1,ENSG00000124831,-0.144288274657332
 PTPN18,ENSG00000072135,0.107278875241554
 PTPN13,ENSG00000163629,-0.109551056987601
 PTPN12,ENSG00000127947,-0.00671763277565638
 PTPN11,ENSG00000179295,-0.333359660631403
 PTPN14,ENSG00000152104,-0.0865414231971753
 LYAR,ENSG00000145220,-0.13032776342625
 SDK2,ENSG00000069188,-0.563324883064016
 TFIP11,ENSG00000100109,-0.0263877296555842
 C2orf81,ENSG00000159239,0.0888490007326315
 C2orf80,ENSG00000188674,-0.437546993158463
 DMRTB1,ENSG00000143006,-0.0975996877345401
 C2orf82,ENSG00000182600,0.128288766181787
 C2orf88,ENSG00000187699,-0.328179769270594
 CDK1,ENSG00000170312,-0.311641659377874
 MZB1,ENSG00000170476,-0.506601790337228
