 gene    name , gene    ENS ,Esophagus-Muscularis
 CHMP1B,ENSG00000255112,-0.297301192599663
 TCOF1,ENSG00000070814,0.241877786289062
 NSRP1,ENSG00000126653,0.0565684592206886
 OPA1,ENSG00000198836,-0.0761366574232085
 RP11-146D12.2,ENSG00000240240,-1.08370582006001
 ITGA1,ENSG00000213949,2.02547848141274
 ITGA2,ENSG00000164171,0.606485087884429
 ITGA3,ENSG00000005884,0.0225127835082004
 ITGA4,ENSG00000115232,-0.0307471802021566
 ITGA5,ENSG00000161638,1.92334556617559
 ITGA6,ENSG00000091409,0.174382310810792
 TRHR,ENSG00000174417,-0.310387735673447
 UFSP1,ENSG00000176125,0.327303106146171
 UFSP2,ENSG00000109775,0.00432182162800867
 MT-CYB,ENSG00000198727,0.603827562981616
 FAM212B,ENSG00000197852,0.380480289547352
 FAM212A,ENSG00000185614,-0.346838632705229
 CHST9,ENSG00000154080,2.6554573733906
 CHST8,ENSG00000124302,-0.840134395795661
 CHST3,ENSG00000122863,0.277826638139704
 CHST2,ENSG00000175040,0.424044200741698
 CHST5,ENSG00000135702,-0.640443018744858
 CHST4,ENSG00000140835,0.168672448211838
 CHST7,ENSG00000147119,-0.279224523565751
 CHST6,ENSG00000183196,0.379442195717923
 ITGAX,ENSG00000140678,0.106380969354931
 ITGAV,ENSG00000138448,0.152610438363641
 ITGAL,ENSG00000005844,-0.732809085102313
 ITGAM,ENSG00000169896,0.380323127024576
 ITGAD,ENSG00000156886,0.994735853178737
 ITGAE,ENSG00000083457,0.157559928587237
 IGF2R,ENSG00000197081,0.0719216980881801
 SLC36A4,ENSG00000180773,-0.160524638255651
 SLC36A3,ENSG00000186334,-0.349808118851101
 CKS1B,ENSG00000173207,-0.455204604427583
 SLC36A1,ENSG00000123643,-0.235002123747064
 ARTN,ENSG00000117407,0.456370896934131
 ART1,ENSG00000129744,-1.05574397290523
 ART3,ENSG00000156219,0.239238072007831
 ART5,ENSG00000167311,-0.842984148097643
 AC129492.6,ENSG00000214999,-1.28945229693268
 CRTAM,ENSG00000109943,-1.10643794761937
 CADPS2,ENSG00000081803,1.2109001097859
 RLF,ENSG00000117000,-0.158796509208877
 CRTAP,ENSG00000170275,0.391687002490499
 ADPGK,ENSG00000159322,-0.0477046050891403
 CPEB4,ENSG00000113742,-0.353259920564775
 CPEB1,ENSG00000214575,0.144118944579702
 CPEB3,ENSG00000107864,0.159000953111584
 CPEB2,ENSG00000137449,0.408687798668803
 SRBD1,ENSG00000068784,-0.112229248489256
 ABAT,ENSG00000183044,-0.833991294564385
 POU5F1B,ENSG00000212993,-0.530759357399882
 CDH22,ENSG00000149654,-2.74974812327161
 PHOX2A,ENSG00000165462,4.89510223853001
 PHOX2B,ENSG00000109132,4.9445388725622
 UPK2,ENSG00000110375,-0.812922455686458
 CFH,ENSG00000000971,0.159048770475495
 CFI,ENSG00000205403,0.268527193931914
 ANKFY1,ENSG00000185722,0.00404020031798234
 CFB,ENSG00000243649,0.278820188435323
 OPA3,ENSG00000125741,0.1235518933884
 AAAS,ENSG00000094914,0.756458170519907
 SIDT1,ENSG00000072858,-1.6543053428683
 SIDT2,ENSG00000149577,0.00438534518500125
 SAGE1,ENSG00000181433,-0.730677484641594
 RP11-89K11.1,ENSG00000259658,0.296182760564584
 AC093802.1,ENSG00000220256,0.621933865894601
 C4orf19,ENSG00000154274,-0.909866210806908
 SLC7A6OS,ENSG00000103061,-0.115562341541078
 C4orf17,ENSG00000138813,0.879642411274762
 CDH26,ENSG00000124215,-0.416661337013055
 ETV3L,ENSG00000253831,-0.65675961357661
 C15orf26,ENSG00000156206,0.253688348219988
 C15orf27,ENSG00000169758,-0.869897467565218
 ZNF117,ENSG00000152926,0.100787237299917
 ZNF114,ENSG00000178150,-0.501680519886154
 ZNF112,ENSG00000062370,0.330029023987913
 SEZ6L,ENSG00000100095,-0.931802588583786
 ITGA8,ENSG00000077943,0.307263354042043
 ITGA9,ENSG00000144668,1.32112447108899
 PRKAR2A,ENSG00000114302,-0.0650553862085632
 PRKAR2B,ENSG00000005249,1.90804913945638
 S1PR5,ENSG00000180739,-3.46307303344848
 S1PR4,ENSG00000125910,0.183726058178362
 ITGA2B,ENSG00000005961,-0.354767104187732
 ATP2A3,ENSG00000074370,2.17044020647045
 PHACTR4,ENSG00000204138,-0.0810757322530333
 PHACTR1,ENSG00000112137,-1.29491264600477
 OR2K2,ENSG00000171133,-0.725161513618696
 PHACTR3,ENSG00000087495,-0.7362052984215
 KRTAP2-3,ENSG00000212724,0.250914182113175
 KRTAP2-2,ENSG00000214518,0.108486888361568
 KRTAP2-1,ENSG00000212725,0.0763620413892914
 KRTAP2-4,ENSG00000213417,0.254855661193096
 ITGA7,ENSG00000135424,1.2081613382719
 VMP1,ENSG00000062716,-0.045319384281592
 NR1D1,ENSG00000126368,-0.382545748564505
 NR1D2,ENSG00000174738,-0.378141525663039
 OGFR,ENSG00000060491,0.204151748212167
 PTCH2,ENSG00000117425,-0.106323952111505
 PTCH1,ENSG00000185920,-0.430986300144091
 TIMM44,ENSG00000104980,0.588071857137215
 RAD9B,ENSG00000151164,0.457285056278233
 RAD9A,ENSG00000172613,-0.0509685836966736
 ERGIC2,ENSG00000087502,0.101782620811114
 ERGIC3,ENSG00000125991,-0.261969704935595
 ERGIC1,ENSG00000113719,0.154736881117226
 B3GAT3,ENSG00000149541,-0.260352009723434
 B3GAT2,ENSG00000112309,-0.739220965780834
 B3GAT1,ENSG00000109956,-1.48338263027825
 CALM2,ENSG00000143933,0.393274652122818
 TTC30A,ENSG00000197557,0.247586065729528
 TTC30B,ENSG00000196659,0.113655009498052
 SPG20,ENSG00000133104,0.1325250675205
 GSDMA,ENSG00000167914,0.509013613755957
 GSDMB,ENSG00000073605,0.135777227167679
 GSDMC,ENSG00000147697,-1.39186754916232
 GSDMD,ENSG00000104518,0.639773437558423
 FBXL13,ENSG00000161040,-0.628946643525718
 UPK1B,ENSG00000114638,-1.48445942181426
 DLGAP2,ENSG00000198010,-0.457802953270286
 DLGAP3,ENSG00000116544,-0.568453829604473
 DLGAP1,ENSG00000170579,-0.0542397794090342
 DLGAP4,ENSG00000080845,0.501728125132403
 DLGAP5,ENSG00000126787,-1.78891597946802
 KB-1507C5.2,ENSG00000253320,-0.486353761022919
 OIP5,ENSG00000104147,-1.1680746743732
 FBXL19,ENSG00000099364,-0.0771620165345831
 LRRFIP1,ENSG00000124831,0.636943418585917
 PTPN18,ENSG00000072135,0.250006178689424
 PTPN13,ENSG00000163629,-0.775668804151748
 PTPN12,ENSG00000127947,0.35001735241723
 PTPN11,ENSG00000179295,0.000288275981868253
 PTPN14,ENSG00000152104,0.846853386462983
 LYAR,ENSG00000145220,-0.0193452490598674
 SDK2,ENSG00000069188,-0.29454506625575
 TFIP11,ENSG00000100109,-0.22190943849277
 C2orf81,ENSG00000159239,-0.0474434885735172
 C2orf80,ENSG00000188674,-0.701575177630989
 DMRTB1,ENSG00000143006,0.184020155884746
 C2orf82,ENSG00000182600,-0.264236108700896
 C2orf88,ENSG00000187699,0.968382798725981
 CDK1,ENSG00000170312,-0.873754748782122
 MZB1,ENSG00000170476,-0.0568264739335086
 TRAPPC6B,ENSG00000182400,-0.170637422238361
 HLA-DQB1,ENSG00000179344,-0.0763234976461429
 HLA-DQB2,ENSG00000232629,0.573123761768493
 CDK7,ENSG00000134058,-0.230290429896086
 FOXS1,ENSG00000179772,-0.53261683126622
 AC008060.7,ENSG00000218672,-0.870614101203619
 LPAR2,ENSG00000064547,-0.647119543145951
 HAPLN4,ENSG00000187664,-1.52204318566359
 THSD1,ENSG00000136114,0.403885018064451
 CAMKK2,ENSG00000110931,-0.0261939222920835
 CAMKK1,ENSG00000004660,-0.0242621901084192
 CHST1,ENSG00000175264,-0.928272199795648
 CHMP3,ENSG00000115561,0.569499511446011
 RPL36AL,ENSG00000165502,-0.0759744174901973
 CHMP7,ENSG00000147457,0.33001289589225
 CHMP6,ENSG00000176108,-0.0196300449668688
 CHMP5,ENSG00000086065,-0.281034976154262
 OR52N4,ENSG00000181074,0.811010739711013
 OR52N2,ENSG00000180988,-0.680921184728142
 LY6G6C,ENSG00000204421,-0.158838980363167
 LY6G6D,ENSG00000244355,-0.657013639197293
 LY6G6E,ENSG00000255552,-0.968143457796556
 LY6G6F,ENSG00000204424,-0.587848013863638
 HOXA10,ENSG00000253293,-3.59711557551119
 GALNTL5,ENSG00000106648,-1.06389799824706
 GALNTL6,ENSG00000174473,-0.858455412802356
 SPECC1,ENSG00000128487,-0.765911275797087
 BCL2A1,ENSG00000140379,-0.808886489968708
 TDG,ENSG00000139372,0.169092608232057
 HN1,ENSG00000189159,-1.09670006950211
 ENTPD5,ENSG00000187097,-0.0774786502749265
 TBX2,ENSG00000121068,0.368601169113654
 LRRC27,ENSG00000148814,-0.198942361371464
 LRRC26,ENSG00000184709,-1.27618302201308
 KIAA1524,ENSG00000163507,-0.0432394852113331
 KIAA1522,ENSG00000162522,0.931755461795753
 MPDU1,ENSG00000129255,-0.708756665056971
 LRRC28,ENSG00000168904,-0.231103479174586
 GCNT4,ENSG00000176928,1.04752138643708
 GCNT6,ENSG00000205318,0.666531580692316
 GCNT3,ENSG00000140297,0.305700949341805
 GCNT2,ENSG00000111846,1.5686066722397
 TBX3,ENSG00000135111,0.00717700644147533
 LPCAT2,ENSG00000087253,0.108071956259959
 LPCAT3,ENSG00000111684,0.0964357873996713
 LPCAT1,ENSG00000153395,0.259180077955487
 TAGLN,ENSG00000149591,2.85763261684144
 CCDC178,ENSG00000166960,0.246777247622709
 CCDC179,ENSG00000255359,-0.370782978250972
 CCDC170,ENSG00000120262,-1.5753564202797
 CCDC171,ENSG00000164989,-0.916721061310799
 CCDC172,ENSG00000182645,-0.250908390170296
 CCDC173,ENSG00000154479,0.550052459983072
 CCDC174,ENSG00000154781,0.142885047055463
 CCDC175,ENSG00000151838,-0.836833522769236
 CCDC176,ENSG00000119636,0.431124999907775
 CCDC177,ENSG00000267909,-0.556649630292968
 PDK1,ENSG00000152256,-0.320924577924336
 PDK4,ENSG00000004799,0.795687609272485
 LNPEP,ENSG00000113441,0.134106811114535
 ALPI,ENSG00000163295,0.194931278572318
 SEC61A1,ENSG00000058262,-0.167980212432875
 SEC61A2,ENSG00000065665,-0.215372541967455
 ALPL,ENSG00000162551,-1.27765609263897
 PECR,ENSG00000115425,0.147767132863636
 SNAPC5,ENSG00000174446,0.160602652801211
 SNAPC4,ENSG00000165684,-0.185195091619365
 DDIT3,ENSG00000175197,0.0966082558634997
 DDIT4,ENSG00000168209,-0.719387916457227
 RIIAD1,ENSG00000178796,0.214344664873742
 GOLGA8T,ENSG00000261247,0.336653792107571
 GOLGA8Q,ENSG00000178115,0.846362270510481
 GOLGA8S,ENSG00000261739,0.163140106800285
 GOLGA8R,ENSG00000186399,0.338709635468882
 GOLGA8M,ENSG00000188626,-0.659001346549887
 GOLGA8O,ENSG00000206127,0.0613871749426198
 GOLGA8N,ENSG00000232653,0.3611273048562
 GOLGA8H,ENSG00000261794,0.397387325221484
 GOLGA8K,ENSG00000249931,-0.156030997187334
 GOLGA8J,ENSG00000179938,-0.19749220685183
 GOLGA8G,ENSG00000183629,1.01495056875038
 GOLGA8A,ENSG00000175265,0.297123781086827
 GOLGA8B,ENSG00000215252,0.596665962503355
 PTPMT1,ENSG00000110536,-0.132972496014005
 FTCDNL1,ENSG00000226124,0.101226500146062
 VMO1,ENSG00000182853,-0.520040880055155
 ATP5C1,ENSG00000165629,0.140879717830823
 ESRRG,ENSG00000196482,2.84640452616134
 NPC2,ENSG00000119655,-0.475919532104089
 NPC1,ENSG00000141458,0.0816305201431857
 C3orf58,ENSG00000181744,0.0181270680653214
 RAB3GAP2,ENSG00000118873,-0.146789215960125
 BHLHA15,ENSG00000180535,-0.933171172674953
 RAB3GAP1,ENSG00000115839,0.0105867917472829
 C3orf52,ENSG00000114529,-0.0359066050395216
 C3orf55,ENSG00000174899,0.539259454368969
 C3orf56,ENSG00000214324,-0.0461248323678971
 DAG1,ENSG00000173402,0.58936787196977
 ETHE1,ENSG00000105755,0.397633243942608
 SGSM3,ENSG00000100359,0.108356919491583
 KDM1A,ENSG00000004487,-0.141677015381224
 KDM1B,ENSG00000165097,-0.342988099413711
 SLC36A2,ENSG00000186335,-1.69865758639649
 AC012313.1,ENSG00000269855,-0.147364709508904
 FCER1G,ENSG00000158869,0.337963414140327
 BTG4,ENSG00000137707,-0.0611275768159741
 FCER1A,ENSG00000179639,1.38272428739193
 BTG2,ENSG00000159388,0.734664483410691
 SOSTDC1,ENSG00000171243,0.937996921111132
 SRD5A3,ENSG00000128039,-0.52693586959
 SRD5A1,ENSG00000145545,-0.639897883795863
 ZFP14,ENSG00000142065,0.171631843082113
 ESRRB,ENSG00000119715,0.230516013902306
 SEC11C,ENSG00000166562,-0.548001581238598
 GGA1,ENSG00000100083,-0.0837348873996916
 GGA3,ENSG00000125447,0.00114276388094594
 GGA2,ENSG00000103365,-0.234502152539237
 FHOD1,ENSG00000135723,-0.220752493269558
 FHOD3,ENSG00000134775,1.44606264919743
 C21orf59,ENSG00000159079,-0.0279464811259872
 C4orf6,ENSG00000082929,0.334585973101116
 GJC2,ENSG00000198835,0.930715920612967
 C4orf3,ENSG00000164096,-0.0736881095584219
 GJC1,ENSG00000182963,0.72997594883981
 PSMB9,ENSG00000240065,-0.100881491483467
 PSMB8,ENSG00000204264,0.00116988891960235
 PSMB7,ENSG00000136930,-0.272572975867044
 PSMB6,ENSG00000142507,0.0597209298154262
 PSMB5,ENSG00000100804,-0.161514273031833
 PSMB4,ENSG00000159377,-0.0028993213367486
 PSMB2,ENSG00000126067,-0.175615587330216
 LMBR1L,ENSG00000139636,0.213588445621487
 LTN1,ENSG00000198862,-0.187333484766103
 TRIML2,ENSG00000179046,-0.314829376324297
