 gene    name , gene    ENS ,Heart-AtrialAppendage
 CHMP1B,ENSG00000255112,0.647563509400303
 TCOF1,ENSG00000070814,-0.156903192892726
 NSRP1,ENSG00000126653,-0.137776517025779
 OPA1,ENSG00000198836,0.119271657280402
 RP11-146D12.2,ENSG00000240240,2.83219751416322
 ITGA1,ENSG00000213949,-0.0464492581663355
 ITGA2,ENSG00000164171,0.216640474789492
 ITGA3,ENSG00000005884,-0.335154394282063
 ITGA4,ENSG00000115232,0.0510307755529787
 ITGA5,ENSG00000161638,0.863383604428387
 ITGA6,ENSG00000091409,-0.633626923565651
 TRHR,ENSG00000174417,0.942248710485242
 UFSP1,ENSG00000176125,0.417050672633215
 UFSP2,ENSG00000109775,0.247417980761126
 MT-CYB,ENSG00000198727,0.76556100155761
 FAM212B,ENSG00000197852,0.245641730675982
 FAM212A,ENSG00000185614,-0.365146506798411
 CHST9,ENSG00000154080,0.315369375611474
 CHST8,ENSG00000124302,-0.994316929829757
 CHST3,ENSG00000122863,0.374989756157182
 CHST2,ENSG00000175040,-0.360475771158915
 CHST5,ENSG00000135702,0.421375662845798
 CHST4,ENSG00000140835,0.741986352605147
 CHST7,ENSG00000147119,0.487343039060272
 CHST6,ENSG00000183196,2.57945322898535
 ITGAX,ENSG00000140678,-0.661027223598358
 ITGAV,ENSG00000138448,0.0329546798326629
 ITGAL,ENSG00000005844,0.0365609069522914
 ITGAM,ENSG00000169896,0.0615038050493141
 ITGAD,ENSG00000156886,0.0258135335334543
 ITGAE,ENSG00000083457,0.157220974019369
 IGF2R,ENSG00000197081,-0.20597755097015
 SLC36A4,ENSG00000180773,0.271091193204044
 SLC36A3,ENSG00000186334,0.177761624098341
 CKS1B,ENSG00000173207,0.437226689664722
 SLC36A1,ENSG00000123643,-0.407845337802955
 ARTN,ENSG00000117407,0.801940611411689
 ART1,ENSG00000129744,-0.644340877112023
 ART3,ENSG00000156219,3.47065711237117
 ART5,ENSG00000167311,1.30611717979822
 AC129492.6,ENSG00000214999,0.920691120897719
 CRTAM,ENSG00000109943,-0.994483093198099
 CADPS2,ENSG00000081803,-0.0596857484212736
 RLF,ENSG00000117000,-0.0331136520428769
 CRTAP,ENSG00000170275,0.0528643708695011
 ADPGK,ENSG00000159322,-0.0945816489688859
 CPEB4,ENSG00000113742,0.480624775080522
 CPEB1,ENSG00000214575,0.395778724626963
 CPEB3,ENSG00000107864,-0.171821654438087
 CPEB2,ENSG00000137449,-1.06003584209961
 SRBD1,ENSG00000068784,0.258183439005477
 ABAT,ENSG00000183044,-0.430456937806634
 POU5F1B,ENSG00000212993,0.416404767709706
 CDH22,ENSG00000149654,1.55106107243902
 PHOX2A,ENSG00000165462,0.987141173484191
 PHOX2B,ENSG00000109132,1.74844846556616
 UPK2,ENSG00000110375,-1.14920747185535
 CFH,ENSG00000000971,2.86825141836839
 CFI,ENSG00000205403,1.89181824441261
 ANKFY1,ENSG00000185722,-0.240265475828262
 CFB,ENSG00000243649,1.23485229506603
 OPA3,ENSG00000125741,0.55342579418251
 AAAS,ENSG00000094914,0.00444098517937064
 SIDT1,ENSG00000072858,-0.662209989742037
 SIDT2,ENSG00000149577,0.254227564087007
 SAGE1,ENSG00000181433,-0.363383449535909
 RP11-89K11.1,ENSG00000259658,0.125872848523496
 AC093802.1,ENSG00000220256,-0.722984083548145
 C4orf19,ENSG00000154274,-1.5313492797243
 SLC7A6OS,ENSG00000103061,-0.149174580584712
 C4orf17,ENSG00000138813,-0.0685703749453479
 CDH26,ENSG00000124215,0.0431563683124566
 ETV3L,ENSG00000253831,-0.86953729475613
 C15orf26,ENSG00000156206,0.491689375929483
 C15orf27,ENSG00000169758,-1.17145894519191
 ZNF117,ENSG00000152926,0.100805683330062
 ZNF114,ENSG00000178150,-0.0681140993754045
 ZNF112,ENSG00000062370,-0.119431957686499
 SEZ6L,ENSG00000100095,-0.540984808264945
 ITGA8,ENSG00000077943,-0.284573908561876
 ITGA9,ENSG00000144668,-0.731539512273638
 PRKAR2A,ENSG00000114302,0.0255510450318471
 PRKAR2B,ENSG00000005249,0.678306252668784
 S1PR5,ENSG00000180739,-1.29199560222066
 S1PR4,ENSG00000125910,-0.0326793566040803
 ITGA2B,ENSG00000005961,1.57022092722652
 ATP2A3,ENSG00000074370,-0.0518871227974945
 PHACTR4,ENSG00000204138,-0.213097737461821
 PHACTR1,ENSG00000112137,-0.724681095653205
 OR2K2,ENSG00000171133,1.68204844620154
 PHACTR3,ENSG00000087495,-0.037402880670575
 KRTAP2-3,ENSG00000212724,-0.132310702403468
 KRTAP2-2,ENSG00000214518,-0.236165833599258
 KRTAP2-1,ENSG00000212725,-0.121943844077258
 KRTAP2-4,ENSG00000213417,0.172215312827465
 ITGA7,ENSG00000135424,1.00652545500634
 VMP1,ENSG00000062716,0.280600752410578
 NR1D1,ENSG00000126368,0.630846832082219
 NR1D2,ENSG00000174738,0.16069105212246
 OGFR,ENSG00000060491,-0.0952152347962387
 PTCH2,ENSG00000117425,-0.582967979990954
 PTCH1,ENSG00000185920,-0.422445712635325
 TIMM44,ENSG00000104980,0.211580111326762
 RAD9B,ENSG00000151164,0.658799561598233
 RAD9A,ENSG00000172613,-0.0591211701745842
 ERGIC2,ENSG00000087502,0.189977640959214
 ERGIC3,ENSG00000125991,0.0675861682409022
 ERGIC1,ENSG00000113719,-0.0668705342827719
 B3GAT3,ENSG00000149541,-0.614849377597121
 B3GAT2,ENSG00000112309,-0.20859622655232
 B3GAT1,ENSG00000109956,-1.75768481394085
 CALM2,ENSG00000143933,-0.701030447928471
 TTC30A,ENSG00000197557,0.0334117034427933
 TTC30B,ENSG00000196659,-0.82945463928734
 SPG20,ENSG00000133104,-0.257723967221099
 GSDMA,ENSG00000167914,-0.242968324513526
 GSDMB,ENSG00000073605,-0.590214206742874
 GSDMC,ENSG00000147697,-0.311820543784828
 GSDMD,ENSG00000104518,0.219247847545195
 FBXL13,ENSG00000161040,-0.405423387750629
 UPK1B,ENSG00000114638,1.70260975506393
 DLGAP2,ENSG00000198010,-0.382809919819926
 DLGAP3,ENSG00000116544,-2.50957609119971
 DLGAP1,ENSG00000170579,-1.84175695308281
 DLGAP4,ENSG00000080845,-0.177227630945973
 DLGAP5,ENSG00000126787,0.343815138356761
 KB-1507C5.2,ENSG00000253320,0.0557486659843047
 OIP5,ENSG00000104147,0.25506484984023
 FBXL19,ENSG00000099364,-0.62501742143481
 LRRFIP1,ENSG00000124831,0.223336868630635
 PTPN18,ENSG00000072135,-0.345622874914075
 PTPN13,ENSG00000163629,0.305384996018674
 PTPN12,ENSG00000127947,-0.162735056486059
 PTPN11,ENSG00000179295,-0.323781711553292
 PTPN14,ENSG00000152104,-0.385647514959976
 LYAR,ENSG00000145220,0.233381295685389
 SDK2,ENSG00000069188,0.712292411182886
 TFIP11,ENSG00000100109,-0.3971194538219
 C2orf81,ENSG00000159239,0.206403726190267
 C2orf80,ENSG00000188674,-0.992733474295109
 DMRTB1,ENSG00000143006,-0.297473705405884
 C2orf82,ENSG00000182600,-1.00023841585352
 C2orf88,ENSG00000187699,0.560936123626352
 CDK1,ENSG00000170312,-0.67336372214168
 MZB1,ENSG00000170476,-0.0374437604876153
 TRAPPC6B,ENSG00000182400,-0.0856849961323319
 HLA-DQB1,ENSG00000179344,-0.326724281377032
 HLA-DQB2,ENSG00000232629,-0.596675065398465
 CDK7,ENSG00000134058,-0.371715942656004
 FOXS1,ENSG00000179772,0.811206748818674
 AC008060.7,ENSG00000218672,-0.931990740453476
 LPAR2,ENSG00000064547,-0.753042873525562
 HAPLN4,ENSG00000187664,-0.345217066975661
 THSD1,ENSG00000136114,-0.202211866255283
 CAMKK2,ENSG00000110931,-0.331600586963636
 CAMKK1,ENSG00000004660,-0.0776550140092386
 CHST1,ENSG00000175264,-0.728730274004007
 CHMP3,ENSG00000115561,0.103422701252897
 RPL36AL,ENSG00000165502,-0.0600009423622046
 CHMP7,ENSG00000147457,0.0901156963730421
 CHMP6,ENSG00000176108,0.0951131336881873
 CHMP5,ENSG00000086065,-0.109416098631158
 OR52N4,ENSG00000181074,0.678610126845136
 OR52N2,ENSG00000180988,0.23325349714938
 LY6G6C,ENSG00000204421,-0.268938991707713
 LY6G6D,ENSG00000244355,-0.183617958170173
 LY6G6E,ENSG00000255552,-0.521187285945659
 LY6G6F,ENSG00000204424,-0.611909108553182
 HOXA10,ENSG00000253293,-1.98453810946614
 GALNTL5,ENSG00000106648,0.853299253281125
 GALNTL6,ENSG00000174473,-2.39610598325036
 SPECC1,ENSG00000128487,-1.14385852111037
 BCL2A1,ENSG00000140379,0.378423858609641
 TDG,ENSG00000139372,-0.165934056676279
 HN1,ENSG00000189159,-0.43138957585373
 ENTPD5,ENSG00000187097,0.0576068410547635
