 gene    name , gene    ENS ,Heart-LeftVentricle
 CHMP1B,ENSG00000255112,-0.49383964291417
 TCOF1,ENSG00000070814,-0.129394232073638
 NSRP1,ENSG00000126653,-0.101186670530783
 OPA1,ENSG00000198836,0.541163533637571
 RP11-146D12.2,ENSG00000240240,0.0826482681701512
 ITGA1,ENSG00000213949,0.617770869277556
 ITGA2,ENSG00000164171,-1.41917728847654
 ITGA3,ENSG00000005884,-0.477701434793028
 ITGA4,ENSG00000115232,-0.394352895127592
 ITGA5,ENSG00000161638,0.258086607373021
 ITGA6,ENSG00000091409,1.00097395986517
 TRHR,ENSG00000174417,0.200062717552312
 UFSP1,ENSG00000176125,-0.525060066748336
 UFSP2,ENSG00000109775,0.0187883880335172
 MT-CYB,ENSG00000198727,2.37255721284502
 FAM212B,ENSG00000197852,0.872276900178005
 FAM212A,ENSG00000185614,0.257683675266158
 CHST9,ENSG00000154080,3.3820920010639
 CHST8,ENSG00000124302,-0.493859992728982
 CHST3,ENSG00000122863,0.258886039592815
 CHST2,ENSG00000175040,-0.554139649650447
 CHST5,ENSG00000135702,0.635727589983642
 CHST4,ENSG00000140835,-0.938146230904918
 CHST7,ENSG00000147119,1.52642426617624
 CHST6,ENSG00000183196,-1.50902230408474
 ITGAX,ENSG00000140678,-0.0704837769549328
 ITGAV,ENSG00000138448,0.539712326812447
 ITGAL,ENSG00000005844,0.0481708823075891
 ITGAM,ENSG00000169896,-0.393481163440963
 ITGAD,ENSG00000156886,2.21906646389125
 ITGAE,ENSG00000083457,-0.342299546224315
 IGF2R,ENSG00000197081,0.463778672674975
 SLC36A4,ENSG00000180773,-0.703396797256949
 SLC36A3,ENSG00000186334,0.0892096372039664
 CKS1B,ENSG00000173207,-0.0591178778778854
 SLC36A1,ENSG00000123643,-0.603087636136463
 ARTN,ENSG00000117407,-1.04141566065869
 ART1,ENSG00000129744,0.46917766888409
 ART3,ENSG00000156219,3.01713311804128
 ART5,ENSG00000167311,1.71430903885905
 AC129492.6,ENSG00000214999,-1.95370052357482
 CRTAM,ENSG00000109943,-1.46752605713609
 CADPS2,ENSG00000081803,0.314802177653437
 RLF,ENSG00000117000,-0.515049700171825
 CRTAP,ENSG00000170275,-0.315221837334191
 ADPGK,ENSG00000159322,-0.295291404571454
 CPEB4,ENSG00000113742,0.524426763323982
 CPEB1,ENSG00000214575,-1.61383983900863
 CPEB3,ENSG00000107864,0.110904669502867
 CPEB2,ENSG00000137449,-0.257647297695229
 SRBD1,ENSG00000068784,-0.070034571821262
 ABAT,ENSG00000183044,-0.762840304471318
 POU5F1B,ENSG00000212993,-0.142386747898663
 CDH22,ENSG00000149654,-0.657456819781122
 PHOX2A,ENSG00000165462,-0.477841802681275
 PHOX2B,ENSG00000109132,-1.00980129117939
 UPK2,ENSG00000110375,-1.31223446676534
 CFH,ENSG00000000971,-0.701713576391501
 CFI,ENSG00000205403,0.353504515891714
 ANKFY1,ENSG00000185722,-0.0659670156181485
 CFB,ENSG00000243649,-1.23284899446766
 OPA3,ENSG00000125741,1.09009187466637
 AAAS,ENSG00000094914,0.347697345033757
 SIDT1,ENSG00000072858,-0.541764974942725
 SIDT2,ENSG00000149577,-0.550617430079072
 SAGE1,ENSG00000181433,-0.175127482621542
 RP11-89K11.1,ENSG00000259658,-0.2391804064534
 AC093802.1,ENSG00000220256,-0.339738612182917
 C4orf19,ENSG00000154274,-0.536647854283581
 SLC7A6OS,ENSG00000103061,0.0492545752658572
 C4orf17,ENSG00000138813,-0.0475668185537183
 CDH26,ENSG00000124215,0.0965095441550744
 ETV3L,ENSG00000253831,0.325053550824077
 C15orf26,ENSG00000156206,1.22642627964908
 C15orf27,ENSG00000169758,-1.07952544827728
 ZNF117,ENSG00000152926,0.103756689040515
 ZNF114,ENSG00000178150,-0.0475979751182149
 ZNF112,ENSG00000062370,0.311428182007312
 SEZ6L,ENSG00000100095,-0.338428904858893
 ITGA8,ENSG00000077943,-0.165382431923683
 ITGA9,ENSG00000144668,1.32520315948235
 PRKAR2A,ENSG00000114302,0.221444248081091
 PRKAR2B,ENSG00000005249,-0.333206966392809
 S1PR5,ENSG00000180739,-1.10971008749268
 S1PR4,ENSG00000125910,-0.246542551975042
 ITGA2B,ENSG00000005961,-1.39463200809113
 ATP2A3,ENSG00000074370,-0.0216927405045872
 PHACTR4,ENSG00000204138,0.0376863652827106
 PHACTR1,ENSG00000112137,1.85179459422717
 OR2K2,ENSG00000171133,0.235273221914441
 PHACTR3,ENSG00000087495,1.22813984003129
 KRTAP2-3,ENSG00000212724,-0.184069051457752
 KRTAP2-2,ENSG00000214518,-0.0868174833843741
 KRTAP2-1,ENSG00000212725,0.0831073191285043
 KRTAP2-4,ENSG00000213417,0.0498858345185469
 ITGA7,ENSG00000135424,1.04723857746306
 VMP1,ENSG00000062716,-0.39588256202991
 NR1D1,ENSG00000126368,-0.93531255447215
 NR1D2,ENSG00000174738,-0.355551502476945
 OGFR,ENSG00000060491,-0.239798531936045
 PTCH2,ENSG00000117425,-0.974347703033461
 PTCH1,ENSG00000185920,-0.552110549014994
 TIMM44,ENSG00000104980,1.00451246511167
 RAD9B,ENSG00000151164,0.16274848389867
 RAD9A,ENSG00000172613,-0.231629197172207
 ERGIC2,ENSG00000087502,0.121741317077812
 ERGIC3,ENSG00000125991,-0.18192577068789
 ERGIC1,ENSG00000113719,-0.24635242050323
 B3GAT3,ENSG00000149541,-0.448040628593013
 B3GAT2,ENSG00000112309,-0.866002231666262
 B3GAT1,ENSG00000109956,-2.04618628533462
 CALM2,ENSG00000143933,-0.176871376949224
 TTC30A,ENSG00000197557,0.432848422944152
 TTC30B,ENSG00000196659,-0.0957320410494507
 SPG20,ENSG00000133104,-0.36247940166241
 GSDMA,ENSG00000167914,-0.395768821996937
 GSDMB,ENSG00000073605,-0.419830790714186
 GSDMC,ENSG00000147697,5.0728314899503
 GSDMD,ENSG00000104518,0.338060430632963
 FBXL13,ENSG00000161040,-0.631508629344416
 UPK1B,ENSG00000114638,-0.716026713344932
 DLGAP2,ENSG00000198010,-2.47687819257842
 DLGAP3,ENSG00000116544,-2.39660566728592
 DLGAP1,ENSG00000170579,-2.16908875462529
 DLGAP4,ENSG00000080845,-0.337777258448455
 DLGAP5,ENSG00000126787,-0.252353012995827
 KB-1507C5.2,ENSG00000253320,-0.667005689986445
 OIP5,ENSG00000104147,-0.623122987110903
 FBXL19,ENSG00000099364,-0.552813056667845
 LRRFIP1,ENSG00000124831,0.365881764678336
 PTPN18,ENSG00000072135,-0.192439462415584
 PTPN13,ENSG00000163629,-0.54242803010612
 PTPN12,ENSG00000127947,0.229390118377917
 PTPN11,ENSG00000179295,-0.477290447858484
 PTPN14,ENSG00000152104,0.0903235966344325
 LYAR,ENSG00000145220,0.0554862877346021
 SDK2,ENSG00000069188,-0.216874007176762
 TFIP11,ENSG00000100109,0.0148495576084177
 C2orf81,ENSG00000159239,-0.630953202239339
 C2orf80,ENSG00000188674,-1.60872898680185
 DMRTB1,ENSG00000143006,-0.390721601929803
 C2orf82,ENSG00000182600,-1.08811000099747
 C2orf88,ENSG00000187699,0.811852632203349
 CDK1,ENSG00000170312,0.183653888928291
 MZB1,ENSG00000170476,0.943608066492281
 TRAPPC6B,ENSG00000182400,-0.194482968326826
 HLA-DQB1,ENSG00000179344,0.617844360543254
 HLA-DQB2,ENSG00000232629,-0.811926292903517
 CDK7,ENSG00000134058,-0.125188117014247
 FOXS1,ENSG00000179772,0.647705903524739
 AC008060.7,ENSG00000218672,-1.08621657619925
 LPAR2,ENSG00000064547,-0.846009418283969
 HAPLN4,ENSG00000187664,-0.568769196751696
 THSD1,ENSG00000136114,1.17605551998603
 CAMKK2,ENSG00000110931,-0.806547453870037
 CAMKK1,ENSG00000004660,-1.14815140538111
 CHST1,ENSG00000175264,0.630105090801145
 CHMP3,ENSG00000115561,0.148473647715642
 RPL36AL,ENSG00000165502,0.0102345106928551
 CHMP7,ENSG00000147457,0.387692156036331
 CHMP6,ENSG00000176108,0.193669139926848
 CHMP5,ENSG00000086065,0.0366209826072445
 OR52N4,ENSG00000181074,1.06633312180606
 OR52N2,ENSG00000180988,0.177813846640688
 LY6G6C,ENSG00000204421,-0.0363809570662689
 LY6G6D,ENSG00000244355,-1.25114208910775
 LY6G6E,ENSG00000255552,-0.222674409551755
 LY6G6F,ENSG00000204424,-0.77649021191728
 HOXA10,ENSG00000253293,-2.66211639403738
 GALNTL5,ENSG00000106648,0.499434756607596
 GALNTL6,ENSG00000174473,-0.743669165698365
 SPECC1,ENSG00000128487,-0.261337173357916
 BCL2A1,ENSG00000140379,0.733450263912157
 TDG,ENSG00000139372,0.0771050951745677
 HN1,ENSG00000189159,-0.905896526009232
 ENTPD5,ENSG00000187097,-0.373177580378045
 TBX2,ENSG00000121068,1.67452744698809
 LRRC27,ENSG00000148814,-0.368907334118895
 LRRC26,ENSG00000184709,-0.298535505894088
 KIAA1524,ENSG00000163507,-0.625188725746314
 KIAA1522,ENSG00000162522,-0.467452214973942
 MPDU1,ENSG00000129255,0.331713748945064
 LRRC28,ENSG00000168904,-0.0651793514318067
 GCNT4,ENSG00000176928,-0.836829412787827
 GCNT6,ENSG00000205318,0.281515081958765
 GCNT3,ENSG00000140297,0.140554671610185
 GCNT2,ENSG00000111846,3.0198281443299
 TBX3,ENSG00000135111,1.00450586815018
 LPCAT2,ENSG00000087253,0.324828194248909
 LPCAT3,ENSG00000111684,0.214167828619421
 LPCAT1,ENSG00000153395,-0.169313757004903
 TAGLN,ENSG00000149591,-1.87841220431728
 CCDC178,ENSG00000166960,-1.62008841815515
 CCDC179,ENSG00000255359,0.0450245932457695
 CCDC170,ENSG00000120262,-0.602874995540993
 CCDC171,ENSG00000164989,-0.485579677081458
 CCDC172,ENSG00000182645,0.0265953884814235
 CCDC173,ENSG00000154479,-1.74295640000233
 CCDC174,ENSG00000154781,-0.0237804942572996
 CCDC175,ENSG00000151838,-0.00226228888900275
 CCDC176,ENSG00000119636,-0.215107059098504
 CCDC177,ENSG00000267909,0.0421295712637451
 PDK1,ENSG00000152256,0.932052894772196
 PDK4,ENSG00000004799,1.67640796586399
 LNPEP,ENSG00000113441,-0.471578265309565
 ALPI,ENSG00000163295,0.170819103572522
 SEC61A1,ENSG00000058262,-0.053728761247905
 SEC61A2,ENSG00000065665,0.0367797236107921
 ALPL,ENSG00000162551,0.561360658500384
 PECR,ENSG00000115425,-0.443604432023904
 SNAPC5,ENSG00000174446,0.519163754837509
 SNAPC4,ENSG00000165684,-0.143960191555064
 DDIT3,ENSG00000175197,-0.181688366362872
 DDIT4,ENSG00000168209,-0.972463038482391
 RIIAD1,ENSG00000178796,1.48579067716792
 GOLGA8T,ENSG00000261247,-0.80546729124222
 GOLGA8Q,ENSG00000178115,-0.0308319820858263
 GOLGA8S,ENSG00000261739,0.193647182135673
 GOLGA8R,ENSG00000186399,0.255340045335641
 GOLGA8M,ENSG00000188626,-0.0870870465674226
 GOLGA8O,ENSG00000206127,0.297453993994427
 GOLGA8N,ENSG00000232653,-0.582883078153437
 GOLGA8H,ENSG00000261794,0.0782217169757778
 GOLGA8K,ENSG00000249931,-0.530995916746706
 GOLGA8J,ENSG00000179938,-0.315792926810977
 GOLGA8G,ENSG00000183629,-0.26202587449872
 GOLGA8A,ENSG00000175265,-0.462200291561721
 GOLGA8B,ENSG00000215252,-0.624149903633261
 PTPMT1,ENSG00000110536,0.0193202815407622
 FTCDNL1,ENSG00000226124,-0.0429485830110623
 VMO1,ENSG00000182853,-0.752063249716313
 ATP5C1,ENSG00000165629,1.92306305848735
 ESRRG,ENSG00000196482,2.02656923474854
 NPC2,ENSG00000119655,-0.0454661378099532
 NPC1,ENSG00000141458,-0.641304506006207
 C3orf58,ENSG00000181744,-0.708404238496582
 RAB3GAP2,ENSG00000118873,-0.306115511774464
 BHLHA15,ENSG00000180535,-1.54655376561483
 RAB3GAP1,ENSG00000115839,-0.0582334893108309
 C3orf52,ENSG00000114529,2.04855183895369
 C3orf55,ENSG00000174899,1.79866410450692
 C3orf56,ENSG00000214324,-0.000172585121809234
 DAG1,ENSG00000173402,0.620832585963737
 ETHE1,ENSG00000105755,-0.322726532727364
 SGSM3,ENSG00000100359,-0.0577093994785949
 KDM1A,ENSG00000004487,-0.0953148652882933
 KDM1B,ENSG00000165097,-0.79970242593665
 SLC36A2,ENSG00000186335,2.083572273088
 AC012313.1,ENSG00000269855,-0.163145654810187
 FCER1G,ENSG00000158869,-0.376991647749316
 BTG4,ENSG00000137707,0.0273138077697935
 FCER1A,ENSG00000179639,0.921198413667869
 BTG2,ENSG00000159388,0.46732566343198
 SOSTDC1,ENSG00000171243,-0.977553421623754
 SRD5A3,ENSG00000128039,0.0457170079908382
 SRD5A1,ENSG00000145545,-1.0319819774029
 ZFP14,ENSG00000142065,-0.0892038259342074
 ESRRB,ENSG00000119715,2.88650912852354
 SEC11C,ENSG00000166562,-0.727691656059818
 GGA1,ENSG00000100083,-0.193222738465954
 GGA3,ENSG00000125447,-0.0975248395432147
 GGA2,ENSG00000103365,-0.0610800807371243
 FHOD1,ENSG00000135723,0.113886843950387
 FHOD3,ENSG00000134775,3.26124391307285
 C21orf59,ENSG00000159079,-0.0901283286226044
 C4orf6,ENSG00000082929,-0.0602171880581234
 GJC2,ENSG00000198835,-0.519399670954542
 C4orf3,ENSG00000164096,0.117313841753024
 GJC1,ENSG00000182963,1.00928068346376
 PSMB9,ENSG00000240065,0.431897364555715
 PSMB8,ENSG00000204264,0.11455147791604
 PSMB7,ENSG00000136930,0.732553178296067
 PSMB6,ENSG00000142507,0.798799189743185
 PSMB5,ENSG00000100804,0.559892215781859
 PSMB4,ENSG00000159377,0.347928188542905
 PSMB2,ENSG00000126067,0.110148464841272
 LMBR1L,ENSG00000139636,0.232339069661372
 LTN1,ENSG00000198862,-0.395282901651004
 TRIML2,ENSG00000179046,-0.379029458932792
 C9orf141,ENSG00000198454,0.139169491588225
 C9orf142,ENSG00000148362,0.000847676859126183
 TRIML1,ENSG00000184108,0.188990578893033
