 gene    name , gene    ENS ,Muscle-Skeletal
 CHMP1B,ENSG00000255112,2.2902830374978
 TCOF1,ENSG00000070814,-0.0685813851489825
 NSRP1,ENSG00000126653,0.119405450435189
 OPA1,ENSG00000198836,1.36317274232559
 RP11-146D12.2,ENSG00000240240,-1.59149560642415
 ITGA1,ENSG00000213949,0.0932131380775803
 ITGA2,ENSG00000164171,-1.47793609841696
 ITGA3,ENSG00000005884,-1.16733814779164
 ITGA4,ENSG00000115232,-1.81663101179847
 ITGA5,ENSG00000161638,-0.693318131981351
 ITGA6,ENSG00000091409,0.0793851129221254
 TRHR,ENSG00000174417,1.42143522402684
 UFSP1,ENSG00000176125,1.65868211431151
 UFSP2,ENSG00000109775,1.2619763042538
 MT-CYB,ENSG00000198727,1.51279683448376
 FAM212B,ENSG00000197852,0.392816835736471
 FAM212A,ENSG00000185614,0.613820585381248
 CHST9,ENSG00000154080,-1.11534090962002
 CHST8,ENSG00000124302,-2.84471745532601
 CHST3,ENSG00000122863,0.411831926801705
 CHST2,ENSG00000175040,-1.81112716990867
 CHST5,ENSG00000135702,-1.39827066397192
 CHST4,ENSG00000140835,-1.00439624987134
 CHST7,ENSG00000147119,-0.989522673744065
 CHST6,ENSG00000183196,-3.35359918534834
 ITGAX,ENSG00000140678,-1.64070989916522
 ITGAV,ENSG00000138448,-0.287392103948512
 ITGAL,ENSG00000005844,-0.984532704847832
 ITGAM,ENSG00000169896,-1.07800643379987
 ITGAD,ENSG00000156886,3.33008030932837
 ITGAE,ENSG00000083457,1.12882764594865
 IGF2R,ENSG00000197081,2.28597551942277
 SLC36A4,ENSG00000180773,-1.9064870391443
 SLC36A3,ENSG00000186334,0.688601788425123
 CKS1B,ENSG00000173207,-1.03906999344826
 SLC36A1,ENSG00000123643,0.274067208279633
 ARTN,ENSG00000117407,-1.45510446247281
 ART1,ENSG00000129744,10.3799652985713
 ART3,ENSG00000156219,5.61154635175007
 ART5,ENSG00000167311,5.14738651992145
 AC129492.6,ENSG00000214999,-2.11191259211174
 CRTAM,ENSG00000109943,-1.84709944501559
 CADPS2,ENSG00000081803,-1.62505139905857
 RLF,ENSG00000117000,-0.0226981411450422
 CRTAP,ENSG00000170275,-0.652789191435383
 ADPGK,ENSG00000159322,-1.22701175939441
 CPEB4,ENSG00000113742,1.90604757374147
 CPEB1,ENSG00000214575,-1.22776002934309
 CPEB3,ENSG00000107864,2.12168734153875
 CPEB2,ENSG00000137449,-0.571640454529758
 SRBD1,ENSG00000068784,-0.215001879810736
 ABAT,ENSG00000183044,-2.92890201224891
 POU5F1B,ENSG00000212993,-1.48338925811987
 CDH22,ENSG00000149654,-0.647091727473139
 PHOX2A,ENSG00000165462,-0.540062895000301
 PHOX2B,ENSG00000109132,-0.150258051858639
 UPK2,ENSG00000110375,-0.87375594100852
 CFH,ENSG00000000971,-0.972556186103397
 CFI,ENSG00000205403,-0.428867233203562
 ANKFY1,ENSG00000185722,-0.269352984780824
 CFB,ENSG00000243649,-1.79965681809379
 OPA3,ENSG00000125741,1.45582674415434
 AAAS,ENSG00000094914,0.215286030822586
 SIDT1,ENSG00000072858,-1.93480641960996
 SIDT2,ENSG00000149577,-0.0791413528179322
 SAGE1,ENSG00000181433,-0.121063652440273
 RP11-89K11.1,ENSG00000259658,-2.08843542492496
 AC093802.1,ENSG00000220256,-0.069657430074164
 C4orf19,ENSG00000154274,-1.88583245394153
 SLC7A6OS,ENSG00000103061,0.623064026574771
 C4orf17,ENSG00000138813,0.0747361167425715
 CDH26,ENSG00000124215,-0.323132347913747
 ETV3L,ENSG00000253831,-0.467730667939242
 C15orf26,ENSG00000156206,-2.41219542178182
 C15orf27,ENSG00000169758,3.25927191362967
 ZNF117,ENSG00000152926,-1.62163983079118
 ZNF114,ENSG00000178150,-0.924920349334315
 ZNF112,ENSG00000062370,0.0836339612504247
 SEZ6L,ENSG00000100095,-1.98478482687488
 ITGA8,ENSG00000077943,-0.858204042645636
 ITGA9,ENSG00000144668,-1.44287934793588
 PRKAR2A,ENSG00000114302,2.54308734416152
 PRKAR2B,ENSG00000005249,-2.94986386862375
 S1PR5,ENSG00000180739,-2.6515593180577
 S1PR4,ENSG00000125910,-0.987847951328685
 ITGA2B,ENSG00000005961,-2.74244920752452
 ATP2A3,ENSG00000074370,-2.08881827695703
 PHACTR4,ENSG00000204138,0.302479051693731
 PHACTR1,ENSG00000112137,-1.95390564778377
 OR2K2,ENSG00000171133,1.58197091037796
 PHACTR3,ENSG00000087495,-3.58812937282588
 KRTAP2-3,ENSG00000212724,-0.180713836094397
 KRTAP2-2,ENSG00000214518,0.364932125603055
 KRTAP2-1,ENSG00000212725,0.189751270279538
 KRTAP2-4,ENSG00000213417,0.463378294904757
 ITGA7,ENSG00000135424,2.01887302163974
 VMP1,ENSG00000062716,-0.886843407755706
 NR1D1,ENSG00000126368,1.32317938106209
 NR1D2,ENSG00000174738,1.33506004687282
 OGFR,ENSG00000060491,-0.674028769780585
 PTCH2,ENSG00000117425,-0.648658649390806
 PTCH1,ENSG00000185920,-1.05568982489279
 TIMM44,ENSG00000104980,1.59560502419356
 RAD9B,ENSG00000151164,1.2586878482136
 RAD9A,ENSG00000172613,-0.671984157235291
 ERGIC2,ENSG00000087502,0.202535886122354
 ERGIC3,ENSG00000125991,-0.3685182889199
 ERGIC1,ENSG00000113719,0.508268183192486
 B3GAT3,ENSG00000149541,-1.63211234888213
 B3GAT2,ENSG00000112309,-0.776111717681273
 B3GAT1,ENSG00000109956,-3.82324216215019
 CALM2,ENSG00000143933,-1.10707223456443
 TTC30A,ENSG00000197557,0.337476511374621
 TTC30B,ENSG00000196659,-0.997315020567323
 SPG20,ENSG00000133104,-0.0882867683835597
 GSDMA,ENSG00000167914,-0.970958730284239
 GSDMB,ENSG00000073605,-1.70411269544691
 GSDMC,ENSG00000147697,4.74007225481214
 GSDMD,ENSG00000104518,-1.02657590995511
 FBXL13,ENSG00000161040,-0.78224415613826
 UPK1B,ENSG00000114638,-1.75223611458963
 DLGAP2,ENSG00000198010,-2.03551742958411
 DLGAP3,ENSG00000116544,-3.61705380276033
 DLGAP1,ENSG00000170579,-2.29839863344141
 DLGAP4,ENSG00000080845,1.0471771073617
 DLGAP5,ENSG00000126787,-0.87174682094392
 KB-1507C5.2,ENSG00000253320,0.211685332053343
 OIP5,ENSG00000104147,3.89265427045237
 FBXL19,ENSG00000099364,-1.87046771274587
 LRRFIP1,ENSG00000124831,1.55981411197702
 PTPN18,ENSG00000072135,-1.33575028153137
 PTPN13,ENSG00000163629,-2.9241801510527
 PTPN12,ENSG00000127947,-0.700801087388058
 PTPN11,ENSG00000179295,0.914515580407787
 PTPN14,ENSG00000152104,2.11380133306004
 LYAR,ENSG00000145220,0.631392403599729
 SDK2,ENSG00000069188,-3.04314221887167
 TFIP11,ENSG00000100109,1.18843616618708
 C2orf81,ENSG00000159239,-2.30166075535538
 C2orf80,ENSG00000188674,-1.8888831294826
 DMRTB1,ENSG00000143006,-0.171653021357753
 C2orf82,ENSG00000182600,-1.19361889459065
 C2orf88,ENSG00000187699,1.48621858739716
 CDK1,ENSG00000170312,-0.542684665709118
 MZB1,ENSG00000170476,-0.158282776165269
 TRAPPC6B,ENSG00000182400,0.213548972046003
 HLA-DQB1,ENSG00000179344,-0.375958670044606
 HLA-DQB2,ENSG00000232629,-1.30886019627142
 CDK7,ENSG00000134058,0.400195715382862
 FOXS1,ENSG00000179772,-0.664596935283696
 AC008060.7,ENSG00000218672,-1.26241553656064
 LPAR2,ENSG00000064547,-2.47781667013143
 HAPLN4,ENSG00000187664,-3.19261964697212
 THSD1,ENSG00000136114,0.295578905327306
 CAMKK2,ENSG00000110931,-1.69728498974893
 CAMKK1,ENSG00000004660,-2.13751726461934
 CHST1,ENSG00000175264,-1.08711244185504
 CHMP3,ENSG00000115561,0.438349401427182
 RPL36AL,ENSG00000165502,0.0315499912245841
 CHMP7,ENSG00000147457,0.667446229746336
 CHMP6,ENSG00000176108,1.61921953723854
 CHMP5,ENSG00000086065,-0.296751895823402
 OR52N4,ENSG00000181074,-0.767360493263015
 OR52N2,ENSG00000180988,-0.124520604989834
 LY6G6C,ENSG00000204421,-1.76071243506774
 LY6G6D,ENSG00000244355,-0.916865342274668
 LY6G6E,ENSG00000255552,-0.363407276939352
 LY6G6F,ENSG00000204424,-0.672276240509467
 HOXA10,ENSG00000253293,6.44037136345632
 GALNTL5,ENSG00000106648,-0.945558799291649
 GALNTL6,ENSG00000174473,0.193466071537081
 SPECC1,ENSG00000128487,-1.20911768173583
 BCL2A1,ENSG00000140379,-1.09472119591839
 TDG,ENSG00000139372,-0.0808861352828071
 HN1,ENSG00000189159,1.7946094299017
 ENTPD5,ENSG00000187097,1.07192447205335
 TBX2,ENSG00000121068,-0.256405027743702
 LRRC27,ENSG00000148814,-1.67192429283872
 LRRC26,ENSG00000184709,-1.75502080287216
 KIAA1524,ENSG00000163507,-0.463542972738323
 KIAA1522,ENSG00000162522,-1.4479400833786
 MPDU1,ENSG00000129255,-0.310137739422189
