 gene    name , gene    ENS ,Nerve-Tibial
 CHMP1B,ENSG00000255112,-0.702220869033683
 TCOF1,ENSG00000070814,-0.0513918556185187
 NSRP1,ENSG00000126653,0.0524492327222586
 OPA1,ENSG00000198836,-0.402156011119899
 RP11-146D12.2,ENSG00000240240,0.563283584447444
 ITGA1,ENSG00000213949,0.639411989489557
 ITGA2,ENSG00000164171,0.897574559867656
 ITGA3,ENSG00000005884,0.565127596472425
 ITGA4,ENSG00000115232,0.618195727787972
 ITGA5,ENSG00000161638,0.5405444474527
 ITGA6,ENSG00000091409,3.21812001212384
 TRHR,ENSG00000174417,-0.167848077470147
 UFSP1,ENSG00000176125,-0.0693503428054808
 UFSP2,ENSG00000109775,0.0605520570755853
 MT-CYB,ENSG00000198727,-0.796953925584438
 FAM212B,ENSG00000197852,0.386894690262987
 FAM212A,ENSG00000185614,0.284098908767762
 CHST9,ENSG00000154080,1.15101742464258
 CHST8,ENSG00000124302,-0.895064021332355
 CHST3,ENSG00000122863,1.31401445495159
 CHST2,ENSG00000175040,1.64656586207233
 CHST5,ENSG00000135702,-0.286699002043805
 CHST4,ENSG00000140835,-0.945717928571151
 CHST7,ENSG00000147119,-0.545292248974595
 CHST6,ENSG00000183196,-1.00411310228427
 ITGAX,ENSG00000140678,0.388295937428217
 ITGAV,ENSG00000138448,0.0859334698588981
 ITGAL,ENSG00000005844,0.409859408828655
 ITGAM,ENSG00000169896,0.893041698919531
 ITGAD,ENSG00000156886,0.819395384754507
 ITGAE,ENSG00000083457,-0.178754837849368
 IGF2R,ENSG00000197081,-0.139418609639964
 SLC36A4,ENSG00000180773,-0.476894792688359
 SLC36A3,ENSG00000186334,-0.187112558024224
 CKS1B,ENSG00000173207,0.29614811444415
 SLC36A1,ENSG00000123643,0.959156264793153
 ARTN,ENSG00000117407,0.71315642145625
 ART1,ENSG00000129744,-0.323271115430858
 ART3,ENSG00000156219,3.1417562987717
 ART5,ENSG00000167311,-0.540927018828582
 AC129492.6,ENSG00000214999,-1.70240780598612
 CRTAM,ENSG00000109943,1.30853845311804
 CADPS2,ENSG00000081803,-0.897619208374976
 RLF,ENSG00000117000,-0.0991263215634368
 CRTAP,ENSG00000170275,0.469140020254927
 ADPGK,ENSG00000159322,0.116293759907726
 CPEB4,ENSG00000113742,-0.96952938857338
 CPEB1,ENSG00000214575,1.20074881705149
 CPEB3,ENSG00000107864,-1.01240105763295
 CPEB2,ENSG00000137449,0.116411189241462
 SRBD1,ENSG00000068784,0.349669774511851
 ABAT,ENSG00000183044,-0.292024775731116
 POU5F1B,ENSG00000212993,-0.124995866398066
 CDH22,ENSG00000149654,-0.58202972296814
 PHOX2A,ENSG00000165462,-0.450237399458406
 PHOX2B,ENSG00000109132,-0.672399050415784
 UPK2,ENSG00000110375,-1.26795475077127
 CFH,ENSG00000000971,1.68123459770282
 CFI,ENSG00000205403,1.55669975763192
 ANKFY1,ENSG00000185722,0.0913758676040288
 CFB,ENSG00000243649,0.809873681798575
 OPA3,ENSG00000125741,-0.776125015553091
 AAAS,ENSG00000094914,-0.10250447356598
 SIDT1,ENSG00000072858,-1.2525375810348
 SIDT2,ENSG00000149577,0.419653563973395
 SAGE1,ENSG00000181433,-0.647833449383418
 RP11-89K11.1,ENSG00000259658,0.872998227421141
 AC093802.1,ENSG00000220256,-0.818524316169985
 C4orf19,ENSG00000154274,-0.214704587730864
 SLC7A6OS,ENSG00000103061,0.0763906647766126
 C4orf17,ENSG00000138813,-0.122859525290534
 CDH26,ENSG00000124215,0.23793784505987
 ETV3L,ENSG00000253831,-0.598624958612189
 C15orf26,ENSG00000156206,-0.982736295236948
 C15orf27,ENSG00000169758,-0.705718859155496
 ZNF117,ENSG00000152926,0.333997857096947
 ZNF114,ENSG00000178150,-0.820985113862009
 ZNF112,ENSG00000062370,-0.0662404363222359
 SEZ6L,ENSG00000100095,-2.01199723003367
 ITGA8,ENSG00000077943,-0.269504049652062
 ITGA9,ENSG00000144668,-0.137471994316914
 PRKAR2A,ENSG00000114302,-0.136998518180663
 PRKAR2B,ENSG00000005249,-0.292683723481844
 S1PR5,ENSG00000180739,-3.56079679618807
 S1PR4,ENSG00000125910,-0.273362808786821
 ITGA2B,ENSG00000005961,0.25795354894175
 ATP2A3,ENSG00000074370,-0.711944188283158
 PHACTR4,ENSG00000204138,0.376034277655784
 PHACTR1,ENSG00000112137,-0.95889541649713
 OR2K2,ENSG00000171133,2.77652924233533
 PHACTR3,ENSG00000087495,-1.26540987088426
 KRTAP2-3,ENSG00000212724,0.769652647893521
 KRTAP2-2,ENSG00000214518,0.515230014158477
 KRTAP2-1,ENSG00000212725,0.021848898383564
 KRTAP2-4,ENSG00000213417,0.0462990129463465
 ITGA7,ENSG00000135424,1.0477392926138
 VMP1,ENSG00000062716,-0.0377519013773804
 NR1D1,ENSG00000126368,-0.133040541873152
 NR1D2,ENSG00000174738,-0.144405554707569
 OGFR,ENSG00000060491,0.274860666561039
 PTCH2,ENSG00000117425,3.30814876462718
 PTCH1,ENSG00000185920,2.82007836232113
 TIMM44,ENSG00000104980,-0.395973091384598
 RAD9B,ENSG00000151164,1.36830089309682
 RAD9A,ENSG00000172613,-0.0958528061970315
 ERGIC2,ENSG00000087502,-0.0743604122053233
 ERGIC3,ENSG00000125991,-0.176430663089195
 ERGIC1,ENSG00000113719,-0.296255564025076
 B3GAT3,ENSG00000149541,-0.00306851102506728
 B3GAT2,ENSG00000112309,-0.810154860462383
 B3GAT1,ENSG00000109956,3.17305625471429
 CALM2,ENSG00000143933,0.077337988532986
 TTC30A,ENSG00000197557,0.13808052222872
 TTC30B,ENSG00000196659,0.358737140869085
 SPG20,ENSG00000133104,0.0643755867178974
 GSDMA,ENSG00000167914,0.0312651830252806
 GSDMB,ENSG00000073605,-0.364350613680876
 GSDMC,ENSG00000147697,-2.56432658711786
 GSDMD,ENSG00000104518,0.34765939676129
 FBXL13,ENSG00000161040,0.0679367828049419
 UPK1B,ENSG00000114638,2.30905026215777
 DLGAP2,ENSG00000198010,-1.51582612931492
 DLGAP3,ENSG00000116544,-1.84513719706655
 DLGAP1,ENSG00000170579,-1.43911686351345
 DLGAP4,ENSG00000080845,0.12160406962699
 DLGAP5,ENSG00000126787,-0.511551781514645
 KB-1507C5.2,ENSG00000253320,0.354838684514808
 OIP5,ENSG00000104147,-0.263202033939086
 FBXL19,ENSG00000099364,-0.952934335062174
 LRRFIP1,ENSG00000124831,-0.576044196918416
 PTPN18,ENSG00000072135,0.0408144674404799
 PTPN13,ENSG00000163629,1.47933963290276
 PTPN12,ENSG00000127947,0.720423306119285
 PTPN11,ENSG00000179295,-0.314971721085171
 PTPN14,ENSG00000152104,1.17473367128937
 LYAR,ENSG00000145220,-0.070255318640382
 SDK2,ENSG00000069188,2.06173869264735
 TFIP11,ENSG00000100109,-0.205044630444765
 C2orf81,ENSG00000159239,0.520703833439401
 C2orf80,ENSG00000188674,-2.91010785523701
 DMRTB1,ENSG00000143006,-0.646816083825784
 C2orf82,ENSG00000182600,1.51917996650481
 C2orf88,ENSG00000187699,2.26181168455511
 CDK1,ENSG00000170312,-0.597382171525099
 MZB1,ENSG00000170476,-0.0345360402537905
 TRAPPC6B,ENSG00000182400,-0.393704488358147
 HLA-DQB1,ENSG00000179344,1.42463151109445
 HLA-DQB2,ENSG00000232629,1.44923280866757
 CDK7,ENSG00000134058,-0.428684888143773
 FOXS1,ENSG00000179772,3.80293568516206
 AC008060.7,ENSG00000218672,-1.66030753786074
 LPAR2,ENSG00000064547,-0.0545660952337587
 HAPLN4,ENSG00000187664,-2.02083400219018
 THSD1,ENSG00000136114,0.761069260023622
 CAMKK2,ENSG00000110931,-0.486701341358468
 CAMKK1,ENSG00000004660,-1.76238271938551
 CHST1,ENSG00000175264,-2.21106044278593
 CHMP3,ENSG00000115561,-0.347103644789476
 RPL36AL,ENSG00000165502,-0.0632702543606284
 CHMP7,ENSG00000147457,-0.38544895204508
 CHMP6,ENSG00000176108,0.018168437999457
 CHMP5,ENSG00000086065,-0.161689526080823
 OR52N4,ENSG00000181074,1.8356929269789
 OR52N2,ENSG00000180988,1.96463493952137
 LY6G6C,ENSG00000204421,-0.709039445700365
 LY6G6D,ENSG00000244355,-1.41304758437493
 LY6G6E,ENSG00000255552,-0.742896202058882
 LY6G6F,ENSG00000204424,-0.897138964275625
 HOXA10,ENSG00000253293,4.16852010413008
 GALNTL5,ENSG00000106648,-1.37882302316409
 GALNTL6,ENSG00000174473,-1.83098872886834
 SPECC1,ENSG00000128487,-0.00231873193244695
 BCL2A1,ENSG00000140379,-2.24083473955715
 TDG,ENSG00000139372,-0.151213350136255
 HN1,ENSG00000189159,-1.47233014008411
 ENTPD5,ENSG00000187097,0.115356007843906
 TBX2,ENSG00000121068,1.22741050261397
 LRRC27,ENSG00000148814,-0.110142334961176
 LRRC26,ENSG00000184709,-1.957285023756
 KIAA1524,ENSG00000163507,-0.135058231572158
 KIAA1522,ENSG00000162522,-0.0277041718496283
 MPDU1,ENSG00000129255,-0.196691270564778
 LRRC28,ENSG00000168904,-0.310044128293309
 GCNT4,ENSG00000176928,-0.686194170530326
 GCNT6,ENSG00000205318,-0.79996151007032
 GCNT3,ENSG00000140297,-0.943389879660589
 GCNT2,ENSG00000111846,-1.80458881400637
 TBX3,ENSG00000135111,0.462195156218158
 LPCAT2,ENSG00000087253,0.890934821691408
 LPCAT3,ENSG00000111684,-0.286948516431445
 LPCAT1,ENSG00000153395,-0.248960130833417
 TAGLN,ENSG00000149591,1.62211169697345
 CCDC178,ENSG00000166960,1.72958127929183
 CCDC179,ENSG00000255359,-0.294091789386583
 CCDC170,ENSG00000120262,1.01909771034887
 CCDC171,ENSG00000164989,1.19387831826211
 CCDC172,ENSG00000182645,-0.556828162516839
 CCDC173,ENSG00000154479,0.110589238984529
 CCDC174,ENSG00000154781,0.104366552277718
 CCDC175,ENSG00000151838,-0.501534099949557
 CCDC176,ENSG00000119636,0.0329505987182386
 CCDC177,ENSG00000267909,-0.743881275634438
 PDK1,ENSG00000152256,-1.03401364829216
 PDK4,ENSG00000004799,0.965679926972435
 LNPEP,ENSG00000113441,-0.402918908667202
 ALPI,ENSG00000163295,0.154877652125238
 SEC61A1,ENSG00000058262,-0.100467013395085
 SEC61A2,ENSG00000065665,-0.267168803907058
 ALPL,ENSG00000162551,-0.797377221532149
 PECR,ENSG00000115425,0.188243720440919
 SNAPC5,ENSG00000174446,-0.519086174175509
 SNAPC4,ENSG00000165684,0.0436531487651197
 DDIT3,ENSG00000175197,-0.375295122443383
 DDIT4,ENSG00000168209,1.78434354509667
 RIIAD1,ENSG00000178796,-1.1766588290213
 GOLGA8T,ENSG00000261247,0.519714402818233
 GOLGA8Q,ENSG00000178115,0.532467078320916
 GOLGA8S,ENSG00000261739,-0.29205914499273
 GOLGA8R,ENSG00000186399,0.408891846783259
 GOLGA8M,ENSG00000188626,0.953701174439322
 GOLGA8O,ENSG00000206127,0.270525750015274
 GOLGA8N,ENSG00000232653,0.269535699354196
 GOLGA8H,ENSG00000261794,1.00351616394873
 GOLGA8K,ENSG00000249931,0.541507713153979
 GOLGA8J,ENSG00000179938,0.0164712689015397
 GOLGA8G,ENSG00000183629,-0.706763704576144
 GOLGA8A,ENSG00000175265,-0.0428371468067403
