 gene    name , gene    ENS ,Ovary
 CHMP1B,ENSG00000255112,-0.460887288527336
 TCOF1,ENSG00000070814,0.0206280041291402
 NSRP1,ENSG00000126653,-0.258488493607752
 OPA1,ENSG00000198836,-0.39979723387605
 RP11-146D12.2,ENSG00000240240,-0.144184003929571
 ITGA1,ENSG00000213949,-1.16318274113503
 ITGA2,ENSG00000164171,-0.56200767134595
 ITGA3,ENSG00000005884,-0.537994638686996
 ITGA4,ENSG00000115232,-1.69173124774636
 ITGA5,ENSG00000161638,-0.363217786692787
 ITGA6,ENSG00000091409,-1.68524095834866
 TRHR,ENSG00000174417,-1.44564266468106
 UFSP1,ENSG00000176125,-0.775414496806878
 UFSP2,ENSG00000109775,0.308397103278492
 MT-CYB,ENSG00000198727,-1.83702627993231
 FAM212B,ENSG00000197852,-1.87964608543701
 FAM212A,ENSG00000185614,-1.30980228585057
 CHST9,ENSG00000154080,-2.73444269382657
 CHST8,ENSG00000124302,0.456165806745769
 CHST3,ENSG00000122863,1.22265950971707
 CHST2,ENSG00000175040,-0.5313078989978
 CHST5,ENSG00000135702,0.00295127582451784
 CHST4,ENSG00000140835,1.51664665560242
 CHST7,ENSG00000147119,1.68563789419007
 CHST6,ENSG00000183196,-3.5505322265741
 ITGAX,ENSG00000140678,-1.94399326642375
 ITGAV,ENSG00000138448,0.359002012894014
 ITGAL,ENSG00000005844,-1.51042510192343
 ITGAM,ENSG00000169896,-2.05864609245207
 ITGAD,ENSG00000156886,-0.393558308888028
 ITGAE,ENSG00000083457,0.059073709814155
 IGF2R,ENSG00000197081,0.384890176607812
 SLC36A4,ENSG00000180773,0.113128393901427
 SLC36A3,ENSG00000186334,-0.145612881041228
 CKS1B,ENSG00000173207,0.217217384292636
 SLC36A1,ENSG00000123643,-0.656308204339057
 ARTN,ENSG00000117407,-0.224027453208804
 ART1,ENSG00000129744,-0.645708072636923
 ART3,ENSG00000156219,-3.89541768986526
 ART5,ENSG00000167311,4.32199934698563
 AC129492.6,ENSG00000214999,-2.65729232938058
 CRTAM,ENSG00000109943,-2.68412179144911
 CADPS2,ENSG00000081803,-0.393321501905831
 RLF,ENSG00000117000,-0.276098082237272
 CRTAP,ENSG00000170275,0.495331398121819
 ADPGK,ENSG00000159322,0.267752370020757
 CPEB4,ENSG00000113742,-1.53752311977404
 CPEB1,ENSG00000214575,0.0276729772824205
 CPEB3,ENSG00000107864,-0.669734276383098
 CPEB2,ENSG00000137449,-1.16361233657075
 SRBD1,ENSG00000068784,-0.311288581200187
 ABAT,ENSG00000183044,-0.7728700385821
 POU5F1B,ENSG00000212993,-0.323433952023113
 CDH22,ENSG00000149654,-0.78661572405146
 PHOX2A,ENSG00000165462,-0.39052761101967
 PHOX2B,ENSG00000109132,0.0457711792481326
 UPK2,ENSG00000110375,0.894355919573291
 CFH,ENSG00000000971,1.78818127766473
 CFI,ENSG00000205403,2.08494484248715
 ANKFY1,ENSG00000185722,0.182889901733731
 CFB,ENSG00000243649,-1.59451876633098
 OPA3,ENSG00000125741,-0.810037825264732
 AAAS,ENSG00000094914,0.0968687252898984
 SIDT1,ENSG00000072858,-1.84594939648733
 SIDT2,ENSG00000149577,0.821187604660016
 SAGE1,ENSG00000181433,-0.425903035953497
 RP11-89K11.1,ENSG00000259658,0.885192742656107
 AC093802.1,ENSG00000220256,-0.440367357488804
 C4orf19,ENSG00000154274,-2.19435741648011
 SLC7A6OS,ENSG00000103061,0.148456880035488
 C4orf17,ENSG00000138813,-0.72381856227072
 CDH26,ENSG00000124215,-1.64800644818665
 ETV3L,ENSG00000253831,-0.741677447517183
 C15orf26,ENSG00000156206,-1.06560906601211
 C15orf27,ENSG00000169758,-0.990303763961797
 ZNF117,ENSG00000152926,0.14583589910655
 ZNF114,ENSG00000178150,-0.147084434791556
 ZNF112,ENSG00000062370,0.232622096845659
 SEZ6L,ENSG00000100095,-2.08348168883805
 ITGA8,ENSG00000077943,-1.61242202401276
 ITGA9,ENSG00000144668,-0.269570302186519
 PRKAR2A,ENSG00000114302,-0.578121787867654
 PRKAR2B,ENSG00000005249,1.3537364156678
 S1PR5,ENSG00000180739,-1.37108943606621
 S1PR4,ENSG00000125910,-1.70200622407857
 ITGA2B,ENSG00000005961,1.18863741408944
 ATP2A3,ENSG00000074370,-1.7704735575239
 PHACTR4,ENSG00000204138,0.03123246006221
 PHACTR1,ENSG00000112137,-0.876566102531927
 OR2K2,ENSG00000171133,-0.730465369069102
 PHACTR3,ENSG00000087495,3.29327905026334
 KRTAP2-3,ENSG00000212724,-0.121720095155439
 KRTAP2-2,ENSG00000214518,0.0543094277361248
 KRTAP2-1,ENSG00000212725,-0.337216129280167
 KRTAP2-4,ENSG00000213417,-0.266310985005274
 ITGA7,ENSG00000135424,-1.71464827148525
 VMP1,ENSG00000062716,-0.133104577716948
 NR1D1,ENSG00000126368,0.856226906641819
 NR1D2,ENSG00000174738,-0.0135583995315867
 OGFR,ENSG00000060491,0.228849067656347
 PTCH2,ENSG00000117425,2.43950680691149
 PTCH1,ENSG00000185920,-0.0969004142175158
 TIMM44,ENSG00000104980,0.0920588201200361
 RAD9B,ENSG00000151164,1.02919992577066
 RAD9A,ENSG00000172613,0.243787796154815
 ERGIC2,ENSG00000087502,-0.184263161764358
 ERGIC3,ENSG00000125991,0.641624474184987
 ERGIC1,ENSG00000113719,-0.0228317720319788
 B3GAT3,ENSG00000149541,0.0282243206869645
 B3GAT2,ENSG00000112309,-0.778199975222655
 B3GAT1,ENSG00000109956,-3.39591591471006
 CALM2,ENSG00000143933,-0.400363573871602
 TTC30A,ENSG00000197557,-0.685009207355632
 TTC30B,ENSG00000196659,-0.49928160039562
 SPG20,ENSG00000133104,0.713100752528065
 GSDMA,ENSG00000167914,-0.90446886649589
 GSDMB,ENSG00000073605,0.122381024178279
 GSDMC,ENSG00000147697,-1.20413841899618
 GSDMD,ENSG00000104518,1.22186915184296
 FBXL13,ENSG00000161040,0.878747223410602
 UPK1B,ENSG00000114638,-2.7660795871906
 DLGAP2,ENSG00000198010,-1.56680515362065
 DLGAP3,ENSG00000116544,-1.69551957935739
 DLGAP1,ENSG00000170579,0.210950379539563
 DLGAP4,ENSG00000080845,-0.428424332069607
 DLGAP5,ENSG00000126787,1.1737739175517
 KB-1507C5.2,ENSG00000253320,0.202651307167712
 OIP5,ENSG00000104147,1.20525917145909
 FBXL19,ENSG00000099364,0.0468210669234576
 LRRFIP1,ENSG00000124831,-1.17611360391115
 PTPN18,ENSG00000072135,-0.402362776609724
 PTPN13,ENSG00000163629,1.00581614204515
 PTPN12,ENSG00000127947,-0.167503670089294
 PTPN11,ENSG00000179295,-1.13571038267929
 PTPN14,ENSG00000152104,0.088280243404105
 LYAR,ENSG00000145220,0.255607847513704
 SDK2,ENSG00000069188,-0.339690628312631
 TFIP11,ENSG00000100109,-0.371023772720767
 C2orf81,ENSG00000159239,0.375743524465449
 C2orf80,ENSG00000188674,-1.1220956486167
 DMRTB1,ENSG00000143006,1.72549012316549
 C2orf82,ENSG00000182600,-0.185479340206073
 C2orf88,ENSG00000187699,-1.55407452427869
 CDK1,ENSG00000170312,0.852374999694414
 MZB1,ENSG00000170476,-0.628886480750603
 TRAPPC6B,ENSG00000182400,-0.548112971039043
 HLA-DQB1,ENSG00000179344,-2.00607705427403
 HLA-DQB2,ENSG00000232629,-2.33973213840169
 CDK7,ENSG00000134058,-0.270272209003814
 FOXS1,ENSG00000179772,-1.16874818109833
 AC008060.7,ENSG00000218672,-0.846002376116384
 LPAR2,ENSG00000064547,1.23480281078864
 HAPLN4,ENSG00000187664,1.16438243002531
 THSD1,ENSG00000136114,-1.22977308712599
 CAMKK2,ENSG00000110931,-0.373395456296069
 CAMKK1,ENSG00000004660,-1.05783263820327
 CHST1,ENSG00000175264,0.863703321978489
 CHMP3,ENSG00000115561,-0.75045124003488
 RPL36AL,ENSG00000165502,1.13396619649585
 CHMP7,ENSG00000147457,-0.229385743324106
 CHMP6,ENSG00000176108,-0.197604299821583
 CHMP5,ENSG00000086065,-0.233375353525832
 OR52N4,ENSG00000181074,1.97134696874292
 OR52N2,ENSG00000180988,-0.0588448408865074
 LY6G6C,ENSG00000204421,-1.05465492781971
 LY6G6D,ENSG00000244355,-1.15460023501655
 LY6G6E,ENSG00000255552,-1.48970318428884
 LY6G6F,ENSG00000204424,-1.4793438917376
 HOXA10,ENSG00000253293,-2.04360911590263
 GALNTL5,ENSG00000106648,-1.45816849005782
 GALNTL6,ENSG00000174473,-2.46997208191852
 SPECC1,ENSG00000128487,1.25732144302735
 BCL2A1,ENSG00000140379,-1.82664202669971
 TDG,ENSG00000139372,0.424866195112096
 HN1,ENSG00000189159,-0.536718382629452
 ENTPD5,ENSG00000187097,-0.126068984710077
 TBX2,ENSG00000121068,-0.0100960910555876
 LRRC27,ENSG00000148814,0.291270365186053
 LRRC26,ENSG00000184709,-0.30596454272867
 KIAA1524,ENSG00000163507,0.293565639063168
 KIAA1522,ENSG00000162522,1.30865983570429
 MPDU1,ENSG00000129255,-0.590192291732772
 LRRC28,ENSG00000168904,-0.266806917533399
 GCNT4,ENSG00000176928,0.070105476866637
 GCNT6,ENSG00000205318,-0.323133954756085
 GCNT3,ENSG00000140297,1.58061496267142
 GCNT2,ENSG00000111846,-1.58940607418689
 TBX3,ENSG00000135111,1.50633501976204
 LPCAT2,ENSG00000087253,0.434334707325448
 LPCAT3,ENSG00000111684,-0.464921877814857
 LPCAT1,ENSG00000153395,0.137132702120983
 TAGLN,ENSG00000149591,-0.379962721153227
 CCDC178,ENSG00000166960,3.28762713945624
 CCDC179,ENSG00000255359,-0.706180448987137
 CCDC170,ENSG00000120262,3.22668071897047
 CCDC171,ENSG00000164989,-0.171868191139338
 CCDC172,ENSG00000182645,-0.373097036742132
 CCDC173,ENSG00000154479,-0.212481012404835
 CCDC174,ENSG00000154781,0.745859226980591
 CCDC175,ENSG00000151838,-0.863897515276774
 CCDC176,ENSG00000119636,0.0218054777572527
 CCDC177,ENSG00000267909,-0.988224576061005
 PDK1,ENSG00000152256,0.0198232905829757
 PDK4,ENSG00000004799,1.1374305481875
 LNPEP,ENSG00000113441,-0.299928497422637
 ALPI,ENSG00000163295,0.289845257653503
 SEC61A1,ENSG00000058262,-0.116770502727074
 SEC61A2,ENSG00000065665,-0.465719233349118
 ALPL,ENSG00000162551,-0.332921873996498
 PECR,ENSG00000115425,-0.108804898869332
 SNAPC5,ENSG00000174446,-0.385786515950215
 SNAPC4,ENSG00000165684,0.160996391019151
 DDIT3,ENSG00000175197,0.564914496918532
 DDIT4,ENSG00000168209,1.07130494614103
 RIIAD1,ENSG00000178796,-1.03990692674186
 GOLGA8T,ENSG00000261247,0.163668317034114
 GOLGA8Q,ENSG00000178115,0.294808754826883
 GOLGA8S,ENSG00000261739,0.180403144612572
 GOLGA8R,ENSG00000186399,0.165200121985603
 GOLGA8M,ENSG00000188626,1.47730756601865
 GOLGA8O,ENSG00000206127,-0.297509560532441
 GOLGA8N,ENSG00000232653,0.293132016865762
 GOLGA8H,ENSG00000261794,-0.047358523427966
 GOLGA8K,ENSG00000249931,-0.209017897480515
 GOLGA8J,ENSG00000179938,0.00620496567543047
 GOLGA8G,ENSG00000183629,-0.693363669668008
 GOLGA8A,ENSG00000175265,1.18551382084095
 GOLGA8B,ENSG00000215252,1.22616745604279
 PTPMT1,ENSG00000110536,-0.452949093469581
 FTCDNL1,ENSG00000226124,-0.428403586526787
 VMO1,ENSG00000182853,-1.86257785819219
 ATP5C1,ENSG00000165629,-0.390617984281457
 ESRRG,ENSG00000196482,-2.21993670460759
 NPC2,ENSG00000119655,0.966994745235268
 NPC1,ENSG00000141458,0.224399978070432
 C3orf58,ENSG00000181744,0.860278835531427
 RAB3GAP2,ENSG00000118873,-0.27328196417125
 BHLHA15,ENSG00000180535,-0.702290478666267
 RAB3GAP1,ENSG00000115839,-0.225757545498429
 C3orf52,ENSG00000114529,-2.25555942962764
 C3orf55,ENSG00000174899,-3.14733734187235
 C3orf56,ENSG00000214324,1.37961011058349
 DAG1,ENSG00000173402,-0.609801018109178
 ETHE1,ENSG00000105755,-0.214367890954554
 SGSM3,ENSG00000100359,0.126513003259336
 KDM1A,ENSG00000004487,0.472864517832882
 KDM1B,ENSG00000165097,-0.652351410058347
 SLC36A2,ENSG00000186335,-2.08694400107865
 AC012313.1,ENSG00000269855,0.336523432176169
 FCER1G,ENSG00000158869,-1.34927579086138
 BTG4,ENSG00000137707,-0.117964546318726
 FCER1A,ENSG00000179639,-2.39317209374063
 BTG2,ENSG00000159388,1.17209574734672
 SOSTDC1,ENSG00000171243,-0.159177913148312
 SRD5A3,ENSG00000128039,-1.13760467223186
 SRD5A1,ENSG00000145545,0.296149136143032
 ZFP14,ENSG00000142065,-0.0475485234060446
 ESRRB,ENSG00000119715,-2.41750442448067
 SEC11C,ENSG00000166562,-1.11418727834889
 GGA1,ENSG00000100083,0.400634933623308
 GGA3,ENSG00000125447,0.0386428195882604
 GGA2,ENSG00000103365,0.987623426897101
 FHOD1,ENSG00000135723,0.634122588804971
 FHOD3,ENSG00000134775,-0.0137489218841708
 C21orf59,ENSG00000159079,-0.128541731986714
 C4orf6,ENSG00000082929,0.278355229076893
 GJC2,ENSG00000198835,-0.399008432486559
 C4orf3,ENSG00000164096,-0.263331702033879
 GJC1,ENSG00000182963,-1.09490875587149
 PSMB9,ENSG00000240065,-0.275136077427082
 PSMB8,ENSG00000204264,0.280708951047983
 PSMB7,ENSG00000136930,-0.0401553633304485
 PSMB6,ENSG00000142507,-0.821137029881494
 PSMB5,ENSG00000100804,-0.501777332510012
 PSMB4,ENSG00000159377,-0.0884871194209391
 PSMB2,ENSG00000126067,-0.346010348910402
 LMBR1L,ENSG00000139636,0.424657075287449
 LTN1,ENSG00000198862,-0.308482934785635
 TRIML2,ENSG00000179046,-0.82855947703243
 C9orf141,ENSG00000198454,-1.30556463338316
