 gene    name , gene    ENS ,Pituitary
 CHMP1B,ENSG00000255112,-0.189537460798981
 TCOF1,ENSG00000070814,-0.389587011859387
 NSRP1,ENSG00000126653,-0.188182493021113
 OPA1,ENSG00000198836,-0.383647582797492
 RP11-146D12.2,ENSG00000240240,1.17543031759091
 ITGA1,ENSG00000213949,-0.781969213893692
 ITGA2,ENSG00000164171,-0.683146818670583
 ITGA3,ENSG00000005884,0.676334183800122
 ITGA4,ENSG00000115232,-1.03868014857706
 ITGA5,ENSG00000161638,-1.59841801181996
 ITGA6,ENSG00000091409,-1.0711535926185
 TRHR,ENSG00000174417,5.75894637655866
 UFSP1,ENSG00000176125,0.889403403237185
 UFSP2,ENSG00000109775,-0.397817412769622
 MT-CYB,ENSG00000198727,-0.361673169237089
 FAM212B,ENSG00000197852,-2.73322280748088
 FAM212A,ENSG00000185614,-1.12161686056058
 CHST9,ENSG00000154080,2.96117381160461
 CHST8,ENSG00000124302,5.9202125832096
 CHST3,ENSG00000122863,-0.982627727542855
 CHST2,ENSG00000175040,0.041208816515157
 CHST5,ENSG00000135702,0.795575874874272
 CHST4,ENSG00000140835,4.39494601500375
 CHST7,ENSG00000147119,-0.392124942841306
 CHST6,ENSG00000183196,0.513066216494489
 ITGAX,ENSG00000140678,0.0767863065871098
 ITGAV,ENSG00000138448,-0.798022336013431
 ITGAL,ENSG00000005844,0.229502361478594
 ITGAM,ENSG00000169896,-0.64629188893839
 ITGAD,ENSG00000156886,-0.136064309948889
 ITGAE,ENSG00000083457,-0.599271599697488
 IGF2R,ENSG00000197081,-0.455575753246989
 SLC36A4,ENSG00000180773,0.623228101203081
 SLC36A3,ENSG00000186334,-1.01071547585881
 CKS1B,ENSG00000173207,-0.266498932546159
 SLC36A1,ENSG00000123643,-0.611497770887643
 ARTN,ENSG00000117407,2.24749818271033
 ART1,ENSG00000129744,-1.02662556797194
 ART3,ENSG00000156219,0.475185670555035
 ART5,ENSG00000167311,0.405683401814895
 AC129492.6,ENSG00000214999,0.872476083469144
 CRTAM,ENSG00000109943,-1.07209130735597
 CADPS2,ENSG00000081803,0.351235285226429
 RLF,ENSG00000117000,-0.813986234702208
 CRTAP,ENSG00000170275,-1.73896523425996
 ADPGK,ENSG00000159322,-0.110846840704975
 CPEB4,ENSG00000113742,-0.0174453710957054
 CPEB1,ENSG00000214575,2.49572932967833
 CPEB3,ENSG00000107864,0.0334387069779258
 CPEB2,ENSG00000137449,-1.05753606164367
 SRBD1,ENSG00000068784,0.396205191944584
 ABAT,ENSG00000183044,2.14109313918064
 POU5F1B,ENSG00000212993,1.09333985897281
 CDH22,ENSG00000149654,1.37635448542175
 PHOX2A,ENSG00000165462,1.90348365528085
 PHOX2B,ENSG00000109132,-0.307639621859349
 UPK2,ENSG00000110375,-1.01033982746165
 CFH,ENSG00000000971,-1.3240633301787
 CFI,ENSG00000205403,0.386808652202928
 ANKFY1,ENSG00000185722,-0.126223773555612
 CFB,ENSG00000243649,0.242402388961476
 OPA3,ENSG00000125741,0.519659058746468
 AAAS,ENSG00000094914,0.772360177413649
 SIDT1,ENSG00000072858,2.41258401664938
 SIDT2,ENSG00000149577,0.154942843953008
 SAGE1,ENSG00000181433,3.53981365528862
 RP11-89K11.1,ENSG00000259658,-0.0251586721847738
 AC093802.1,ENSG00000220256,-0.727627929338861
 C4orf19,ENSG00000154274,0.0127054438662289
 SLC7A6OS,ENSG00000103061,-0.750884559210297
 C4orf17,ENSG00000138813,-0.527026435492009
 CDH26,ENSG00000124215,0.737335795479126
 ETV3L,ENSG00000253831,2.14154856345515
 C15orf26,ENSG00000156206,2.98093240187507
 C15orf27,ENSG00000169758,2.0344956704206
 ZNF117,ENSG00000152926,0.451611185642837
 ZNF114,ENSG00000178150,-0.476172314830164
 ZNF112,ENSG00000062370,0.499612001297023
 SEZ6L,ENSG00000100095,4.84792259216238
 ITGA8,ENSG00000077943,0.217641270359452
 ITGA9,ENSG00000144668,-1.41910365016889
 PRKAR2A,ENSG00000114302,-0.599273823733778
 PRKAR2B,ENSG00000005249,0.539516721442689
 S1PR5,ENSG00000180739,-1.71875546365224
 S1PR4,ENSG00000125910,-0.644728183476895
 ITGA2B,ENSG00000005961,0.984818119643915
 ATP2A3,ENSG00000074370,-1.65309775918099
 PHACTR4,ENSG00000204138,-0.817608382582236
 PHACTR1,ENSG00000112137,-0.0820703607956228
 OR2K2,ENSG00000171133,0.287941739986449
 PHACTR3,ENSG00000087495,2.94413094337735
 KRTAP2-3,ENSG00000212724,0.154242596732777
 KRTAP2-2,ENSG00000214518,0.0498980069903877
 KRTAP2-1,ENSG00000212725,-0.144226969577023
 KRTAP2-4,ENSG00000213417,-0.0535637608016242
 ITGA7,ENSG00000135424,-1.16374498834561
 VMP1,ENSG00000062716,-0.659372680308616
 NR1D1,ENSG00000126368,-1.19025531160677
 NR1D2,ENSG00000174738,-0.674577311481797
 OGFR,ENSG00000060491,-0.13391506509889
 PTCH2,ENSG00000117425,1.15752203556546
 PTCH1,ENSG00000185920,-0.192147183184059
 TIMM44,ENSG00000104980,-0.403314678189615
 RAD9B,ENSG00000151164,-1.47550117950549
 RAD9A,ENSG00000172613,0.304699324018272
 ERGIC2,ENSG00000087502,-0.2824837992381
 ERGIC3,ENSG00000125991,-0.443199445588241
 ERGIC1,ENSG00000113719,-0.20151932324846
 B3GAT3,ENSG00000149541,0.53870750239454
 B3GAT2,ENSG00000112309,-1.27914519714282
 B3GAT1,ENSG00000109956,0.25053154522667
 CALM2,ENSG00000143933,-0.249401194597034
 TTC30A,ENSG00000197557,0.852852359394016
 TTC30B,ENSG00000196659,0.752343216222045
 SPG20,ENSG00000133104,0.120726248278701
 GSDMA,ENSG00000167914,-0.424174965450837
 GSDMB,ENSG00000073605,-0.947797700312645
 GSDMC,ENSG00000147697,-2.14907070113051
 GSDMD,ENSG00000104518,-0.0703623443347794
 FBXL13,ENSG00000161040,0.832859265246708
 UPK1B,ENSG00000114638,0.431718941363543
 DLGAP2,ENSG00000198010,3.49496987205211
 DLGAP3,ENSG00000116544,2.37146946256154
 DLGAP1,ENSG00000170579,-0.912074048277147
 DLGAP4,ENSG00000080845,-0.683255924488975
 DLGAP5,ENSG00000126787,-1.3162230823212
 KB-1507C5.2,ENSG00000253320,1.2222856338102
 OIP5,ENSG00000104147,-1.77968955106102
 FBXL19,ENSG00000099364,0.172328502876398
 LRRFIP1,ENSG00000124831,-0.653448767407971
 PTPN18,ENSG00000072135,-0.00387132700692494
 PTPN13,ENSG00000163629,1.20965612808816
 PTPN12,ENSG00000127947,-0.661323525174032
 PTPN11,ENSG00000179295,-0.897350528492228
 PTPN14,ENSG00000152104,-0.877222057774009
 LYAR,ENSG00000145220,-0.201346132250982
 SDK2,ENSG00000069188,1.10751337239984
 TFIP11,ENSG00000100109,-0.25310585308096
 C2orf81,ENSG00000159239,2.42358358386929
 C2orf80,ENSG00000188674,2.9104313485658
 DMRTB1,ENSG00000143006,-0.527378118618553
 C2orf82,ENSG00000182600,-0.0960420559522622
 C2orf88,ENSG00000187699,-0.8019617571464
 CDK1,ENSG00000170312,1.4374118098699
 MZB1,ENSG00000170476,0.315832068875275
 TRAPPC6B,ENSG00000182400,-0.445471848205043
 HLA-DQB1,ENSG00000179344,0.614660357685416
 HLA-DQB2,ENSG00000232629,0.542174994427278
 CDK7,ENSG00000134058,0.261135288781811
 FOXS1,ENSG00000179772,-0.268231473533652
 AC008060.7,ENSG00000218672,-1.46486147713875
 LPAR2,ENSG00000064547,0.3651471929609
 HAPLN4,ENSG00000187664,0.257147550544345
 THSD1,ENSG00000136114,-0.231817431882632
 CAMKK2,ENSG00000110931,-1.76392229203925
 CAMKK1,ENSG00000004660,0.892130024479972
 CHST1,ENSG00000175264,0.942338369466805
 CHMP3,ENSG00000115561,-0.759202362924931
 RPL36AL,ENSG00000165502,0.0988033652981174
 CHMP7,ENSG00000147457,-0.414755729209579
 CHMP6,ENSG00000176108,-0.395573322537856
