 gene    name , gene    ENS ,Prostate
 CHMP1B,ENSG00000255112,-0.487923236397036
 TCOF1,ENSG00000070814,-0.0266278616107848
 NSRP1,ENSG00000126653,-0.154605798260232
 OPA1,ENSG00000198836,-0.472392329025631
 RP11-146D12.2,ENSG00000240240,0.121388800677762
 ITGA1,ENSG00000213949,0.762153229602634
 ITGA2,ENSG00000164171,0.599980153754028
 ITGA3,ENSG00000005884,0.12798871412318
 ITGA4,ENSG00000115232,-0.524703292870071
 ITGA5,ENSG00000161638,1.81642485300978
 ITGA6,ENSG00000091409,0.408238906204292
 TRHR,ENSG00000174417,-0.958860615677848
 UFSP1,ENSG00000176125,0.244915833274395
 UFSP2,ENSG00000109775,-0.279916676962676
 MT-CYB,ENSG00000198727,0.322124095356082
 FAM212B,ENSG00000197852,-0.127505000105701
 FAM212A,ENSG00000185614,0.0730878201889892
 CHST9,ENSG00000154080,2.16683456033401
 CHST8,ENSG00000124302,0.143716876312383
 CHST3,ENSG00000122863,0.323067078496287
 CHST2,ENSG00000175040,1.0697994574246
 CHST5,ENSG00000135702,0.154635972965205
 CHST4,ENSG00000140835,1.15170508759637
 CHST7,ENSG00000147119,-0.638940080245287
 CHST6,ENSG00000183196,-1.2472202855435
 ITGAX,ENSG00000140678,-0.0453902110032593
 ITGAV,ENSG00000138448,-0.705092513181718
 ITGAL,ENSG00000005844,-0.135745071140693
 ITGAM,ENSG00000169896,-0.616166000145285
 ITGAD,ENSG00000156886,0.357554356829218
 ITGAE,ENSG00000083457,0.00656640739687093
 IGF2R,ENSG00000197081,-0.254131251846889
 SLC36A4,ENSG00000180773,-0.128026601630817
 SLC36A3,ENSG00000186334,0.0738859922003711
 CKS1B,ENSG00000173207,-0.190114558419223
 SLC36A1,ENSG00000123643,0.394998010835702
 ARTN,ENSG00000117407,2.68639760292812
 ART1,ENSG00000129744,-0.761623494915277
 ART3,ENSG00000156219,-0.98778232757135
 ART5,ENSG00000167311,0.955974913476311
 AC129492.6,ENSG00000214999,5.65005408868493
 CRTAM,ENSG00000109943,-1.19702228708629
 CADPS2,ENSG00000081803,0.411976168565683
 RLF,ENSG00000117000,0.0555914402180421
 CRTAP,ENSG00000170275,0.07779980864563
 ADPGK,ENSG00000159322,1.00930807293551
 CPEB4,ENSG00000113742,-1.01773521956107
 CPEB1,ENSG00000214575,-1.29481501976706
 CPEB3,ENSG00000107864,-0.380387037463801
 CPEB2,ENSG00000137449,-0.641549555545012
 SRBD1,ENSG00000068784,0.158342362870309
 ABAT,ENSG00000183044,0.483037327250598
 POU5F1B,ENSG00000212993,2.53383441248317
 CDH22,ENSG00000149654,1.47270715279846
 PHOX2A,ENSG00000165462,0.0383988353052279
 PHOX2B,ENSG00000109132,-0.513061453430846
 UPK2,ENSG00000110375,1.14242466582122
 CFH,ENSG00000000971,-1.06679854705461
 CFI,ENSG00000205403,0.0379592315636587
 ANKFY1,ENSG00000185722,-0.209537848005611
 CFB,ENSG00000243649,0.617081317196818
 OPA3,ENSG00000125741,0.0841351961332912
 AAAS,ENSG00000094914,0.222927087436655
 SIDT1,ENSG00000072858,1.72792236050499
 SIDT2,ENSG00000149577,1.23149548422
 SAGE1,ENSG00000181433,-0.334630329660986
 RP11-89K11.1,ENSG00000259658,0.785484301103917
 AC093802.1,ENSG00000220256,-0.606976110461244
 C4orf19,ENSG00000154274,0.325197694326222
 SLC7A6OS,ENSG00000103061,-0.316664377001838
 C4orf17,ENSG00000138813,-0.513774431182703
 CDH26,ENSG00000124215,3.0652994036047
 ETV3L,ENSG00000253831,-0.638804530073395
 C15orf26,ENSG00000156206,-0.917612851925835
 C15orf27,ENSG00000169758,-0.237831968374712
 ZNF117,ENSG00000152926,0.0199836849324406
 ZNF114,ENSG00000178150,-0.0720077085729112
 ZNF112,ENSG00000062370,0.24555123602212
 SEZ6L,ENSG00000100095,-1.25305726476586
 ITGA8,ENSG00000077943,0.378515599477751
 ITGA9,ENSG00000144668,0.137858453955024
 PRKAR2A,ENSG00000114302,0.0414155958775586
 PRKAR2B,ENSG00000005249,-0.00582595293293846
 S1PR5,ENSG00000180739,0.283502530739252
 S1PR4,ENSG00000125910,-0.00800761253458724
 ITGA2B,ENSG00000005961,0.0057231387236647
 ATP2A3,ENSG00000074370,1.34385750179466
 PHACTR4,ENSG00000204138,0.172409152837119
 PHACTR1,ENSG00000112137,-0.800200901491069
 OR2K2,ENSG00000171133,-0.180860940397775
 PHACTR3,ENSG00000087495,-3.15405806188
 KRTAP2-3,ENSG00000212724,-0.449454923237557
 KRTAP2-2,ENSG00000214518,-0.107938854567846
 KRTAP2-1,ENSG00000212725,-0.369121919726642
 KRTAP2-4,ENSG00000213417,-0.196211973008255
 ITGA7,ENSG00000135424,0.108106884399382
 VMP1,ENSG00000062716,0.861991912329602
 NR1D1,ENSG00000126368,-0.360557580522069
 NR1D2,ENSG00000174738,-0.435701228739455
 OGFR,ENSG00000060491,0.384581920115355
 PTCH2,ENSG00000117425,-0.541612621573905
 PTCH1,ENSG00000185920,0.202608078568205
 TIMM44,ENSG00000104980,0.0322697113010183
 RAD9B,ENSG00000151164,-0.186493817199211
 RAD9A,ENSG00000172613,0.812408386256933
 ERGIC2,ENSG00000087502,0.0960661938001325
 ERGIC3,ENSG00000125991,0.13843091133604
 ERGIC1,ENSG00000113719,1.06200326971988
 B3GAT3,ENSG00000149541,0.263866578737232
 B3GAT2,ENSG00000112309,-0.809879402593266
 B3GAT1,ENSG00000109956,1.22740714935831
 CALM2,ENSG00000143933,-0.642356287006317
 TTC30A,ENSG00000197557,0.0289153687224979
 TTC30B,ENSG00000196659,0.103676573819929
 SPG20,ENSG00000133104,-0.130242973576871
 GSDMA,ENSG00000167914,-2.14890456354538
 GSDMB,ENSG00000073605,0.725099066723718
 GSDMC,ENSG00000147697,-1.20590373053776
 GSDMD,ENSG00000104518,0.977131896717577
 FBXL13,ENSG00000161040,-0.0264224850806639
 UPK1B,ENSG00000114638,-0.426565848859897
 DLGAP2,ENSG00000198010,-0.166029336064347
 DLGAP3,ENSG00000116544,-1.70525142364891
 DLGAP1,ENSG00000170579,1.04607089937899
 DLGAP4,ENSG00000080845,-0.270528932248828
 DLGAP5,ENSG00000126787,-1.36414117066061
 KB-1507C5.2,ENSG00000253320,0.151416382833996
 OIP5,ENSG00000104147,-1.28093845827835
 FBXL19,ENSG00000099364,0.0335779330245849
 LRRFIP1,ENSG00000124831,0.180147386451884
 PTPN18,ENSG00000072135,0.991261520786526
 PTPN13,ENSG00000163629,0.028327677666014
 PTPN12,ENSG00000127947,-0.353674920130476
 PTPN11,ENSG00000179295,-0.660724166353498
 PTPN14,ENSG00000152104,0.184648883975447
 LYAR,ENSG00000145220,-0.467603715249418
 SDK2,ENSG00000069188,1.4071513404074
 TFIP11,ENSG00000100109,-0.187486831729425
 C2orf81,ENSG00000159239,0.723555908035106
 C2orf80,ENSG00000188674,-0.726580304042409
 DMRTB1,ENSG00000143006,-0.550276286206367
 C2orf82,ENSG00000182600,-0.123790936707973
 C2orf88,ENSG00000187699,-0.144222941656874
 CDK1,ENSG00000170312,-0.87423261547593
 MZB1,ENSG00000170476,2.90697204881863
 TRAPPC6B,ENSG00000182400,-0.470923754473574
 HLA-DQB1,ENSG00000179344,0.218400336051469
 HLA-DQB2,ENSG00000232629,-0.081233024470267
 CDK7,ENSG00000134058,-0.172602408503066
 FOXS1,ENSG00000179772,-0.0844522991526827
 AC008060.7,ENSG00000218672,-1.3397698173387
 LPAR2,ENSG00000064547,1.39369848426666
 HAPLN4,ENSG00000187664,0.488669054537234
 THSD1,ENSG00000136114,-0.241891467951136
 CAMKK2,ENSG00000110931,0.669646004474784
 CAMKK1,ENSG00000004660,-0.238324263813395
 CHST1,ENSG00000175264,-1.67203076188704
 CHMP3,ENSG00000115561,-0.149096860842731
 RPL36AL,ENSG00000165502,-0.305040034802487
 CHMP7,ENSG00000147457,-0.029110345928479
 CHMP6,ENSG00000176108,0.0208603936098754
 CHMP5,ENSG00000086065,0.0841020669336328
 OR52N4,ENSG00000181074,0.88673011704593
 OR52N2,ENSG00000180988,0.122810323431466
 LY6G6C,ENSG00000204421,-1.29475624276859
 LY6G6D,ENSG00000244355,3.91298674968822
 LY6G6E,ENSG00000255552,-1.05235088662523
 LY6G6F,ENSG00000204424,-1.18917934073043
 HOXA10,ENSG00000253293,5.51394485469923
 GALNTL5,ENSG00000106648,-1.36228755273601
 GALNTL6,ENSG00000174473,1.4833356902036
 SPECC1,ENSG00000128487,-0.157839371063951
 BCL2A1,ENSG00000140379,0.0368250891103102
 TDG,ENSG00000139372,0.0169163437915532
 HN1,ENSG00000189159,-0.253900352563448
 ENTPD5,ENSG00000187097,0.965033706896092
 TBX2,ENSG00000121068,1.17130850332167
 LRRC27,ENSG00000148814,0.325089122728604
 LRRC26,ENSG00000184709,8.85509853615062
 KIAA1524,ENSG00000163507,-0.222444181258878
 KIAA1522,ENSG00000162522,1.8615457724592
 MPDU1,ENSG00000129255,0.747630926353978
 LRRC28,ENSG00000168904,-0.283148984660461
 GCNT4,ENSG00000176928,-0.276449432486026
 GCNT6,ENSG00000205318,3.09698570897796
 GCNT3,ENSG00000140297,0.568985807150794
 GCNT2,ENSG00000111846,2.99692087630282
 TBX3,ENSG00000135111,3.37575183682068
 LPCAT2,ENSG00000087253,-0.14498980362847
 LPCAT3,ENSG00000111684,0.636438747253589
 LPCAT1,ENSG00000153395,0.0182954822925165
 TAGLN,ENSG00000149591,0.989530842688425
 CCDC178,ENSG00000166960,2.89457169880268
 CCDC179,ENSG00000255359,0.0178890672492251
 CCDC170,ENSG00000120262,-0.192699484268674
 CCDC171,ENSG00000164989,-0.470125603143157
 CCDC172,ENSG00000182645,0.145083297922494
 CCDC173,ENSG00000154479,-0.366660747494337
 CCDC174,ENSG00000154781,0.0902614125728519
 CCDC175,ENSG00000151838,-0.421399028122289
 CCDC176,ENSG00000119636,0.144686413550986
 CCDC177,ENSG00000267909,0.751034505635341
 PDK1,ENSG00000152256,-0.51864661575909
 PDK4,ENSG00000004799,-0.528826912084769
 LNPEP,ENSG00000113441,-0.514823446708532
 ALPI,ENSG00000163295,-0.311471555891167
 SEC61A1,ENSG00000058262,0.711303813227879
 SEC61A2,ENSG00000065665,-0.0649659312743023
 ALPL,ENSG00000162551,0.12557186197074
 PECR,ENSG00000115425,0.0639432672194999
 SNAPC5,ENSG00000174446,-0.202364884378138
 SNAPC4,ENSG00000165684,0.0731199826445269
 DDIT3,ENSG00000175197,-0.261822795259509
 DDIT4,ENSG00000168209,-0.194053088290404
 RIIAD1,ENSG00000178796,-1.11699533884101
 GOLGA8T,ENSG00000261247,-0.68761854748058
 GOLGA8Q,ENSG00000178115,-0.838675284575852
 GOLGA8S,ENSG00000261739,-0.372797773082318
 GOLGA8R,ENSG00000186399,-0.55376252353233
 GOLGA8M,ENSG00000188626,-0.858127247977058
 GOLGA8O,ENSG00000206127,-1.11514542899968
 GOLGA8N,ENSG00000232653,-0.820873587915712
 GOLGA8H,ENSG00000261794,-0.140073288039259
 GOLGA8K,ENSG00000249931,-1.2663527501037
 GOLGA8J,ENSG00000179938,-0.941642216019083
 GOLGA8G,ENSG00000183629,-0.954839227139784
 GOLGA8A,ENSG00000175265,-0.035224983227405
 GOLGA8B,ENSG00000215252,0.497476512046328
 PTPMT1,ENSG00000110536,-0.0520026150277433
 FTCDNL1,ENSG00000226124,-0.0985470996697196
 VMO1,ENSG00000182853,-0.0418955454327288
 ATP5C1,ENSG00000165629,-0.684472646872721
 ESRRG,ENSG00000196482,1.44527614438318
 NPC2,ENSG00000119655,-0.0567132008090154
 NPC1,ENSG00000141458,-0.197676714202013
 C3orf58,ENSG00000181744,-0.674862648109312
 RAB3GAP2,ENSG00000118873,-0.386619782437457
 BHLHA15,ENSG00000180535,4.95625967421771
 RAB3GAP1,ENSG00000115839,-0.228679496018257
 C3orf52,ENSG00000114529,0.705580144338703
 C3orf55,ENSG00000174899,-0.754308318157232
 C3orf56,ENSG00000214324,0.186096509492197
 DAG1,ENSG00000173402,-0.363863078053901
 ETHE1,ENSG00000105755,0.407180397780127
 SGSM3,ENSG00000100359,0.989748624420273
 KDM1A,ENSG00000004487,0.119524871223712
 KDM1B,ENSG00000165097,-0.715825876524148
 SLC36A2,ENSG00000186335,0.586320630516626
 AC012313.1,ENSG00000269855,1.93337137321236
 FCER1G,ENSG00000158869,-0.489653076657846
 BTG4,ENSG00000137707,-0.536902031700961
 FCER1A,ENSG00000179639,0.108229577018332
 BTG2,ENSG00000159388,0.245773687608634
 SOSTDC1,ENSG00000171243,-0.734901802589071
 SRD5A3,ENSG00000128039,-0.337112167310998
 SRD5A1,ENSG00000145545,-1.09175167975559
 ZFP14,ENSG00000142065,-0.128601326991378
 ESRRB,ENSG00000119715,-0.376052699081184
 SEC11C,ENSG00000166562,1.46895619374039
 GGA1,ENSG00000100083,0.227390573433973
 GGA3,ENSG00000125447,0.097976046232373
 GGA2,ENSG00000103365,0.607338344253467
 FHOD1,ENSG00000135723,0.244357730163417
 FHOD3,ENSG00000134775,1.20875774274718
 C21orf59,ENSG00000159079,0.0126864907021259
 C4orf6,ENSG00000082929,0.906171194275485
 GJC2,ENSG00000198835,0.204943079809533
 C4orf3,ENSG00000164096,-0.27696767828589
 GJC1,ENSG00000182963,0.941707427166215
 PSMB9,ENSG00000240065,0.0457504845835477
 PSMB8,ENSG00000204264,0.38505749903172
 PSMB7,ENSG00000136930,-0.22118258897723
 PSMB6,ENSG00000142507,-0.560228598309731
 PSMB5,ENSG00000100804,-0.343102987397716
 PSMB4,ENSG00000159377,-0.15354042767224
 PSMB2,ENSG00000126067,-0.224090729308172
 LMBR1L,ENSG00000139636,0.178266380310627
 LTN1,ENSG00000198862,-0.09433064313663
 TRIML2,ENSG00000179046,-1.50310658660255
 C9orf141,ENSG00000198454,1.92265149925878
 C9orf142,ENSG00000148362,0.491720365095507
 TRIML1,ENSG00000184108,-0.0193847388649163
 NACC2,ENSG00000148411,-0.202072422946192
 VPS13D,ENSG00000048707,-0.0818342849377509
 NACC1,ENSG00000160877,0.0535572313594473
 VPS13A,ENSG00000197969,-0.122959609173389
 SH3KBP1,ENSG00000147010,-0.969640040333765
 VPS13B,ENSG00000132549,0.00787711711155607
 BEX5,ENSG00000184515,-0.154836063381985
 BEX4,ENSG00000102409,0.114290650095954
 BEX2,ENSG00000133134,0.0600061108615988
 BEX1,ENSG00000133169,-0.610710373397602
 TSR2,ENSG00000158526,-0.561138840331584
 TMEM160,ENSG00000130748,-1.08541100888561
 TMEM163,ENSG00000152128,-2.83125706459452
 TMEM165,ENSG00000134851,0.22442890438753
 TMEM164,ENSG00000157600,0.135711301164538
 TMEM169,ENSG00000163449,-0.980501803822397
 TMEM168,ENSG00000146802,0.278691552771323
 EVI2B,ENSG00000185862,-0.220543103675186
 FOXN1,ENSG00000109101,3.05795521589948
 FOXN2,ENSG00000170802,-0.615528712240019
 FOXN3,ENSG00000053254,-0.500337962558154
 NICN1,ENSG00000145029,-0.0570097077617902
 COL14A1,ENSG00000187955,0.599001759399357
 TAP1,ENSG00000168394,0.168493240424121
 TAP2,ENSG00000204267,-0.294319080296719
 SNAP91,ENSG00000065609,0.936012461689742
 C11orf35,ENSG00000185522,1.67268157255649
 C11orf34,ENSG00000188771,-0.440218420156883
 C11orf31,ENSG00000211450,0.271851978454092
 C11orf30,ENSG00000158636,0.0438626293147205
 AC140481.2,ENSG00000183292,0.137799371763795
 MACROD2,ENSG00000172264,0.219628058022586
 MACROD1,ENSG00000133315,0.145642816507611
 SEP15,ENSG00000183291,-0.0596816576443256
 KRR1,ENSG00000111615,-0.216524202366419
 FAM64A,ENSG00000129195,0.0279581207907179
 FBXO18,ENSG00000134452,-0.0311092622641686
 HIST2H3PS2,ENSG00000203818,0.809066911197128
 C8orf49,ENSG00000255394,-1.29593957745303
 C8orf48,ENSG00000164743,-1.85141434480797
 C8orf47,ENSG00000177459,2.14309676745234
 C8orf46,ENSG00000169085,0.126294337623771
 C8orf44,ENSG00000213865,0.0609658916768853
 TP53I3,ENSG00000115129,0.287487769205367
 MB,ENSG00000198125,1.03766944515952
 SLC18A3,ENSG00000187714,-1.06755048302768
 SLC18A2,ENSG00000165646,0.845852132289302
 SLC18A1,ENSG00000036565,3.12012847111963
 RALBP1,ENSG00000017797,-0.415637564889022
 ZNF831,ENSG00000124203,-1.24714970440201
 ZNF830,ENSG00000198783,0.0374293873860373
 ZNF835,ENSG00000127903,-0.315073178108526
 ZNF837,ENSG00000152475,0.742928125945422
 ZNF836,ENSG00000196267,0.248227191014718
 ZNF839,ENSG00000022976,0.22270212457319
 LRIF1,ENSG00000121931,-0.199053280214816
 PHAX,ENSG00000164902,-0.245263797470232
 ZNF573,ENSG00000189144,-0.679958751313581
 TSPY8,ENSG00000229549,0.0109626569925912
 SBSPON,ENSG00000164764,1.19190829965303
 ZPBP,ENSG00000042813,-0.638611128473772
 TSPY1,ENSG00000258992,-0.0656927779742097
 BEGAIN,ENSG00000183092,0.328774910979831
 SLC17A8,ENSG00000179520,-0.17673136394937
 RAB33B,ENSG00000172007,-0.457853815906054
 SLC17A4,ENSG00000146039,-0.733125548986098
 SLC17A5,ENSG00000119899,0.154266854785539
 SLC17A6,ENSG00000091664,-1.04874904187402
 SLC17A7,ENSG00000104888,-2.80268404786085
 SLC17A1,ENSG00000124568,0.270104141026537
 SLC17A2,ENSG00000112337,-0.270994784491638
 SLC17A3,ENSG00000124564,0.916403373512174
 C16orf59,ENSG00000162062,0.268435803987861
 SETDB2,ENSG00000136169,0.0657726192941695
 C16orf52,ENSG00000185716,-0.016820127200531
 AP5B1,ENSG00000254470,-0.276644734837474
 CHMP4A,ENSG00000254505,0.245395635535262
 CHMP4B,ENSG00000101421,-0.369834327399477
 CHMP4C,ENSG00000164695,1.77315449340218
 COBLL1,ENSG00000082438,0.891122739738786
 RAB7L1,ENSG00000117280,0.344109440404797
 TMEM255B,ENSG00000184497,0.585616689634993
 TMEM255A,ENSG00000125355,-0.91808381035192
 ST5,ENSG00000166444,0.0462026231715391
 ST7,ENSG00000004866,-0.216128172243189
 ZNF304,ENSG00000131845,-0.102708162970387
 STH,ENSG00000256762,-0.688234992167721
 ZNF302,ENSG00000089335,0.00429943087423591
 ZNF300,ENSG00000145908,0.506614799796157
 STS,ENSG00000101846,0.0173713731680867
 HOXB13,ENSG00000159184,12.6412602556856
 IFT81,ENSG00000122970,0.360971348365948
 FBXO17,ENSG00000269190,0.530216982448001
 TOMM34,ENSG00000025772,-0.0105625301773663
 PPP3CA,ENSG00000138814,1.34399218444162
 PPP3CB,ENSG00000107758,-0.399270274712216
 PPP3CC,ENSG00000120910,-0.299781621132741
 LIF,ENSG00000128342,1.30751431297322
 GPATCH8,ENSG00000186566,-0.60569418569385
 IFT88,ENSG00000032742,-0.230208327550199
 RPL18,ENSG00000063177,0.473849442752443
 ADRA2A,ENSG00000150594,0.700043071775367
 ADRA2C,ENSG00000184160,2.26955635668191
 TEX26,ENSG00000175664,1.42372454511939
 TEX22,ENSG00000226174,0.925252415424599
 TEX29,ENSG00000153495,0.892942540126709
 SYT8,ENSG00000149043,2.58549852464068
 SYT9,ENSG00000170743,0.517726433576139
 MTCH2,ENSG00000109919,-0.459871489728534
 MTCH1,ENSG00000137409,0.0370576200492207
 SYT1,ENSG00000067715,0.367847006069688
 SYT2,ENSG00000143858,-0.201239057958428
 SYT3,ENSG00000213023,1.18994708148524
 SYT4,ENSG00000132872,-1.92209685271813
 SYT5,ENSG00000129990,-2.24171246739482
 SYT6,ENSG00000134207,0.621922940307606
 SYT7,ENSG00000011347,3.5938265043252
 FUBP1,ENSG00000162613,-0.331859142596946
 SCHIP1,ENSG00000151967,-1.13930680253469
 MARCO,ENSG00000019169,-0.826569816498298
 SAP30,ENSG00000164105,-0.43678189600188
 NBL1,ENSG00000158747,1.44422660545649
 DRC1,ENSG00000157856,-0.837326301961351
 C1orf53,ENSG00000203724,-0.138545423264765
 C1orf52,ENSG00000162642,-0.191937649929768
 C1orf51,ENSG00000159208,-0.246684664899567
 C1orf50,ENSG00000164008,0.0844702872613689
 C1orf56,ENSG00000143443,0.421454460850319
 C1orf54,ENSG00000118292,0.25319881731492
 MARC1,ENSG00000186205,1.50395676105552
 MARC2,ENSG00000117791,0.283642795794279
 ATG4B,ENSG00000168397,0.614121881840523
 CSRP2BP,ENSG00000149474,-0.25644589636045
 SMPD4,ENSG00000136699,0.103521074995841
 SMPD1,ENSG00000166311,0.056125547957071
 SMPD3,ENSG00000103056,0.0503345367813678
 SMPD2,ENSG00000135587,0.614023160742991
 BRIP1,ENSG00000136492,0.178458996233057
 PDE11A,ENSG00000128655,5.2265938042471
 TTC28,ENSG00000100154,0.180134845154466
 TTC29,ENSG00000137473,-0.721467356464446
 TTC24,ENSG00000187862,-0.3435329029641
 TTC25,ENSG00000204815,-0.498187093658693
 TTC26,ENSG00000105948,-0.0845006451720293
 TTC27,ENSG00000018699,-0.183954689188788
 PATL2,ENSG00000229474,0.591042463294415
 TTC22,ENSG00000006555,2.74105286271772
 PATL1,ENSG00000166889,-0.426298312981016
 ENO1,ENSG00000074800,-0.71029915690857
 NPY2R,ENSG00000185149,-1.797417746002
 ENO3,ENSG00000108515,0.0449455976658878
 ENO4,ENSG00000188316,0.382569464898554
 RP11-171N4.2,ENSG00000251283,0.000940978972903819
 OBSCN,ENSG00000154358,0.346429741543221
 SRRD,ENSG00000100104,-0.120800754232662
 MCL1,ENSG00000143384,-0.583716518702443
 SORBS1,ENSG00000095637,0.678106828017294
 SORBS3,ENSG00000120896,0.477815875635117
 SORBS2,ENSG00000154556,0.375563173075972
 ODC1,ENSG00000115758,0.790345994716521
 IL18RAP,ENSG00000115607,0.564553007514877
 EOMES,ENSG00000163508,-0.451534314667363
 CGB1,ENSG00000267631,-0.295726338275858
 CGB2,ENSG00000104818,-0.0929386001838433
 CFP,ENSG00000126759,-1.07628783031921
 FKBP14,ENSG00000106080,0.122335733645272
 FKBP15,ENSG00000119321,-0.0888539360191437
 UBE2J1,ENSG00000198833,0.752907723069734
 UBE2J2,ENSG00000160087,0.019117187380905
 FKBP11,ENSG00000134285,0.832140826452733
 FBXO10,ENSG00000147912,-0.2615727186959
 FBXO11,ENSG00000138081,-0.681346657668395
 FBXO16,ENSG00000214050,1.63983977882692
 FBXO15,ENSG00000141665,-0.263887526583371
 SFTA3,ENSG00000229415,-2.49034454668269
 SFTA2,ENSG00000196260,-0.366402339824255
 CNGB1,ENSG00000070729,-2.5852150278617
 CNGB3,ENSG00000170289,-1.04398144668667
 PLA2G6,ENSG00000184381,0.873348605678017
 PLA2G7,ENSG00000146070,2.19402410995698
 PLA2G5,ENSG00000127472,1.58468218570213
 PLA2G3,ENSG00000100078,-0.194142414637639
 GDPGP1,ENSG00000183208,0.470031337589893
 CCDC77,ENSG00000120647,0.0039205431682421
 KRTAP1-3,ENSG00000221880,-0.00460078639603354
 CCDC73,ENSG00000186714,-0.392278362258714
 CCDC70,ENSG00000123171,-0.00688664578626109
 CCDC71,ENSG00000177352,0.29966164720117
 CCDC78,ENSG00000162004,-0.111053678763923
 CCDC79,ENSG00000249961,-0.13277671584938
 HIST3H2BB,ENSG00000196890,0.0524301854486282
 GHITM,ENSG00000165678,-0.94199437938758
 FKBP1B,ENSG00000119782,-0.115068196703064
 FKBP1C,ENSG00000198225,-0.264402483322543
 FKBP1A,ENSG00000088832,-0.0225818256350036
 MAP10,ENSG00000212916,-0.367794295108858
 LGALS9B,ENSG00000170298,2.95020811077267
 UNC50,ENSG00000115446,-0.384240079167738
 NKAIN3,ENSG00000185942,0.66697170931072
 NKAIN2,ENSG00000188580,-1.26573896852597
 NKAIN1,ENSG00000084628,1.3185779890298
 MAP1A,ENSG00000166963,-0.782687001853612
 MAP1B,ENSG00000131711,-0.368570102537399
 IGSF9B,ENSG00000080854,-0.225887627743719
 UNC5B,ENSG00000107731,0.36918953749263
 UNC5C,ENSG00000182168,0.84091167233927
 VGF,ENSG00000128564,-1.09647151937135
 UNC5A,ENSG00000113763,-0.415422115896267
 UNC5D,ENSG00000156687,3.51533852141653
 RP11-796G6.2,ENSG00000258512,-0.834017836530349
 MAP1S,ENSG00000130479,-0.184679113354118
 CCP110,ENSG00000103540,-0.235670389412184
 RPL18A,ENSG00000105640,0.0482406423154783
 CEND1,ENSG00000184524,0.791703989761273
 CLEC18B,ENSG00000140839,0.0446580817737509
 SDR42E2,ENSG00000183921,-0.465356460511005
 SDR42E1,ENSG00000184860,2.09070463718939
 ALOX12B,ENSG00000179477,2.64461697017092
 EPB41L1,ENSG00000088367,-0.458868164162959
 PPCDC,ENSG00000138621,0.702962188456009
 EPB41L3,ENSG00000082397,-0.820486239219975
 EPB41L2,ENSG00000079819,-0.6820010845576
 EPB41L5,ENSG00000115109,0.0302952469982751
 ACSS3,ENSG00000111058,0.142222699168706
 ACSS2,ENSG00000131069,-0.0607781051346108
 ACSS1,ENSG00000154930,0.399162807630415
 KIDINS220,ENSG00000134313,-0.606753375796761
 RUNDC3A,ENSG00000108309,-1.98387920798284
 DFNA5,ENSG00000105928,-0.241487094025807
 MAGEH1,ENSG00000187601,0.111004166210733
 WNT3,ENSG00000108379,-0.138927194356246
 WNT2,ENSG00000105989,2.19607534617425
 WNT1,ENSG00000125084,-0.614221589860474
 LRRN4,ENSG00000125872,1.79337026395268
 AGXT,ENSG00000172482,0.177139824291155
 LRRN2,ENSG00000170382,-0.936584978949327
 LRRN1,ENSG00000175928,0.223763041244059
 WNT4,ENSG00000162552,2.5250992531407
 CCM2L,ENSG00000101331,-0.00112538513138388
 AAGAB,ENSG00000103591,0.14945425367932
 RNF175,ENSG00000145428,1.20534721993866
 RNF170,ENSG00000120925,-0.269765925149145
 FGGY,ENSG00000172456,0.237381811827837
 PCNA,ENSG00000132646,-0.519078252242223
 ZBTB7A,ENSG00000178951,-0.334031562559435
 ZBTB7C,ENSG00000184828,-0.204129219343285
 ZBTB7B,ENSG00000160685,0.758967570211963
 PCNP,ENSG00000081154,-0.138091524215986
 PCNT,ENSG00000160299,-0.496242000235678
 PCNX,ENSG00000100731,-0.547177209608992
 UTY,ENSG00000183878,4.05271971075242
 PACRG,ENSG00000112530,-0.14913999624773
 TOP3A,ENSG00000177302,-0.162253831711826
 DNPH1,ENSG00000112667,0.0220083396779909
 TOP3B,ENSG00000100038,0.587518543470465
 UFD1L,ENSG00000070010,-0.247967446683757
 ILF3,ENSG00000129351,0.195942997693267
 ILF2,ENSG00000143621,-0.304768525185963
 BOK,ENSG00000176720,1.0230781607032
 BOC,ENSG00000144857,0.701005569434197
 DENND2C,ENSG00000175984,-0.167767506651593
 DENND2A,ENSG00000146966,0.143226742710259
 DENND2D,ENSG00000162777,1.3327183947983
 GAGE1,ENSG00000205777,0.0661099154032055
 PPT1,ENSG00000131238,-0.272529800719065
 PPT2,ENSG00000221988,-0.212661537758409
 INPP4B,ENSG00000109452,0.0613331355813688
 INPP4A,ENSG00000040933,-0.758953847992136
 IGSF1,ENSG00000147255,-0.362739479354895
 SAFB,ENSG00000160633,0.048810840765766
 TRNP1,ENSG00000253368,-0.760344183152395
 DEFB123,ENSG00000180424,0.0100166944250837
 PPP1R26,ENSG00000196422,0.280578392445327
 PPP1R27,ENSG00000182676,1.06152155563307
 PPP1R21,ENSG00000162869,-0.308285183051248
 NGLY1,ENSG00000151092,0.101362303283746
