 gene    name , gene    ENS ,Skin-NotSunExposed(Suprapubic)
 CHMP1B,ENSG00000255112,0.24165173361958
 TCOF1,ENSG00000070814,0.267112802216061
 NSRP1,ENSG00000126653,0.0492770206800061
 OPA1,ENSG00000198836,-0.103032977503463
 RP11-146D12.2,ENSG00000240240,-0.276082068226593
 ITGA1,ENSG00000213949,-0.750129805225737
 ITGA2,ENSG00000164171,1.0849015961163
 ITGA3,ENSG00000005884,0.531821139239811
 ITGA4,ENSG00000115232,-0.55664619949033
 ITGA5,ENSG00000161638,0.0528651714044617
 ITGA6,ENSG00000091409,0.703267442274815
 TRHR,ENSG00000174417,-0.256878256894768
 UFSP1,ENSG00000176125,0.036120694881268
 UFSP2,ENSG00000109775,0.0441373680161441
 MT-CYB,ENSG00000198727,-0.0329357243215137
 FAM212B,ENSG00000197852,0.0730371815764272
 FAM212A,ENSG00000185614,0.935472678034071
 CHST9,ENSG00000154080,-0.209449399817713
 CHST8,ENSG00000124302,-0.883659801753874
 CHST3,ENSG00000122863,0.202478598569935
 CHST2,ENSG00000175040,0.525499666522476
 CHST5,ENSG00000135702,-0.732455177082396
 CHST4,ENSG00000140835,-0.956589671752961
 CHST7,ENSG00000147119,-0.429361565845702
 CHST6,ENSG00000183196,-0.542457398197543
 ITGAX,ENSG00000140678,-0.752157533751367
 ITGAV,ENSG00000138448,0.230219523367698
 ITGAL,ENSG00000005844,-0.587176750263988
 ITGAM,ENSG00000169896,-0.347797800786769
 ITGAD,ENSG00000156886,-0.037330640973817
 ITGAE,ENSG00000083457,-0.0692926238685935
 IGF2R,ENSG00000197081,0.0595354032752923
 SLC36A4,ENSG00000180773,-0.309703707674411
 SLC36A3,ENSG00000186334,0.541706430695495
 CKS1B,ENSG00000173207,0.440129673597561
 SLC36A1,ENSG00000123643,-0.218808587163154
 ARTN,ENSG00000117407,-0.269107552899828
 ART1,ENSG00000129744,-0.78200701688037
 ART3,ENSG00000156219,-0.31377852235846
 ART5,ENSG00000167311,-0.0658502605060313
 AC129492.6,ENSG00000214999,1.30995113418251
 CRTAM,ENSG00000109943,-0.688349593296313
 CADPS2,ENSG00000081803,-0.690640035907696
 RLF,ENSG00000117000,0.208490932236299
 CRTAP,ENSG00000170275,-0.00984142520281924
 ADPGK,ENSG00000159322,0.191611998260499
 CPEB4,ENSG00000113742,-0.211454587243885
 CPEB1,ENSG00000214575,-1.20443509542704
 CPEB3,ENSG00000107864,-0.113219515183181
 CPEB2,ENSG00000137449,0.446244020275504
 SRBD1,ENSG00000068784,0.337908321607111
 ABAT,ENSG00000183044,-1.04845370233622
 POU5F1B,ENSG00000212993,0.69035887656187
 CDH22,ENSG00000149654,1.32045776257082
 PHOX2A,ENSG00000165462,-0.00371675204406651
 PHOX2B,ENSG00000109132,0.262876528869783
 UPK2,ENSG00000110375,0.196165150703838
 CFH,ENSG00000000971,-0.339359592788867
 CFI,ENSG00000205403,-0.549358297336697
