 gene    name , gene    ENS ,Skin-SunExposed(Lowerleg)
 CHMP1B,ENSG00000255112,0.276624874487111
 TCOF1,ENSG00000070814,0.156993900731696
 NSRP1,ENSG00000126653,-0.138479938596077
 OPA1,ENSG00000198836,-0.166272722600621
 RP11-146D12.2,ENSG00000240240,0.0263493486218754
 ITGA1,ENSG00000213949,-0.82182921783571
 ITGA2,ENSG00000164171,1.37661645429291
 ITGA3,ENSG00000005884,0.679403251609819
 ITGA4,ENSG00000115232,-0.465351809802666
 ITGA5,ENSG00000161638,0.244474534046319
 ITGA6,ENSG00000091409,0.375357819816881
 TRHR,ENSG00000174417,0.206954918283064
 UFSP1,ENSG00000176125,-0.085619929534504
 UFSP2,ENSG00000109775,0.0328224260307122
 MT-CYB,ENSG00000198727,0.0240199982571949
 FAM212B,ENSG00000197852,-0.180393432092262
 FAM212A,ENSG00000185614,1.75855889825608
 CHST9,ENSG00000154080,-2.30472866254764
 CHST8,ENSG00000124302,-1.00814776975712
 CHST3,ENSG00000122863,0.358589859680432
 CHST2,ENSG00000175040,-0.746665318990572
 CHST5,ENSG00000135702,-0.587219580807883
 CHST4,ENSG00000140835,-1.27122644328416
 CHST7,ENSG00000147119,-0.0777477327532096
 CHST6,ENSG00000183196,-1.23288734989582
 ITGAX,ENSG00000140678,-0.834321144216703
 ITGAV,ENSG00000138448,-0.148939580725151
 ITGAL,ENSG00000005844,-0.377821675896698
 ITGAM,ENSG00000169896,-0.450784820922452
 ITGAD,ENSG00000156886,-0.63482166195524
 ITGAE,ENSG00000083457,-0.467179770657379
 IGF2R,ENSG00000197081,0.271238363941828
 SLC36A4,ENSG00000180773,-0.479462228062653
 SLC36A3,ENSG00000186334,1.26579391169469
 CKS1B,ENSG00000173207,0.561569420716719
 SLC36A1,ENSG00000123643,-0.417436371899573
 ARTN,ENSG00000117407,-0.42152143417914
 ART1,ENSG00000129744,-0.312270121833817
 ART3,ENSG00000156219,-1.73156580385145
 ART5,ENSG00000167311,-0.0896087872743493
 AC129492.6,ENSG00000214999,3.79860011381403
 CRTAM,ENSG00000109943,-0.37535150937577
 CADPS2,ENSG00000081803,-0.696550001716134
 RLF,ENSG00000117000,0.166137094417544
 CRTAP,ENSG00000170275,0.385628713905522
 ADPGK,ENSG00000159322,0.0748144472636243
 CPEB4,ENSG00000113742,-0.320960650120478
 CPEB1,ENSG00000214575,-0.452469479793084
 CPEB3,ENSG00000107864,0.115732823562543
 CPEB2,ENSG00000137449,0.818152548292784
 SRBD1,ENSG00000068784,-0.0496458648953366
 ABAT,ENSG00000183044,-1.61238161084523
 POU5F1B,ENSG00000212993,1.30087414187342
 CDH22,ENSG00000149654,0.845170480973155
 PHOX2A,ENSG00000165462,-0.222171136281743
 PHOX2B,ENSG00000109132,-0.24912211913304
 UPK2,ENSG00000110375,-0.167026532546987
 CFH,ENSG00000000971,1.36713514528852
 CFI,ENSG00000205403,-0.839501088060927
 ANKFY1,ENSG00000185722,0.152949445235423
 CFB,ENSG00000243649,0.0724236867491932
 OPA3,ENSG00000125741,0.136619840989809
 AAAS,ENSG00000094914,-0.283197962967193
 SIDT1,ENSG00000072858,-0.700565091793108
 SIDT2,ENSG00000149577,0.366720757170404
 SAGE1,ENSG00000181433,-0.733632784156777
 RP11-89K11.1,ENSG00000259658,-0.817535282343947
 AC093802.1,ENSG00000220256,-0.132970267875886
 C4orf19,ENSG00000154274,0.692194675062873
 SLC7A6OS,ENSG00000103061,-0.197160047534613
 C4orf17,ENSG00000138813,0.165801126325977
 CDH26,ENSG00000124215,-0.849272190928176
 ETV3L,ENSG00000253831,-0.396710263908161
 C15orf26,ENSG00000156206,-0.852093372772876
 C15orf27,ENSG00000169758,0.441218893829261
 ZNF117,ENSG00000152926,-0.729923900144804
 ZNF114,ENSG00000178150,-0.572192640571453
 ZNF112,ENSG00000062370,-0.217017019789382
 SEZ6L,ENSG00000100095,-0.796440305927622
 ITGA8,ENSG00000077943,-0.139325237224305
 ITGA9,ENSG00000144668,-0.388170335053275
 PRKAR2A,ENSG00000114302,0.170120642640696
 PRKAR2B,ENSG00000005249,-1.13979115463374
 S1PR5,ENSG00000180739,2.32928611423195
 S1PR4,ENSG00000125910,-0.15385830677325
 ITGA2B,ENSG00000005961,-1.39854747125682
 ATP2A3,ENSG00000074370,1.64651535461694
 PHACTR4,ENSG00000204138,0.530529281251621
 PHACTR1,ENSG00000112137,-0.50920412608186
 OR2K2,ENSG00000171133,0.227959272683358
 PHACTR3,ENSG00000087495,0.283999026216953
 KRTAP2-3,ENSG00000212724,1.1751421234528
 KRTAP2-2,ENSG00000214518,0.576063523251556
 KRTAP2-1,ENSG00000212725,0.864805823758596
 KRTAP2-4,ENSG00000213417,0.933786576011038
 ITGA7,ENSG00000135424,-0.511195398328523
 VMP1,ENSG00000062716,-0.424353446480314
 NR1D1,ENSG00000126368,2.1104317615006
 NR1D2,ENSG00000174738,-0.259581216700724
 OGFR,ENSG00000060491,0.0395216482233463
 PTCH2,ENSG00000117425,-0.150349938489202
 PTCH1,ENSG00000185920,-0.0497197641482211
 TIMM44,ENSG00000104980,0.0252509949258501
 RAD9B,ENSG00000151164,-0.364559508310067
 RAD9A,ENSG00000172613,0.507815057226608
 ERGIC2,ENSG00000087502,-0.585272734611937
 ERGIC3,ENSG00000125991,0.448767733778794
 ERGIC1,ENSG00000113719,-0.081710713499159
 B3GAT3,ENSG00000149541,0.140468412468141
 B3GAT2,ENSG00000112309,-0.17203981054811
 B3GAT1,ENSG00000109956,-2.17208175075044
 CALM2,ENSG00000143933,-0.804848344258608
 TTC30A,ENSG00000197557,-0.458545803345217
 TTC30B,ENSG00000196659,0.165111171385583
 SPG20,ENSG00000133104,-0.611482053812175
 GSDMA,ENSG00000167914,6.31656537202343
 GSDMB,ENSG00000073605,-0.0299828412258934
 GSDMC,ENSG00000147697,5.26573815883281
 GSDMD,ENSG00000104518,-0.294598224144969
 FBXL13,ENSG00000161040,-0.624346950386398
 UPK1B,ENSG00000114638,3.15177855059383
 DLGAP2,ENSG00000198010,0.114175706248231
 DLGAP3,ENSG00000116544,-1.59600028452145
 DLGAP1,ENSG00000170579,-2.41626622679971
 DLGAP4,ENSG00000080845,0.62204256727099
 DLGAP5,ENSG00000126787,2.30190631153152
 KB-1507C5.2,ENSG00000253320,-0.206952068755878
 OIP5,ENSG00000104147,0.698435887908016
 FBXL19,ENSG00000099364,0.365229896845635
 LRRFIP1,ENSG00000124831,-0.226079742005039
 PTPN18,ENSG00000072135,-0.311104534344909
 PTPN13,ENSG00000163629,1.73768416309874
 PTPN12,ENSG00000127947,-0.128928688078724
 PTPN11,ENSG00000179295,-0.271480645393745
 PTPN14,ENSG00000152104,0.930400212944271
 LYAR,ENSG00000145220,-0.352024594849218
 SDK2,ENSG00000069188,0.0875635731218221
 TFIP11,ENSG00000100109,0.526996438658076
 C2orf81,ENSG00000159239,-0.305881884816719
 C2orf80,ENSG00000188674,-1.9430458653732
 DMRTB1,ENSG00000143006,-0.0364839482064793
 C2orf82,ENSG00000182600,1.82938010369192
 C2orf88,ENSG00000187699,-0.189575235947032
 CDK1,ENSG00000170312,1.16103464644714
 MZB1,ENSG00000170476,-0.725233867340556
 TRAPPC6B,ENSG00000182400,-0.330412406796102
 HLA-DQB1,ENSG00000179344,1.11206624456095
 HLA-DQB2,ENSG00000232629,3.31921628506742
 CDK7,ENSG00000134058,0.470212302079362
 FOXS1,ENSG00000179772,-0.4087147043172
 AC008060.7,ENSG00000218672,-1.23534768409977
 LPAR2,ENSG00000064547,0.958937871947107
 HAPLN4,ENSG00000187664,-2.3112450814843
 THSD1,ENSG00000136114,0.31187975460826
 CAMKK2,ENSG00000110931,-0.558863782994997
 CAMKK1,ENSG00000004660,0.449515775571725
 CHST1,ENSG00000175264,-1.53373128594931
 CHMP3,ENSG00000115561,-0.0497250864478413
 RPL36AL,ENSG00000165502,-0.077170132249527
 CHMP7,ENSG00000147457,-0.107952058261423
 CHMP6,ENSG00000176108,0.211148036387133
 CHMP5,ENSG00000086065,-0.380485581527539
 OR52N4,ENSG00000181074,-0.029914493026284
 OR52N2,ENSG00000180988,0.564755367644962
 LY6G6C,ENSG00000204421,6.38225413892472
 LY6G6D,ENSG00000244355,2.64208197463757
 LY6G6E,ENSG00000255552,2.16211523725408
 LY6G6F,ENSG00000204424,1.96173492947745
 HOXA10,ENSG00000253293,2.4187562804476
 GALNTL5,ENSG00000106648,-1.32285539279565
 GALNTL6,ENSG00000174473,0.167798202585667
 SPECC1,ENSG00000128487,-1.0735719093778
 BCL2A1,ENSG00000140379,-0.187805269736123
