 gene    name , gene    ENS ,Uterus
 CHMP1B,ENSG00000255112,-0.63910644215393
 TCOF1,ENSG00000070814,0.171831854788552
 NSRP1,ENSG00000126653,-0.0196705651919608
 OPA1,ENSG00000198836,-0.209440678311407
 RP11-146D12.2,ENSG00000240240,-1.67828320609152
 ITGA1,ENSG00000213949,0.569567933660063
 ITGA2,ENSG00000164171,-0.049329717292832
 ITGA3,ENSG00000005884,0.131251911110951
 ITGA4,ENSG00000115232,0.146396618820851
 ITGA5,ENSG00000161638,0.442643061198076
 ITGA6,ENSG00000091409,1.20135038620122
 TRHR,ENSG00000174417,1.23020439185654
 UFSP1,ENSG00000176125,0.285449839985331
 UFSP2,ENSG00000109775,-0.205719239594655
 MT-CYB,ENSG00000198727,-1.26650898298707
 FAM212B,ENSG00000197852,-0.430083986092351
 FAM212A,ENSG00000185614,0.753304201243097
 CHST9,ENSG00000154080,-3.45209595072957
 CHST8,ENSG00000124302,-0.378896103304786
 CHST3,ENSG00000122863,0.718452094997237
 CHST2,ENSG00000175040,0.957946001451374
 CHST5,ENSG00000135702,0.356371533969716
 CHST4,ENSG00000140835,1.28134102698027
 CHST7,ENSG00000147119,-0.375445931501944
 CHST6,ENSG00000183196,-1.78062230148104
 ITGAX,ENSG00000140678,0.242251298406148
 ITGAV,ENSG00000138448,0.125851341193365
 ITGAL,ENSG00000005844,0.591288024853213
 ITGAM,ENSG00000169896,0.340726732189621
 ITGAD,ENSG00000156886,0.129931633086899
 ITGAE,ENSG00000083457,-0.147809160817692
 IGF2R,ENSG00000197081,0.06851360475908
 SLC36A4,ENSG00000180773,0.11043473331246
 SLC36A3,ENSG00000186334,0.359217913916618
 CKS1B,ENSG00000173207,0.32417315515934
 SLC36A1,ENSG00000123643,-0.213372700088584
 ARTN,ENSG00000117407,0.75715827348891
 ART1,ENSG00000129744,1.13829822900143
 ART3,ENSG00000156219,-1.49085127116965
 ART5,ENSG00000167311,1.35630634072728
 AC129492.6,ENSG00000214999,-0.80415928319206
 CRTAM,ENSG00000109943,-0.378467137713689
 CADPS2,ENSG00000081803,0.903038424995419
 RLF,ENSG00000117000,-0.392957384845103
 CRTAP,ENSG00000170275,0.187978347160923
 ADPGK,ENSG00000159322,-0.13601358817875
 CPEB4,ENSG00000113742,-0.113738535366626
 CPEB1,ENSG00000214575,-0.412226440749666
 CPEB3,ENSG00000107864,-0.442324200253216
 CPEB2,ENSG00000137449,-0.496814565213794
 SRBD1,ENSG00000068784,0.214663144462389
 ABAT,ENSG00000183044,-0.787710664273044
 POU5F1B,ENSG00000212993,1.1390290404525
 CDH22,ENSG00000149654,-0.325368499386834
 PHOX2A,ENSG00000165462,-1.63631550477277
 PHOX2B,ENSG00000109132,-1.43596739964658
 UPK2,ENSG00000110375,-0.276343627511807
 CFH,ENSG00000000971,-1.83332274770669
 CFI,ENSG00000205403,0.504900753006788
 ANKFY1,ENSG00000185722,0.307453911039755
 CFB,ENSG00000243649,-0.694376559230292
 OPA3,ENSG00000125741,0.430971311884731
 AAAS,ENSG00000094914,-0.0109035764701195
 SIDT1,ENSG00000072858,-0.611540860537251
 SIDT2,ENSG00000149577,-0.0543617025861166
 SAGE1,ENSG00000181433,-0.256330631488882
 RP11-89K11.1,ENSG00000259658,0.427634411228033
 AC093802.1,ENSG00000220256,-0.427534879468835
 C4orf19,ENSG00000154274,3.13495747221287
 SLC7A6OS,ENSG00000103061,-0.0804055067923377
 C4orf17,ENSG00000138813,-0.400332519183708
 CDH26,ENSG00000124215,0.0135619242007358
 ETV3L,ENSG00000253831,-0.355024474590771
 C15orf26,ENSG00000156206,0.563974656155945
 C15orf27,ENSG00000169758,-0.730935145764125
 ZNF117,ENSG00000152926,0.0535706501789753
 ZNF114,ENSG00000178150,1.15394367558403
 ZNF112,ENSG00000062370,-0.0844494124450586
 SEZ6L,ENSG00000100095,-0.872157239185541
 ITGA8,ENSG00000077943,-0.170991310086497
 ITGA9,ENSG00000144668,-0.0645836642981775
 PRKAR2A,ENSG00000114302,-0.0282636160767589
 PRKAR2B,ENSG00000005249,-1.07736895119797
 S1PR5,ENSG00000180739,-0.0518531687440452
 S1PR4,ENSG00000125910,-0.229841990872826
 ITGA2B,ENSG00000005961,0.130012631952668
 ATP2A3,ENSG00000074370,0.205848350126102
 PHACTR4,ENSG00000204138,0.364611667411297
 PHACTR1,ENSG00000112137,-0.690711213157351
 OR2K2,ENSG00000171133,-0.434242089239642
 PHACTR3,ENSG00000087495,-1.21129494044681
 KRTAP2-3,ENSG00000212724,0.10472924201274
 KRTAP2-2,ENSG00000214518,0.23560456246915
 KRTAP2-1,ENSG00000212725,0.209450895981049
