 gene    name , gene    ENS ,Vagina
 CHMP1B,ENSG00000255112,-0.492830691382565
 TCOF1,ENSG00000070814,-0.165360152682944
 NSRP1,ENSG00000126653,-0.0679065965839325
 OPA1,ENSG00000198836,-0.204272296823329
 RP11-146D12.2,ENSG00000240240,-0.0588822239101425
 ITGA1,ENSG00000213949,-0.47014503770226
 ITGA2,ENSG00000164171,0.439710558890931
 ITGA3,ENSG00000005884,-0.435801637826259
 ITGA4,ENSG00000115232,0.772451820361347
 ITGA5,ENSG00000161638,0.899480867273596
 ITGA6,ENSG00000091409,0.296022153908899
 TRHR,ENSG00000174417,-0.0313183439763862
 UFSP1,ENSG00000176125,-1.0587695488207
 UFSP2,ENSG00000109775,-0.0223400274931568
 MT-CYB,ENSG00000198727,-0.67826515817044
 FAM212B,ENSG00000197852,-0.289443735277296
 FAM212A,ENSG00000185614,0.303257065665171
 CHST9,ENSG00000154080,1.45583045472934
 CHST8,ENSG00000124302,0.262444887268649
 CHST3,ENSG00000122863,-0.172869597321085
 CHST2,ENSG00000175040,0.667774533273964
 CHST5,ENSG00000135702,-0.0985171354790994
 CHST4,ENSG00000140835,-2.18032249931829
 CHST7,ENSG00000147119,0.847144310440084
 CHST6,ENSG00000183196,-2.43468227950915
 ITGAX,ENSG00000140678,0.0476920374932829
 ITGAV,ENSG00000138448,-0.239093838788033
 ITGAL,ENSG00000005844,0.350826117616594
 ITGAM,ENSG00000169896,-0.29615393952289
 ITGAD,ENSG00000156886,-0.591702108507532
 ITGAE,ENSG00000083457,0.141357062747008
 IGF2R,ENSG00000197081,0.0715196238319053
 SLC36A4,ENSG00000180773,-0.0522939386244535
 SLC36A3,ENSG00000186334,-0.360418322673825
 CKS1B,ENSG00000173207,0.302694151587124
 SLC36A1,ENSG00000123643,-0.253876180239956
 ARTN,ENSG00000117407,0.405021607463835
 ART1,ENSG00000129744,-0.415673603893617
 ART3,ENSG00000156219,0.872566024768941
 ART5,ENSG00000167311,1.03897615204022
 AC129492.6,ENSG00000214999,2.87790852789206
 CRTAM,ENSG00000109943,0.287970261409427
 CADPS2,ENSG00000081803,0.293020471198941
 RLF,ENSG00000117000,-0.258244013985728
 CRTAP,ENSG00000170275,0.592827374501913
 ADPGK,ENSG00000159322,0.0280310201598892
 CPEB4,ENSG00000113742,-0.485141492252066
 CPEB1,ENSG00000214575,0.94558649932
 CPEB3,ENSG00000107864,-0.474041838785822
 CPEB2,ENSG00000137449,0.136780958141631
 SRBD1,ENSG00000068784,0.209887762752279
 ABAT,ENSG00000183044,-0.697322515672832
 POU5F1B,ENSG00000212993,1.12648166922562
 CDH22,ENSG00000149654,-0.0418586643545489
 PHOX2A,ENSG00000165462,-1.0299775776107
 PHOX2B,ENSG00000109132,-0.0514800838615099
 UPK2,ENSG00000110375,0.147149359967749
 CFH,ENSG00000000971,-0.926665880038687
 CFI,ENSG00000205403,-0.107380299613437
 ANKFY1,ENSG00000185722,0.0320926573419457
 CFB,ENSG00000243649,-0.737764968626902
 OPA3,ENSG00000125741,-0.478088319461941
 AAAS,ENSG00000094914,-0.0189826232950271
 SIDT1,ENSG00000072858,-0.720173689591587
 SIDT2,ENSG00000149577,-0.280542781566613
