 gene    name , gene    ENS ,WholeBlood
 CHMP1B,ENSG00000255112,0.802639181250916
 TCOF1,ENSG00000070814,0.490761977565705
 NSRP1,ENSG00000126653,-1.18612261192958
 OPA1,ENSG00000198836,-1.26728576049907
 RP11-146D12.2,ENSG00000240240,-1.43985228564089
 ITGA1,ENSG00000213949,-3.91870984572602
 ITGA2,ENSG00000164171,-3.99530927989887
 ITGA3,ENSG00000005884,-3.34837220535135
 ITGA4,ENSG00000115232,4.98627758198038
 ITGA5,ENSG00000161638,1.99598887048668
 ITGA6,ENSG00000091409,-0.875492435521888
 TRHR,ENSG00000174417,-0.055126067909117
 UFSP1,ENSG00000176125,-0.982026027826773
 UFSP2,ENSG00000109775,-1.12319165829805
 MT-CYB,ENSG00000198727,-1.59069130398254
 FAM212B,ENSG00000197852,2.22168037351476
 FAM212A,ENSG00000185614,-0.915730495206911
 CHST9,ENSG00000154080,-3.85002854469956
 CHST8,ENSG00000124302,-2.15916063244635
 CHST3,ENSG00000122863,-6.02521321287496
 CHST2,ENSG00000175040,2.6805273992875
 CHST5,ENSG00000135702,-3.12135942836719
 CHST4,ENSG00000140835,-1.02392430583519
 CHST7,ENSG00000147119,1.29307400806755
 CHST6,ENSG00000183196,-3.53512517725209
 ITGAX,ENSG00000140678,6.7560609679403
 ITGAV,ENSG00000138448,-3.85302193567452
 ITGAL,ENSG00000005844,7.46488392922858
 ITGAM,ENSG00000169896,5.90518675438439
 ITGAD,ENSG00000156886,6.02221888362136
 ITGAE,ENSG00000083457,-0.155036112237148
 IGF2R,ENSG00000197081,2.43343960010423
 SLC36A4,ENSG00000180773,1.10861160566839
 SLC36A3,ENSG00000186334,0.63437490900933
 CKS1B,ENSG00000173207,-0.809843052357232
 SLC36A1,ENSG00000123643,0.850520898617601
 ARTN,ENSG00000117407,-2.56763882765678
 ART1,ENSG00000129744,-0.166164858383482
 ART3,ENSG00000156219,-3.89831859906275
 ART5,ENSG00000167311,-2.8163953851683
 AC129492.6,ENSG00000214999,2.57363583916656
 CRTAM,ENSG00000109943,5.3881195320399
 CADPS2,ENSG00000081803,-6.27600568070841
 RLF,ENSG00000117000,1.77004571212095
 CRTAP,ENSG00000170275,-0.37040541229595
 ADPGK,ENSG00000159322,2.25660276148988
 CPEB4,ENSG00000113742,-0.11606142705437
 CPEB1,ENSG00000214575,-4.99502767444178
 CPEB3,ENSG00000107864,-2.37852413520491
 CPEB2,ENSG00000137449,-0.731590360879806
 SRBD1,ENSG00000068784,1.05128002363047
