 gene    name , gene    ENS ,Thyroid
 CHMP1B,ENSG00000255112,-0.05428527813956
 TCOF1,ENSG00000070814,-0.0818568726239985
 NSRP1,ENSG00000126653,0.174802873151621
 OPA1,ENSG00000198836,-0.48137998590864
 RP11-146D12.2,ENSG00000240240,0.861082938588378
 ITGA1,ENSG00000213949,1.20551196073882
 ITGA2,ENSG00000164171,-0.146601845766393
 ITGA3,ENSG00000005884,1.69696979550894
 ITGA4,ENSG00000115232,0.595953904014372
 ITGA5,ENSG00000161638,0.44012218493147
 ITGA6,ENSG00000091409,0.0233686702521873
 TRHR,ENSG00000174417,-0.262099842261999
 UFSP1,ENSG00000176125,-0.494301956838563
 UFSP2,ENSG00000109775,-0.0977350188287536
 MT-CYB,ENSG00000198727,-0.636413236085921
 FAM212B,ENSG00000197852,-1.14499044775558
 FAM212A,ENSG00000185614,-1.26540363800108
 CHST9,ENSG00000154080,-3.20366297277079
 CHST8,ENSG00000124302,-1.0160655370442
 CHST3,ENSG00000122863,-0.34123408492229
 CHST2,ENSG00000175040,0.478328207967178
 CHST5,ENSG00000135702,-0.149026184299509
 CHST4,ENSG00000140835,1.19750051020564
 CHST7,ENSG00000147119,-0.204711869506227
 CHST6,ENSG00000183196,-3.17686933978182
 ITGAX,ENSG00000140678,-0.166420124705037
 ITGAV,ENSG00000138448,0.203060332820814
 ITGAL,ENSG00000005844,1.08846615391298
 ITGAM,ENSG00000169896,-0.887736216782934
 ITGAD,ENSG00000156886,-0.675000508047793
 ITGAE,ENSG00000083457,-0.240544883398863
 IGF2R,ENSG00000197081,-0.055908758585012
 SLC36A4,ENSG00000180773,-0.0516942716046955
 SLC36A3,ENSG00000186334,-0.630636763036724
 CKS1B,ENSG00000173207,-0.301124135281964
 SLC36A1,ENSG00000123643,-0.977284192858073
 ARTN,ENSG00000117407,-0.00205161903245526
 ART1,ENSG00000129744,0.934474618015778
 ART3,ENSG00000156219,-2.6003528006481
 ART5,ENSG00000167311,2.20029439762898
 AC129492.6,ENSG00000214999,-0.96293666616898
 CRTAM,ENSG00000109943,-0.473489320734212
 CADPS2,ENSG00000081803,0.242050273333286
 RLF,ENSG00000117000,-0.353741930346442
 CRTAP,ENSG00000170275,0.0915814985040809
